nodenumber     x-coordinate     y-coordinate     z-coordinate      mach-number         pressure 
         1  2.883190000E-01 -5.998690000E-02  0.000000000E+00  1.157620436E-01 -2.456367816E+02 
         2  3.294650000E-01 -5.982680000E-02  0.000000000E+00  1.147364726E-01 -2.288594322E+02 
         3  2.471780000E-01 -5.933890000E-02  0.000000000E+00  1.167259187E-01 -2.616258768E+02 
         4  3.706030000E-01 -5.898830000E-02  0.000000000E+00  1.136774322E-01 -2.117611487E+02 
         5  2.060650000E-01 -5.771190000E-02  0.000000000E+00  1.175894154E-01 -2.762243302E+02 
         6  4.117260000E-01 -5.757270000E-02  0.000000000E+00  1.126040582E-01 -1.946100423E+02 
         7  4.528280000E-01 -5.566140000E-02  0.000000000E+00  1.115273129E-01 -1.775696065E+02 
         8  1.650180000E-01 -5.486620000E-02  0.000000000E+00  1.182425221E-01 -2.873503858E+02 
         9  4.939080000E-01 -5.332060000E-02  0.000000000E+00  1.104537054E-01 -1.607341142E+02 
        10  5.349650000E-01 -5.060440000E-02  0.000000000E+00  1.093841777E-01 -1.441373097E+02 
        11  1.241140000E-01 -5.043730000E-02  0.000000000E+00  1.184848238E-01 -2.918757955E+02 
        12  5.759990000E-01 -4.755650000E-02  0.000000000E+00  1.083168913E-01 -1.277424514E+02 
        13  6.170090000E-01 -4.421250000E-02  0.000000000E+00  1.072467845E-01 -1.114626856E+02 
        14  8.351470000E-02 -4.379180000E-02  0.000000000E+00  1.179651162E-01 -2.833221151E+02 
        15  6.579970000E-01 -4.059990000E-02  0.000000000E+00  1.061650083E-01 -9.514941931E+01 
        16  5.488770000E-02 -3.697740000E-02  0.000000000E+00  1.164251251E-01 -2.583152753E+02 
        17  6.989630000E-01 -3.673990000E-02  0.000000000E+00  1.050554455E-01 -7.858338456E+01 
        18  7.399050000E-01 -3.264710000E-02  0.000000000E+00  1.038939730E-01 -6.143440203E+01 
        19  3.777470000E-02 -3.147510000E-02  0.000000000E+00  1.139426958E-01 -2.191148962E+02 
        20  7.808250000E-01 -2.833060000E-02  0.000000000E+00  1.026486529E-01 -4.321974612E+01 
        21  2.634450000E-02 -2.677890000E-02  0.000000000E+00  1.104276269E-01 -1.632273077E+02 
        22  8.217210000E-01 -2.379390000E-02  0.000000000E+00  1.012646623E-01 -2.319265041E+01 
        23  1.821900000E-02 -2.259850000E-02  0.000000000E+00  1.058167173E-01 -9.133158145E+01 
        24  1.318260000E-02 -1.942040000E-02  0.000000000E+00  1.005155461E-01 -1.305906639E+01 
        25  8.625920000E-01 -1.903530000E-02  0.000000000E+00  9.964566806E-02 -2.816025369E-01 
        26  9.850590000E-03 -1.691540000E-02  0.000000000E+00  9.481257192E-02  6.568693271E+01 
        27  7.411530000E-03 -1.476420000E-02  0.000000000E+00  8.860060890E-02  1.470078847E+02 
        28  9.034350000E-01 -1.404860000E-02  0.000000000E+00  9.781554133E-02  2.569130063E+01 
        29  5.510960000E-03 -1.280140000E-02  0.000000000E+00  8.160404728E-02  2.327171453E+02 
        30  3.983540000E-03 -1.093890000E-02  0.000000000E+00  7.351239137E-02  3.220046095E+02 
        31  9.337850000E-01 -1.018640000E-02  0.000000000E+00  9.574535854E-02  5.428936038E+01 
        32  2.745270000E-03 -9.124550000E-03  0.000000000E+00  6.417061370E-02  4.130138330E+02 
        33  1.752850000E-03 -7.324960000E-03  0.000000000E+00  5.352872501E-02  5.018903558E+02 
        34  9.641170000E-01 -6.185660000E-03  0.000000000E+00  9.298587483E-02  9.071290288E+01 
        35  9.860190000E-04 -5.518970000E-03  0.000000000E+00  4.154279185E-02  5.827837573E+02 
        36  4.384000000E-04 -3.696570000E-03  0.000000000E+00  2.844232252E-02  6.476040904E+02 
        37  9.885790000E-01 -2.851310000E-03  0.000000000E+00  8.810203244E-02  1.274958671E+02 
        38  1.095110000E-04 -1.855900000E-03  0.000000000E+00  1.471498858E-02  6.902711029E+02 
        39  0.000000000E+00  0.000000000E+00  0.000000000E+00  7.760835743E-03  7.057237674E+02 
        40  1.008950000E+00  0.000000000E+00  0.000000000E+00  8.445696037E-02  1.760904839E+02 
        41  1.095110000E-04  1.855900000E-03  0.000000000E+00  1.471692849E-02  6.902657843E+02 
        42  9.885790000E-01  2.851310000E-03  0.000000000E+00  8.808460487E-02  1.275665886E+02 
        43  4.384000000E-04  3.696570000E-03  0.000000000E+00  2.844469189E-02  6.475942589E+02 
        44  9.860190000E-04  5.518970000E-03  0.000000000E+00  4.154515663E-02  5.827701722E+02 
        45  9.641170000E-01  6.185660000E-03  0.000000000E+00  9.297709669E-02  9.081527985E+01 
        46  1.752850000E-03  7.324960000E-03  0.000000000E+00  5.353102260E-02  5.018736741E+02 
        47  2.745270000E-03  9.124550000E-03  0.000000000E+00  6.417281468E-02  4.129950230E+02 
        48  9.337850000E-01  1.018640000E-02  0.000000000E+00  9.574454186E-02  5.434849555E+01 
        49  3.983540000E-03  1.093890000E-02  0.000000000E+00  7.351447904E-02  3.219844789E+02 
        50  5.510960000E-03  1.280140000E-02  0.000000000E+00  8.160601567E-02  2.326964071E+02 
        51  9.034350000E-01  1.404860000E-02  0.000000000E+00  9.781644072E-02  2.572867702E+01 
        52  7.411530000E-03  1.476420000E-02  0.000000000E+00  8.860246084E-02  1.469871769E+02 
        53  9.850590000E-03  1.691540000E-02  0.000000000E+00  9.481430533E-02  6.566685727E+01 
        54  8.625920000E-01  1.903530000E-02  0.000000000E+00  9.964692139E-02 -2.579993579E-01 
        55  1.318260000E-02  1.942040000E-02  0.000000000E+00  1.005171496E-01 -1.307795762E+01 
        56  1.821900000E-02  2.259850000E-02  0.000000000E+00  1.058181659E-01 -9.134873237E+01 
        57  8.217210000E-01  2.379390000E-02  0.000000000E+00  1.012661317E-01 -2.317657774E+01 
        58  2.634450000E-02  2.677890000E-02  0.000000000E+00  1.104288889E-01 -1.632421225E+02 
        59  7.808250000E-01  2.833060000E-02  0.000000000E+00  1.026500145E-01 -4.320761917E+01 
        60  3.777470000E-02  3.147510000E-02  0.000000000E+00  1.139437295E-01 -2.191270445E+02 
        61  7.399050000E-01  3.264710000E-02  0.000000000E+00  1.038949851E-01 -6.142415100E+01 
        62  6.989630000E-01  3.673990000E-02  0.000000000E+00  1.050559850E-01 -7.857394661E+01 
        63  5.488770000E-02  3.697740000E-02  0.000000000E+00  1.164258633E-01 -2.583246558E+02 
        64  6.579970000E-01  4.059990000E-02  0.000000000E+00  1.061650538E-01 -9.514032976E+01 
        65  8.351470000E-02  4.379180000E-02  0.000000000E+00  1.179655180E-01 -2.833284230E+02 
        66  6.170090000E-01  4.421250000E-02  0.000000000E+00  1.072463836E-01 -1.114538064E+02 
        67  5.759990000E-01  4.755650000E-02  0.000000000E+00  1.083161319E-01 -1.277338102E+02 
        68  1.241140000E-01  5.043730000E-02  0.000000000E+00  1.184847017E-01 -2.918794739E+02 
        69  5.349650000E-01  5.060440000E-02  0.000000000E+00  1.093831614E-01 -1.441290152E+02 
        70  4.939080000E-01  5.332060000E-02  0.000000000E+00  1.104525168E-01 -1.607263381E+02 
        71  1.650180000E-01  5.486620000E-02  0.000000000E+00  1.182417624E-01 -2.873523708E+02 
        72  4.528280000E-01  5.566140000E-02  0.000000000E+00  1.115260023E-01 -1.775625622E+02 
        73  4.117260000E-01  5.757270000E-02  0.000000000E+00  1.126026393E-01 -1.946039512E+02 
        74  2.060650000E-01  5.771190000E-02  0.000000000E+00  1.175881783E-01 -2.762247977E+02 
        75  3.706030000E-01  5.898830000E-02  0.000000000E+00  1.136759009E-01 -2.117562015E+02 
        76  2.471780000E-01  5.933890000E-02  0.000000000E+00  1.167243825E-01 -2.616249052E+02 
