nodenumber     x-coordinate     y-coordinate     z-coordinate      mach-number         pressure 
         1  2.883190000E-01 -5.998690000E-02  0.000000000E+00  4.892668587E-02  5.625860980E+02 
         2  3.294650000E-01 -5.982680000E-02  0.000000000E+00  5.462583905E-02  5.235685264E+02 
         3  2.471780000E-01 -5.933890000E-02  0.000000000E+00  4.186464479E-02  6.049118759E+02 
         4  3.706030000E-01 -5.898830000E-02  0.000000000E+00  5.936414304E-02  4.878964543E+02 
         5  2.060650000E-01 -5.771190000E-02  0.000000000E+00  3.283743872E-02  6.488362200E+02 
         6  4.117260000E-01 -5.757270000E-02  0.000000000E+00  6.339415100E-02  4.552948874E+02 
         7  4.528280000E-01 -5.566140000E-02  0.000000000E+00  6.688868679E-02  4.253460103E+02 
         8  1.650180000E-01 -5.486620000E-02  0.000000000E+00  2.059586669E-02  6.911305619E+02 
         9  4.939080000E-01 -5.332060000E-02  0.000000000E+00  6.997001639E-02  3.976174292E+02 
        10  5.349650000E-01 -5.060440000E-02  0.000000000E+00  7.272885945E-02  3.716931832E+02 
        11  1.241140000E-01 -5.043730000E-02  0.000000000E+00  8.511025473E-03  7.159432828E+02 
        12  5.759990000E-01 -4.755650000E-02  0.000000000E+00  7.523306087E-02  3.471896836E+02 
        13  6.170090000E-01 -4.421250000E-02  0.000000000E+00  7.753603744E-02  3.237448201E+02 
        14  8.351470000E-02 -4.379180000E-02  0.000000000E+00  1.825155330E-02  6.751943904E+02 
        15  6.579970000E-01 -4.059990000E-02  0.000000000E+00  7.968275262E-02  3.010130394E+02 
        16  5.488770000E-02 -3.697740000E-02  0.000000000E+00  4.938237223E-02  5.142075126E+02 
        17  6.989630000E-01 -3.673990000E-02  0.000000000E+00  8.171302785E-02  2.786589541E+02 
        18  7.399050000E-01 -3.264710000E-02  0.000000000E+00  8.366486627E-02  2.563547674E+02 
        19  3.777470000E-02 -3.147510000E-02  0.000000000E+00  8.300127021E-02  1.957352686E+02 
        20  7.808250000E-01 -2.833060000E-02  0.000000000E+00  8.557837292E-02  2.337433080E+02 
        21  2.634450000E-02 -2.677890000E-02  0.000000000E+00  1.186208176E-01 -3.146168462E+02 
        22  8.217210000E-01 -2.379390000E-02  0.000000000E+00  8.750067524E-02  2.103522572E+02 
        23  1.821900000E-02 -2.259850000E-02  0.000000000E+00  1.560918253E-01 -1.033582455E+03 
        24  1.318260000E-02 -1.942040000E-02  0.000000000E+00  1.922465229E-01 -1.906831445E+03 
        25  8.625920000E-01 -1.903530000E-02  0.000000000E+00  8.950219416E-02  1.855814989E+02 
        26  9.850590000E-03 -1.691540000E-02  0.000000000E+00  2.254437611E-01 -2.863734049E+03 
        27  7.411530000E-03 -1.476420000E-02  0.000000000E+00  2.569178982E-01 -3.900154623E+03 
        28  9.034350000E-01 -1.404860000E-02  0.000000000E+00  9.153073094E-02  1.600585258E+02 
        29  5.510960000E-03 -1.280140000E-02  0.000000000E+00  2.878319612E-01 -5.038692111E+03 
        30  3.983540000E-03 -1.093890000E-02  0.000000000E+00  3.187169938E-01 -6.294133614E+03 
        31  9.337850000E-01 -1.018640000E-02  0.000000000E+00  9.350398261E-02  1.344496606E+02 
        32  2.745270000E-03 -9.124550000E-03  0.000000000E+00  3.497243812E-01 -7.658285433E+03 
        33  1.752850000E-03 -7.324960000E-03  0.000000000E+00  3.805826689E-01 -9.109322148E+03 
        34  9.641170000E-01 -6.185660000E-03  0.000000000E+00  9.565539682E-02  1.050933219E+02 
        35  9.860190000E-04 -5.518970000E-03  0.000000000E+00  4.104588406E-01 -1.060600660E+04 
        36  4.384000000E-04 -3.696570000E-03  0.000000000E+00  4.380141433E-01 -1.206735002E+04 
        37  9.885790000E-01 -2.851310000E-03  0.000000000E+00  9.856578206E-02  7.139451218E+01 
        38  1.095110000E-04 -1.855900000E-03  0.000000000E+00  4.617621003E-01 -1.338392319E+04 
        39  0.000000000E+00  0.000000000E+00  0.000000000E+00  4.804472976E-01 -1.447093071E+04 
        40  1.008950000E+00  0.000000000E+00  0.000000000E+00  7.294467024E-02  1.795542795E+01 
        41  1.095110000E-04  1.855900000E-03  0.000000000E+00  4.932840071E-01 -1.526375128E+04 
        42  9.885790000E-01  2.851310000E-03  0.000000000E+00  1.201695489E-02 -7.387870021E-01 
        43  4.384000000E-04  3.696570000E-03  0.000000000E+00  4.994850238E-01 -1.569242179E+04 
        44  9.860190000E-04  5.518970000E-03  0.000000000E+00  4.987378666E-01 -1.571193074E+04 
        45  9.641170000E-01  6.185660000E-03  0.000000000E+00  5.298967836E-03 -1.156685791E+00 
        46  1.752850000E-03  7.324960000E-03  0.000000000E+00  4.918043764E-01 -1.535250906E+04 
        47  2.745270000E-03  9.124550000E-03  0.000000000E+00  4.798994204E-01 -1.470943520E+04 
        48  9.337850000E-01  1.018640000E-02  0.000000000E+00  6.829173433E-03 -3.091526134E+00 
        49  3.983540000E-03  1.093890000E-02  0.000000000E+00  4.642517736E-01 -1.386959856E+04 
        50  5.510960000E-03  1.280140000E-02  0.000000000E+00  4.458176034E-01 -1.289754144E+04 
        51  9.034350000E-01  1.404860000E-02  0.000000000E+00  6.038813007E-03  2.207890896E+00 
        52  7.411530000E-03  1.476420000E-02  0.000000000E+00  4.251064087E-01 -1.184234850E+04 
        53  9.850590000E-03  1.691540000E-02  0.000000000E+00  4.021131955E-01 -1.071779126E+04 
        54  8.625920000E-01  1.903530000E-02  0.000000000E+00  5.111830555E-03  6.241241384E+00 
        55  1.318260000E-02  1.942040000E-02  0.000000000E+00  3.761128277E-01 -9.511555810E+03 
        56  1.821900000E-02  2.259850000E-02  0.000000000E+00  3.460067273E-01 -8.180988605E+03 
        57  8.217210000E-01  2.379390000E-02  0.000000000E+00  6.935060869E-03  7.102190787E+00 
        58  2.634450000E-02  2.677890000E-02  0.000000000E+00  3.128778506E-01 -6.786384495E+03 
        59  7.808250000E-01  2.833060000E-02  0.000000000E+00  2.219947598E-02 -6.874647819E+00 
