nodenumber     x-coordinate     y-coordinate     z-coordinate      mach-number         pressure 
         1  2.883190000E-01 -5.998690000E-02  0.000000000E+00  8.445896543E-02  1.991189526E+02 
         2  3.294650000E-01 -5.982680000E-02  0.000000000E+00  8.644741217E-02  1.753633109E+02 
         3  2.471780000E-01 -5.933890000E-02  0.000000000E+00  8.178954075E-02  2.299764237E+02 
         4  3.706030000E-01 -5.898830000E-02  0.000000000E+00  8.795911454E-02  1.568678677E+02 
         5  2.060650000E-01 -5.771190000E-02  0.000000000E+00  7.809155760E-02  2.707385254E+02 
         6  4.117260000E-01 -5.757270000E-02  0.000000000E+00  8.912585407E-02  1.423483083E+02 
         7  4.528280000E-01 -5.566140000E-02  0.000000000E+00  9.003526743E-02  1.308897075E+02 
         8  1.650180000E-01 -5.486620000E-02  0.000000000E+00  7.271910386E-02  3.259225510E+02 
         9  4.939080000E-01 -5.332060000E-02  0.000000000E+00  9.074883256E-02  1.218197489E+02 
        10  5.349650000E-01 -5.060440000E-02  0.000000000E+00  9.130896017E-02  1.146431798E+02 
        11  1.241140000E-01 -5.043730000E-02  0.000000000E+00  6.430447972E-02  4.044938630E+02 
        12  5.759990000E-01 -4.755650000E-02  0.000000000E+00  9.174539487E-02  1.090105814E+02 
        13  6.170090000E-01 -4.421250000E-02  0.000000000E+00  9.207862622E-02  1.046808569E+02 
        14  8.351470000E-02 -4.379180000E-02  0.000000000E+00  5.173927558E-02  5.058409348E+02 
        15  6.579970000E-01 -4.059990000E-02  0.000000000E+00  9.232320760E-02  1.015296964E+02 
        16  5.488770000E-02 -3.697740000E-02  0.000000000E+00  3.608250306E-02  6.039216633E+02 
        17  6.989630000E-01 -3.673990000E-02  0.000000000E+00  9.248328671E-02  9.944944808E+01 
        18  7.399050000E-01 -3.264710000E-02  0.000000000E+00  9.256057586E-02  9.844178035E+01 
        19  3.777470000E-02 -3.147510000E-02  0.000000000E+00  1.862242726E-02  6.745796299E+02 
        20  7.808250000E-01 -2.833060000E-02  0.000000000E+00  9.254077695E-02  9.880186642E+01 
        21  2.634450000E-02 -2.677890000E-02  0.000000000E+00  7.465919589E-03  7.033776631E+02 
        22  8.217210000E-01 -2.379390000E-02  0.000000000E+00  9.237990513E-02  1.009905873E+02 
        23  1.821900000E-02 -2.259850000E-02  0.000000000E+00  1.610588579E-02  6.786999838E+02 
        24  1.318260000E-02 -1.942040000E-02  0.000000000E+00  3.651725310E-02  6.022646944E+02 
