nodenumber     x-coordinate     y-coordinate     z-coordinate      mach-number         pressure 
         1  2.883190000E-01 -5.998690000E-02  0.000000000E+00  8.505193909E-02  2.045502537E+02 
         2  3.294650000E-01 -5.982680000E-02  0.000000000E+00  8.697918522E-02  1.813528869E+02 
         3  2.471780000E-01 -5.933890000E-02  0.000000000E+00  8.245797806E-02  2.347933046E+02 
         4  3.706030000E-01 -5.898830000E-02  0.000000000E+00  8.844074386E-02  1.633538300E+02 
         5  2.060650000E-01 -5.771190000E-02  0.000000000E+00  7.885585118E-02  2.749019163E+02 
         6  4.117260000E-01 -5.757270000E-02  0.000000000E+00  8.956591302E-02  1.492682052E+02 
         7  4.528280000E-01 -5.566140000E-02  0.000000000E+00  9.044087034E-02  1.381829362E+02 
         8  1.650180000E-01 -5.486620000E-02  0.000000000E+00  7.361306533E-02  3.294303937E+02 
         9  4.939080000E-01 -5.332060000E-02  0.000000000E+00  9.112607960E-02  1.294277809E+02 
        10  5.349650000E-01 -5.060440000E-02  0.000000000E+00  9.166345583E-02  1.225099382E+02 
        11  1.241140000E-01 -5.043730000E-02  0.000000000E+00  6.538636762E-02  4.075976112E+02 
        12  5.759990000E-01 -4.755650000E-02  0.000000000E+00  9.208239181E-02  1.170824623E+02 
        13  6.170090000E-01 -4.421250000E-02  0.000000000E+00  9.240283417E-02  1.129038179E+02 
        14  8.351470000E-02 -4.379180000E-02  0.000000000E+00  5.290836089E-02  5.106343408E+02 
        15  6.579970000E-01 -4.059990000E-02  0.000000000E+00  9.263851186E-02  1.098485224E+02 
        16  5.488770000E-02 -3.697740000E-02  0.000000000E+00  3.763022137E-02  6.095912813E+02 
        17  6.989630000E-01 -3.673990000E-02  0.000000000E+00  9.279387198E-02  1.078218654E+02 
        18  7.399050000E-01 -3.264710000E-02  0.000000000E+00  9.287028317E-02  1.068244122E+02 
        19  3.777470000E-02 -3.147510000E-02  0.000000000E+00  2.071491654E-02  6.821295242E+02 
        20  7.808250000E-01 -2.833060000E-02  0.000000000E+00  9.285386308E-02  1.071312281E+02 
        21  2.634450000E-02 -2.677890000E-02  0.000000000E+00  8.001445687E-03  7.148956167E+02 
        22  8.217210000E-01 -2.379390000E-02  0.000000000E+00  9.270077246E-02  1.092063842E+02 
        23  1.821900000E-02 -2.259850000E-02  0.000000000E+00  1.458698287E-02  6.960579210E+02 
        24  1.318260000E-02 -1.942040000E-02  0.000000000E+00  3.468482723E-02  6.256372769E+02 
        25  8.625920000E-01 -1.903530000E-02  0.000000000E+00  9.235664794E-02  1.136717890E+02 
        26  9.850590000E-03 -1.691540000E-02  0.000000000E+00  5.347336728E-02  5.089690393E+02 
        27  7.411530000E-03 -1.476420000E-02  0.000000000E+00  7.155941271E-02  3.483616241E+02 
        28  9.034350000E-01 -1.404860000E-02  0.000000000E+00  9.179017337E-02  1.213102155E+02 
        29  5.510960000E-03 -1.280140000E-02  0.000000000E+00  8.971813970E-02  1.401858069E+02 
        30  3.983540000E-03 -1.093890000E-02  0.000000000E+00  1.082045470E-01 -1.207488164E+02 
        31  9.337850000E-01 -1.018640000E-02  0.000000000E+00  9.093885364E-02  1.324291551E+02 
        32  2.745270000E-03 -9.124550000E-03  0.000000000E+00  1.270827158E-01 -4.387354007E+02 
        33  1.752850000E-03 -7.324960000E-03  0.000000000E+00  1.462755713E-01 -8.157995345E+02 
        34  9.641170000E-01 -6.185660000E-03  0.000000000E+00  8.950366857E-02  1.502296003E+02 
        35  9.860190000E-04 -5.518970000E-03  0.000000000E+00  1.654793248E-01 -1.241462293E+03 
        36  4.384000000E-04 -3.696570000E-03  0.000000000E+00  1.842830169E-01 -1.704167444E+03 
        37  9.885790000E-01 -2.851310000E-03  0.000000000E+00  8.673406655E-02  1.701044620E+02 
        38  1.095110000E-04 -1.855900000E-03  0.000000000E+00  2.020296280E-01 -2.187188556E+03 
        39  0.000000000E+00  0.000000000E+00  0.000000000E+00  2.180930532E-01 -2.658341049E+03 
        40  1.008950000E+00  0.000000000E+00  0.000000000E+00  7.881968767E-02  1.974150582E+02 
        41  1.095110000E-04  1.855900000E-03  0.000000000E+00  2.318135360E-01 -3.091975526E+03 
        42  9.885790000E-01  2.851310000E-03  0.000000000E+00  7.599942161E-02  1.320562949E+02 
        43  4.384000000E-04  3.696570000E-03  0.000000000E+00  2.425815577E-01 -3.456692411E+03 
        44  9.860190000E-04  5.518970000E-03  0.000000000E+00  2.501095776E-01 -3.722139424E+03 
        45  9.641170000E-01  6.185660000E-03  0.000000000E+00  8.276320616E-02  7.667802921E+01 
        46  1.752850000E-03  7.324960000E-03  0.000000000E+00  2.544580678E-01 -3.881750922E+03 
        47  2.745270000E-03  9.124550000E-03  0.000000000E+00  2.560227862E-01 -3.942778186E+03 
        48  9.337850000E-01  1.018640000E-02  0.000000000E+00  8.728079608E-02  2.353608969E+01 
        49  3.983540000E-03  1.093890000E-02  0.000000000E+00  2.552624173E-01 -3.920984931E+03 
        50  5.510960000E-03  1.280140000E-02  0.000000000E+00  2.525633805E-01 -3.832867908E+03 
        51  9.034350000E-01  1.404860000E-02  0.000000000E+00  9.088053215E-02 -2.190368217E+01 
        52  7.411530000E-03  1.476420000E-02  0.000000000E+00  2.482104044E-01 -3.689945667E+03 
        53  9.850590000E-03  1.691540000E-02  0.000000000E+00  2.422895533E-01 -3.498239191E+03 
        54  8.625920000E-01  1.903530000E-02  0.000000000E+00  9.433952370E-02 -6.727754401E+01 
        55  1.318260000E-02  1.942040000E-02  0.000000000E+00  2.346423395E-01 -3.252754219E+03 
        56  1.821900000E-02  2.259850000E-02  0.000000000E+00  2.247486010E-01 -2.956331475E+03 
        57  8.217210000E-01  2.379390000E-02  0.000000000E+00  9.753387120E-02 -1.100099265E+02 
        58  2.634450000E-02  2.677890000E-02  0.000000000E+00  2.129369955E-01 -2.616585400E+03 
        59  7.808250000E-01  2.833060000E-02  0.000000000E+00  1.003990030E-01 -1.498622578E+02 
        60  3.777470000E-02  3.147510000E-02  0.000000000E+00  2.004559601E-01 -2.261367293E+03 
        61  7.399050000E-01  3.264710000E-02  0.000000000E+00  1.030879054E-01 -1.882781754E+02 
        62  6.989630000E-01  3.673990000E-02  0.000000000E+00  1.056999890E-01 -2.263648234E+02 
        63  5.488770000E-02  3.697740000E-02  0.000000000E+00  1.876777280E-01 -1.917959679E+03 
        64  6.579970000E-01  4.059990000E-02  0.000000000E+00  1.082750087E-01 -2.649713395E+02 
        65  8.351470000E-02  4.379180000E-02  0.000000000E+00  1.747521761E-01 -1.587484750E+03 
        66  6.170090000E-01  4.421250000E-02  0.000000000E+00  1.108682276E-01 -3.047751557E+02 
        67  5.759990000E-01  4.755650000E-02  0.000000000E+00  1.135255392E-01 -3.463948384E+02 
        68  1.241140000E-01  5.043730000E-02  0.000000000E+00  1.630145514E-01 -1.301869807E+03 
        69  5.349650000E-01  5.060440000E-02  0.000000000E+00  1.162742042E-01 -3.904544822E+02 
        70  4.939080000E-01  5.332060000E-02  0.000000000E+00  1.191430662E-01 -4.376096408E+02 
        71  1.650180000E-01  5.486620000E-02  0.000000000E+00  1.540442517E-01 -1.099809942E+03 
        72  4.528280000E-01  5.566140000E-02  0.000000000E+00  1.221661617E-01 -4.886139087E+02 
        73  4.117260000E-01  5.757270000E-02  0.000000000E+00  1.253938274E-01 -5.443527213E+02 
        74  2.060650000E-01  5.771190000E-02  0.000000000E+00  1.472215837E-01 -9.572604795E+02 
