nodenumber     x-coordinate     y-coordinate     z-coordinate      mach-number         pressure 
         1  2.883190000E-01 -5.998690000E-02  0.000000000E+00  1.018249671E-01 -4.455772443E+01 
         2  3.294650000E-01 -5.982680000E-02  0.000000000E+00  1.015563218E-01 -6.867304846E+01 
         3  2.471780000E-01 -5.933890000E-02  0.000000000E+00  1.021334799E-01 -1.702476514E+01 
         4  3.706030000E-01 -5.898830000E-02  0.000000000E+00  1.013115026E-01 -9.011619907E+01 
         5  2.060650000E-01 -5.771190000E-02  0.000000000E+00  1.025213904E-01  1.546016119E+01 
         6  4.117260000E-01 -5.757270000E-02  0.000000000E+00  1.010858957E-01 -1.093265286E+02 
         7  4.528280000E-01 -5.566140000E-02  0.000000000E+00  1.008839262E-01 -1.266081374E+02 
         8  1.650180000E-01 -5.486620000E-02  0.000000000E+00  1.030900342E-01  5.581459094E+01 
         9  4.939080000E-01 -5.332060000E-02  0.000000000E+00  1.007106721E-01 -1.422300942E+02 
        10  5.349650000E-01 -5.060440000E-02  0.000000000E+00  1.005603660E-01 -1.564417735E+02 
        11  1.241140000E-01 -5.043730000E-02  0.000000000E+00  1.039740098E-01  1.111729479E+02 
        12  5.759990000E-01 -4.755650000E-02  0.000000000E+00  1.004266827E-01 -1.694730887E+02 
        13  6.170090000E-01 -4.421250000E-02  0.000000000E+00  1.003094706E-01 -1.815428455E+02 
        14  8.351470000E-02 -4.379180000E-02  0.000000000E+00  1.051538750E-01  1.915548947E+02 
        15  6.579970000E-01 -4.059990000E-02  0.000000000E+00  1.002084121E-01 -1.928356910E+02 
        16  5.488770000E-02 -3.697740000E-02  0.000000000E+00  1.057176654E-01  2.811389587E+02 
        17  6.989630000E-01 -3.673990000E-02  0.000000000E+00  1.001193174E-01 -2.034711611E+02 
        18  7.399050000E-01 -3.264710000E-02  0.000000000E+00  1.000363136E-01 -2.134216009E+02 
        19  3.777470000E-02 -3.147510000E-02  0.000000000E+00  1.046200025E-01  3.714266163E+02 
        20  7.808250000E-01 -2.833060000E-02  0.000000000E+00  9.995352180E-02 -2.223578302E+02 
        21  2.634450000E-02 -2.677890000E-02  0.000000000E+00  1.010072551E-01  4.689747255E+02 
        22  8.217210000E-01 -2.379390000E-02  0.000000000E+00  9.985184300E-02 -2.293242859E+02 
        23  1.821900000E-02 -2.259850000E-02  0.000000000E+00  9.506132814E-02  5.726642697E+02 
        24  1.318260000E-02 -1.942040000E-02  0.000000000E+00  8.828052414E-02  6.708405992E+02 
        25  8.625920000E-01 -1.903530000E-02  0.000000000E+00  9.970801191E-02 -2.320856289E+02 
        26  9.850590000E-03 -1.691540000E-02  0.000000000E+00  8.175856560E-02  7.587693104E+02 
        27  7.411530000E-03 -1.476420000E-02  0.000000000E+00  7.552040875E-02  8.397407817E+02 
        28  9.034350000E-01 -1.404860000E-02  0.000000000E+00  9.946997208E-02 -2.269837019E+02 
        29  5.510960000E-03 -1.280140000E-02  0.000000000E+00  6.916160168E-02  9.164481485E+02 
        30  3.983540000E-03 -1.093890000E-02  0.000000000E+00  6.233742713E-02  9.894824311E+02 
        31  9.337850000E-01 -1.018640000E-02  0.000000000E+00  9.893257718E-02 -2.064846661E+02 
        32  2.745270000E-03 -9.124550000E-03  0.000000000E+00  5.482070360E-02  1.058831437E+03 
        33  1.752850000E-03 -7.324960000E-03  0.000000000E+00  4.641700665E-02  1.123811615E+03 
        34  9.641170000E-01 -6.185660000E-03  0.000000000E+00  9.749177231E-02 -1.524039464E+02 
        35  9.860190000E-04 -5.518970000E-03  0.000000000E+00  3.671417086E-02  1.184911017E+03 
        36  4.384000000E-04 -3.696570000E-03  0.000000000E+00  2.550075511E-02  1.237837958E+03 
        37  9.885790000E-01 -2.851310000E-03  0.000000000E+00  9.374481333E-02 -7.762804088E+01 
        38  1.095110000E-04 -1.855900000E-03  0.000000000E+00  1.284115803E-02  1.275798218E+03 
        39  0.000000000E+00  0.000000000E+00  0.000000000E+00  6.137151997E-03  1.290669457E+03 
        40  1.008950000E+00  0.000000000E+00  0.000000000E+00  9.117849684E-02  1.347888766E+01 
        41  1.095110000E-04  1.855900000E-03  0.000000000E+00  1.283966021E-02  1.275794304E+03 
        42  9.885790000E-01  2.851310000E-03  0.000000000E+00  9.374481435E-02 -7.762839819E+01 
        43  4.384000000E-04  3.696570000E-03  0.000000000E+00  2.550027816E-02  1.237824325E+03 
        44  9.860190000E-04  5.518970000E-03  0.000000000E+00  3.671414139E-02  1.184886807E+03 
        45  9.641170000E-01  6.185660000E-03  0.000000000E+00  9.749177377E-02 -1.524049315E+02 
        46  1.752850000E-03  7.324960000E-03  0.000000000E+00  4.641639555E-02  1.123780249E+03 
        47  2.745270000E-03  9.124550000E-03  0.000000000E+00  5.481890124E-02  1.058801275E+03 
