nodenumber     x-coordinate     y-coordinate     z-coordinate      mach-number         pressure 
         1  2.883190000E-01 -5.998690000E-02  0.000000000E+00  1.016797151E-02 -1.337391591E+03 
         2  3.294650000E-01 -5.982680000E-02  0.000000000E+00  8.850840221E-03 -1.330601794E+03 
         3  2.471780000E-01 -5.933890000E-02  0.000000000E+00  1.183316674E-02 -1.346044304E+03 
         4  3.706030000E-01 -5.898830000E-02  0.000000000E+00  7.833180020E-03 -1.325179537E+03 
         5  2.060650000E-01 -5.771190000E-02  0.000000000E+00  1.382648326E-02 -1.356734650E+03 
         6  4.117260000E-01 -5.757270000E-02  0.000000000E+00  7.013538637E-03 -1.320736667E+03 
         7  4.528280000E-01 -5.566140000E-02  0.000000000E+00  6.338999736E-03 -1.316983332E+03 
         8  1.650180000E-01 -5.486620000E-02  0.000000000E+00  1.646881318E-02 -1.369244608E+03 
         9  4.939080000E-01 -5.332060000E-02  0.000000000E+00  5.867794062E-03 -1.313669126E+03 
        10  5.349650000E-01 -5.060440000E-02  0.000000000E+00  5.835079674E-03 -1.310556467E+03 
        11  1.241140000E-01 -5.043730000E-02  0.000000000E+00  1.964718235E-02 -1.384032063E+03 
        12  5.759990000E-01 -4.755650000E-02  0.000000000E+00  6.409383019E-03 -1.307320069E+03 
        13  6.170090000E-01 -4.421250000E-02  0.000000000E+00  7.183198214E-03 -1.303452935E+03 
        14  8.351470000E-02 -4.379180000E-02  0.000000000E+00  2.122864385E-02 -1.397248880E+03 
        15  6.579970000E-01 -4.059990000E-02  0.000000000E+00  7.673944353E-03 -1.298617291E+03 
        16  5.488770000E-02 -3.697740000E-02  0.000000000E+00  2.044457978E-02 -1.398862043E+03 
        17  6.989630000E-01 -3.673990000E-02  0.000000000E+00  7.900815531E-03 -1.292997864E+03 
        18  7.399050000E-01 -3.264710000E-02  0.000000000E+00  7.873411202E-03 -1.286772291E+03 
        19  3.777470000E-02 -3.147510000E-02  0.000000000E+00  1.801925500E-02 -1.399002681E+03 
        20  7.808250000E-01 -2.833060000E-02  0.000000000E+00  7.533275288E-03 -1.279682326E+03 
        21  2.634450000E-02 -2.677890000E-02  0.000000000E+00  1.297671375E-02 -1.427514055E+03 
        22  8.159680000E-01 -2.444550000E-02  0.000000000E+00  7.033327708E-03 -1.272102421E+03 
        23  1.821900000E-02 -2.259850000E-02  0.000000000E+00  3.585647298E-02 -1.576175590E+03 
        24  8.510930000E-01 -2.039720000E-02  0.000000000E+00  6.540805857E-03 -1.263200627E+03 
        25  1.318260000E-02 -1.942040000E-02  0.000000000E+00  8.657860311E-02 -1.935662388E+03 
        26  8.782860000E-01 -1.714700000E-02  0.000000000E+00  6.452480529E-03 -1.254090558E+03 
        27  9.850590000E-03 -1.691540000E-02  0.000000000E+00  1.310945033E-01 -2.468054385E+03 
        28  7.411530000E-03 -1.476420000E-02  0.000000000E+00  1.670283582E-01 -3.090774622E+03 
        29  9.009380000E-01 -1.436040000E-02  0.000000000E+00  7.441493925E-03 -1.244212243E+03 
        30  5.510960000E-03 -1.280140000E-02  0.000000000E+00  1.987450737E-01 -3.778324934E+03 
        31  9.198070000E-01 -1.198220000E-02  0.000000000E+00  1.042942470E-02 -1.233839040E+03 
        32  3.983540000E-03 -1.093890000E-02  0.000000000E+00  2.274441967E-01 -4.421199136E+03 
        33  9.355260000E-01 -9.960600000E-03  0.000000000E+00  1.510395369E-02 -1.225332615E+03 
        34  2.745270000E-03 -9.124550000E-03  0.000000000E+00  2.496686270E-01 -4.953137852E+03 
        35  9.486220000E-01 -8.247430000E-03  0.000000000E+00  1.883918999E-02 -1.220131502E+03 
        36  1.752850000E-03 -7.324960000E-03  0.000000000E+00  2.659470150E-01 -5.416546290E+03 
        37  9.595320000E-01 -6.799650000E-03  0.000000000E+00  2.045318502E-02 -1.216502518E+03 
        38  9.686220000E-01 -5.578890000E-03  0.000000000E+00  2.116951471E-02 -1.212732600E+03 
        39  9.860190000E-04 -5.518970000E-03  0.000000000E+00  2.790418336E-01 -5.796352496E+03 
        40  9.761960000E-01 -4.551510000E-03  0.000000000E+00  2.144936136E-02 -1.208116213E+03 
        41  4.384000000E-04 -3.696570000E-03  0.000000000E+00  2.884740805E-01 -6.047357945E+03 
        42  9.825070000E-01 -3.688230000E-03  0.000000000E+00  2.096068866E-02 -1.203111612E+03 
        43  9.877650000E-01 -2.963870000E-03  0.000000000E+00  1.938730726E-02 -1.198553597E+03 
        44  9.921460000E-01 -2.356690000E-03  0.000000000E+00  1.665015367E-02 -1.194690965E+03 
        45  1.095110000E-04 -1.855900000E-03  0.000000000E+00  2.945374736E-01 -6.116633840E+03 
        46  9.957970000E-01 -1.848260000E-03  0.000000000E+00  1.289737836E-02 -1.193108134E+03 
        47  9.988390000E-01 -1.422790000E-03  0.000000000E+00  8.534920493E-03 -1.195639837E+03 
        48  1.001370000E+00 -1.062990000E-03  0.000000000E+00  4.333756827E-03 -1.202228121E+03 
        49  1.003480000E+00 -7.543150000E-04  0.000000000E+00  1.749747499E-03 -1.210505206E+03 
        50  1.005240000E+00 -4.991700000E-04  0.000000000E+00  9.242246583E-04 -1.216446110E+03 
        51  1.006710000E+00 -2.932730000E-04  0.000000000E+00  2.773808704E-03 -1.216902949E+03 
        52  1.007930000E+00 -1.294160000E-04  0.000000000E+00  1.281020230E-02 -1.231919560E+03 
        53  0.000000000E+00  0.000000000E+00  0.000000000E+00  2.980644066E-01 -5.974339179E+03 
        54  1.008950000E+00  0.000000000E+00  0.000000000E+00  3.270446928E-02 -1.182368621E+03 
        55  1.008950000E+00  1.219510000E-03  0.000000000E+00  3.791441683E-02 -1.117188912E+03 
        56  9.957970000E-01  1.848260000E-03  0.000000000E+00  1.325055675E-03  9.143681165E+02 
        57  1.095110000E-04  1.855900000E-03  0.000000000E+00  2.972371498E-01 -5.668358994E+03 
        58  9.921460000E-01  2.356690000E-03  0.000000000E+00  4.082866538E-03  9.140544350E+02 
        59  1.008950000E+00  2.439020000E-03  0.000000000E+00  3.464872107E-02 -1.109925220E+03 
        60  9.877650000E-01  2.963870000E-03  0.000000000E+00  7.442107717E-03  9.114740316E+02 
        61  1.008950000E+00  3.658540000E-03  0.000000000E+00  3.303393362E-02 -1.100251761E+03 
        62  9.825070000E-01  3.688230000E-03  0.000000000E+00  8.587696042E-03  9.095250573E+02 
        63  4.384000000E-04  3.696570000E-03  0.000000000E+00  2.893881432E-01 -5.258159925E+03 
        64  9.761960000E-01  4.551510000E-03  0.000000000E+00  7.832240227E-03  9.094217954E+02 
        65  1.008950000E+00  4.878050000E-03  0.000000000E+00  3.197307872E-02 -1.096132569E+03 
        66  9.860190000E-04  5.518970000E-03  0.000000000E+00  2.761243020E-01 -4.708901261E+03 
        67  9.686220000E-01  5.578890000E-03  0.000000000E+00  7.293040188E-03  9.097083902E+02 
        68  1.008950000E+00  6.097560000E-03  0.000000000E+00  3.133669998E-02 -1.094152328E+03 
        69  9.595320000E-01  6.799650000E-03  0.000000000E+00  8.036104282E-03  9.064707386E+02 
        70  1.008950000E+00  7.317070000E-03  0.000000000E+00  3.089295606E-02 -1.093379731E+03 
        71  1.752850000E-03  7.324960000E-03  0.000000000E+00  2.600227790E-01 -4.044633840E+03 
        72  9.486220000E-01  8.247430000E-03  0.000000000E+00  7.457935517E-03  8.978426349E+02 
        73  1.008950000E+00  8.536590000E-03  0.000000000E+00  3.053353415E-02 -1.093009351E+03 
        74  2.745270000E-03  9.124550000E-03  0.000000000E+00  2.415131128E-01 -3.340496492E+03 
        75  1.008950000E+00  9.756100000E-03  0.000000000E+00  3.019390642E-02 -1.092738447E+03 
        76  9.355260000E-01  9.960600000E-03  0.000000000E+00  6.979713373E-03  8.825627719E+02 
        77  3.983540000E-03  1.093890000E-02  0.000000000E+00  2.210013661E-01 -2.608955304E+03 
        78  9.988390000E-01  1.096260000E-02  0.000000000E+00  1.102985159E-03  9.118118454E+02 
        79  1.008950000E+00  1.097560000E-02  0.000000000E+00  2.984180988E-02 -1.092468440E+03 
        80  9.198070000E-01  1.198220000E-02  0.000000000E+00  1.767717288E-02  8.517718397E+02 
        81  1.008950000E+00  1.219510000E-02  0.000000000E+00  2.945843159E-02 -1.092148015E+03 
        82  5.510960000E-03  1.280140000E-02  0.000000000E+00  2.000579834E-01 -1.914613637E+03 
        83  1.008950000E+00  1.341460000E-02  0.000000000E+00  2.903135327E-02 -1.091742868E+03 
        84  9.009380000E-01  1.436040000E-02  0.000000000E+00  3.464795211E-02  8.029338894E+02 
        85  1.008950000E+00  1.463410000E-02  0.000000000E+00  2.855201162E-02 -1.091232992E+03 
        86  7.411530000E-03  1.476420000E-02  0.000000000E+00  1.801881957E-01 -1.331113999E+03 
        87  1.008950000E+00  1.585370000E-02  0.000000000E+00  2.801497769E-02 -1.090611239E+03 
        88  9.850590000E-03  1.691540000E-02  0.000000000E+00  1.605802685E-01 -8.285746137E+02 
        89  1.008950000E+00  1.707320000E-02  0.000000000E+00  2.741749555E-02 -1.089881861E+03 
        90  8.782860000E-01  1.714700000E-02  0.000000000E+00  4.573264765E-02  7.526497671E+02 
        91  1.008950000E+00  1.829270000E-02  0.000000000E+00  2.675886278E-02 -1.089053776E+03 
        92  1.318260000E-02  1.942040000E-02  0.000000000E+00  1.389575784E-01 -3.401860470E+02 
        93  1.008950000E+00  1.951220000E-02  0.000000000E+00  2.603871472E-02 -1.088132843E+03 
        94  8.510930000E-01  2.039720000E-02  0.000000000E+00  5.225773565E-02  7.157621953E+02 
        95  1.008950000E+00  2.073170000E-02  0.000000000E+00  2.525606190E-02 -1.087135567E+03 
        96  1.001370000E+00  2.073980000E-02  0.000000000E+00  9.458875396E-04  9.062607570E+02 
        97  1.008950000E+00  2.195120000E-02  0.000000000E+00  2.441099882E-02 -1.086102521E+03 
        98  1.821900000E-02  2.259850000E-02  0.000000000E+00  1.138341770E-01  1.435170163E+02 
        99  1.008950000E+00  2.317070000E-02  0.000000000E+00  2.350347986E-02 -1.085095114E+03 
       100  1.008950000E+00  2.439020000E-02  0.000000000E+00  2.253050904E-02 -1.084136230E+03 
       101  8.159680000E-01  2.444550000E-02  0.000000000E+00  5.624370409E-02  6.946873312E+02 
       102  1.008950000E+00  2.560980000E-02  0.000000000E+00  2.148836183E-02 -1.083208591E+03 
       103  2.634450000E-02  2.677890000E-02  0.000000000E+00  8.646838292E-02  5.627962219E+02 
       104  1.008950000E+00  2.682930000E-02  0.000000000E+00  2.037443958E-02 -1.082326827E+03 
       105  1.008950000E+00  2.804880000E-02  0.000000000E+00  1.918547514E-02 -1.081527590E+03 
       106  7.808250000E-01  2.833060000E-02  0.000000000E+00  5.803926464E-02  6.905144390E+02 
       107  1.003480000E+00  2.887370000E-02  0.000000000E+00  1.746521224E-03  8.959453109E+02 
       108  1.008950000E+00  2.926830000E-02  0.000000000E+00  1.791634406E-02 -1.080845870E+03 
       109  1.008950000E+00  3.048780000E-02  0.000000000E+00  1.656059620E-02 -1.080315524E+03 
       110  3.777470000E-02  3.147510000E-02  0.000000000E+00  6.001902717E-02  8.640501094E+02 
       111  1.008950000E+00  3.170730000E-02  0.000000000E+00  1.511174110E-02 -1.079965648E+03 
       112  7.399050000E-01  3.264710000E-02  0.000000000E+00  5.869398324E-02  6.977195169E+02 
       113  1.008950000E+00  3.292680000E-02  0.000000000E+00  1.356398266E-02 -1.079819612E+03 
       114  1.008950000E+00  3.414630000E-02  0.000000000E+00  1.191285959E-02 -1.079891473E+03 
       115  1.008950000E+00  3.536590000E-02  0.000000000E+00  1.015531797E-02 -1.080201782E+03 
       116  1.005240000E+00  3.565510000E-02  0.000000000E+00  5.942109241E-03  8.901900406E+02 
       117  1.008950000E+00  3.658540000E-02  0.000000000E+00  8.290658157E-03 -1.080813423E+03 
       118  6.989630000E-01  3.673990000E-02  0.000000000E+00  5.875228721E-02  7.115987692E+02 
       119  5.488770000E-02  3.697740000E-02  0.000000000E+00  3.492232963E-02  1.052325649E+03 
       120  1.008950000E+00  3.780490000E-02  0.000000000E+00  6.323802888E-03 -1.081791497E+03 
       121  1.008950000E+00  3.902440000E-02  0.000000000E+00  4.268901329E-03 -1.083259795E+03 
       122  1.008950000E+00  4.024390000E-02  0.000000000E+00  2.244144835E-03 -1.085383929E+03 
