nodenumber     x-coordinate     y-coordinate     z-coordinate      mach-number         pressure 
         1  2.883190000E-01 -5.998690000E-02  0.000000000E+00  7.824455085E-02 -8.630455428E+02 
         2  3.294650000E-01 -5.982680000E-02  0.000000000E+00  7.548828129E-02 -8.025757897E+02 
         3  2.471780000E-01 -5.933890000E-02  0.000000000E+00  8.192695602E-02 -9.324986134E+02 
         4  3.706030000E-01 -5.898830000E-02  0.000000000E+00  7.321775620E-02 -7.490065719E+02 
         5  2.060650000E-01 -5.771190000E-02  0.000000000E+00  8.713111123E-02 -1.014711684E+03 
         6  4.117260000E-01 -5.757270000E-02  0.000000000E+00  7.117332664E-02 -7.010214241E+02 
         7  4.528280000E-01 -5.566140000E-02  0.000000000E+00  6.922490628E-02 -6.576958280E+02 
         8  1.650180000E-01 -5.486620000E-02  0.000000000E+00  9.449845116E-02 -1.116732369E+03 
         9  4.939080000E-01 -5.332060000E-02  0.000000000E+00  6.734362514E-02 -6.183374331E+02 
        10  5.349650000E-01 -5.060440000E-02  0.000000000E+00  6.556988266E-02 -5.823626731E+02 
        11  1.241140000E-01 -5.043730000E-02  0.000000000E+00  1.040455618E-01 -1.260048008E+03 
        12  5.759990000E-01 -4.755650000E-02  0.000000000E+00  6.392290428E-02 -5.493300769E+02 
        13  6.170090000E-01 -4.421250000E-02  0.000000000E+00  6.238059429E-02 -5.187979192E+02 
        14  8.351470000E-02 -4.379180000E-02  0.000000000E+00  1.161628363E-01 -1.472521148E+03 
        15  6.579970000E-01 -4.059990000E-02  0.000000000E+00  6.091597894E-02 -4.902916899E+02 
        16  5.488770000E-02 -3.697740000E-02  0.000000000E+00  1.301656979E-01 -1.700954760E+03 
        17  6.989630000E-01 -3.673990000E-02  0.000000000E+00  5.952029759E-02 -4.633809242E+02 
        18  7.399050000E-01 -3.264710000E-02  0.000000000E+00  5.819259693E-02 -4.375456272E+02 
        19  3.777470000E-02 -3.147510000E-02  0.000000000E+00  1.450644645E-01 -1.916522969E+03 
        20  7.808250000E-01 -2.833060000E-02  0.000000000E+00  5.691258362E-02 -4.128211290E+02 
        21  2.634450000E-02 -2.677890000E-02  0.000000000E+00  1.597440453E-01 -2.138210252E+03 
        22  8.159680000E-01 -2.444550000E-02  0.000000000E+00  5.578977089E-02 -3.911762978E+02 
