nodenumber     x-coordinate     y-coordinate     z-coordinate      mach-number         pressure 
         1  2.883190000E-01 -5.998690000E-02  0.000000000E+00  2.002933277E-02 -7.223505579E+02 
         2  3.294650000E-01 -5.982680000E-02  0.000000000E+00  1.885587642E-02 -7.030090361E+02 
         3  2.471780000E-01 -5.933890000E-02  0.000000000E+00  2.146639723E-02 -7.478567337E+02 
         4  3.706030000E-01 -5.898830000E-02  0.000000000E+00  1.813359291E-02 -6.871709724E+02 
         5  2.060650000E-01 -5.771190000E-02  0.000000000E+00  2.294339588E-02 -7.856556964E+02 
         6  4.117260000E-01 -5.757270000E-02  0.000000000E+00  1.788537682E-02 -6.738101167E+02 
         7  4.528280000E-01 -5.566140000E-02  0.000000000E+00  1.795384486E-02 -6.621554355E+02 
         8  1.650180000E-01 -5.486620000E-02  0.000000000E+00  2.341023094E-02 -8.502925232E+02 
         9  4.939080000E-01 -5.332060000E-02  0.000000000E+00  1.805109620E-02 -6.516434864E+02 
        10  5.349650000E-01 -5.060440000E-02  0.000000000E+00  1.789345082E-02 -6.420775803E+02 
        11  1.241140000E-01 -5.043730000E-02  0.000000000E+00  1.849283721E-02 -9.957448480E+02 
        12  5.759990000E-01 -4.755650000E-02  0.000000000E+00  1.732267916E-02 -6.336723737E+02 
        13  6.170090000E-01 -4.421250000E-02  0.000000000E+00  1.636790599E-02 -6.268839168E+02 
        14  8.351470000E-02 -4.379180000E-02  0.000000000E+00  1.362684024E-02 -1.310454646E+03 
        15  6.579970000E-01 -4.059990000E-02  0.000000000E+00  1.540813719E-02 -6.217972397E+02 
        16  5.488770000E-02 -3.697740000E-02  0.000000000E+00  3.985489887E-02 -1.740153148E+03 
        17  6.989630000E-01 -3.673990000E-02  0.000000000E+00  1.516210021E-02 -6.174579718E+02 
        18  7.399050000E-01 -3.264710000E-02  0.000000000E+00  1.644862571E-02 -6.129245295E+02 
        19  3.777470000E-02 -3.147510000E-02  0.000000000E+00  8.697030198E-02 -2.227176755E+03 
        20  7.808250000E-01 -2.833060000E-02  0.000000000E+00  1.924264131E-02 -6.083842925E+02 
        21  2.634450000E-02 -2.677890000E-02  0.000000000E+00  1.294291787E-01 -2.796505004E+03 
        22  8.159680000E-01 -2.444550000E-02  0.000000000E+00  2.206606910E-02 -6.042971795E+02 
        23  1.821900000E-02 -2.259850000E-02  0.000000000E+00  1.638965484E-01 -3.406888952E+03 
        24  8.510930000E-01 -2.039720000E-02  0.000000000E+00  2.381077175E-02 -5.991848973E+02 
        25  1.318260000E-02 -1.942040000E-02  0.000000000E+00  1.920538714E-01 -3.989780985E+03 
        26  8.782860000E-01 -1.714700000E-02  0.000000000E+00  2.363586558E-02 -5.954048711E+02 
        27  9.850590000E-03 -1.691540000E-02  0.000000000E+00  2.165025183E-01 -4.544041593E+03 
        28  7.411530000E-03 -1.476420000E-02  0.000000000E+00  2.380900860E-01 -5.006735914E+03 
        29  9.009380000E-01 -1.436040000E-02  0.000000000E+00  2.205980914E-02 -5.950315959E+02 
        30  5.510960000E-03 -1.280140000E-02  0.000000000E+00  2.533056173E-01 -5.311186727E+03 
        31  9.198070000E-01 -1.198220000E-02  0.000000000E+00  1.974218407E-02 -5.981116973E+02 
        32  3.983540000E-03 -1.093890000E-02  0.000000000E+00  2.624716986E-01 -5.529773265E+03 
        33  9.355260000E-01 -9.960600000E-03  0.000000000E+00  1.692364564E-02 -6.046532980E+02 
        34  2.745270000E-03 -9.124550000E-03  0.000000000E+00  2.696280553E-01 -5.706780922E+03 
        35  9.486220000E-01 -8.247430000E-03  0.000000000E+00  1.374197783E-02 -6.143647465E+02 
        36  1.752850000E-03 -7.324960000E-03  0.000000000E+00  2.748809773E-01 -5.805070054E+03 
        37  9.595320000E-01 -6.799650000E-03  0.000000000E+00  1.032374638E-02 -6.267919204E+02 
        38  9.686220000E-01 -5.578890000E-03  0.000000000E+00  6.801467348E-03 -6.413695977E+02 
        39  9.860190000E-04 -5.518970000E-03  0.000000000E+00  2.772600531E-01 -5.786211951E+03 
        40  9.761960000E-01 -4.551510000E-03  0.000000000E+00  3.297871965E-03 -6.575606025E+02 
        41  4.384000000E-04 -3.696570000E-03  0.000000000E+00  2.770735786E-01 -5.609460826E+03 
        42  9.825070000E-01 -3.688230000E-03  0.000000000E+00  1.757937073E-03 -6.749779075E+02 
        43  9.877650000E-01 -2.963870000E-03  0.000000000E+00  3.589686149E-03 -6.933869941E+02 
        44  9.921460000E-01 -2.356690000E-03  0.000000000E+00  6.821927381E-03 -7.126862821E+02 
        45  1.095110000E-04 -1.855900000E-03  0.000000000E+00  2.749572337E-01 -5.276093607E+03 
        46  9.957970000E-01 -1.848260000E-03  0.000000000E+00  9.943745897E-03 -7.328545935E+02 
        47  9.988390000E-01 -1.422790000E-03  0.000000000E+00  1.294427510E-02 -7.539437906E+02 
        48  1.001370000E+00 -1.062990000E-03  0.000000000E+00  1.583198556E-02 -7.759637079E+02 
        49  1.003480000E+00 -7.543150000E-04  0.000000000E+00  1.860410344E-02 -7.990332010E+02 
        50  1.005240000E+00 -4.991700000E-04  0.000000000E+00  2.126247977E-02 -8.226515186E+02 
        51  1.006710000E+00 -2.932730000E-04  0.000000000E+00  2.360464326E-02 -8.473077955E+02 
        52  1.007930000E+00 -1.294160000E-04  0.000000000E+00  2.579135162E-02 -8.634448774E+02 
        53  0.000000000E+00  0.000000000E+00  0.000000000E+00  2.693914594E-01 -4.859306252E+03 
        54  1.008950000E+00  0.000000000E+00  0.000000000E+00  2.435771785E-02 -9.684766043E+02 
        55  1.008950000E+00  1.250000000E-03  0.000000000E+00  1.876032549E-02 -1.065598286E+03 
        56  9.957970000E-01  1.848260000E-03  0.000000000E+00  5.909628267E-03  2.573039636E+02 
        57  1.095110000E-04  1.855900000E-03  0.000000000E+00  2.584483797E-01 -4.386410968E+03 
        58  9.921460000E-01  2.356690000E-03  0.000000000E+00  7.897893521E-03  2.531571195E+02 
        59  1.008950000E+00  2.500000000E-03  0.000000000E+00  1.719282977E-02 -1.056697936E+03 
        60  9.877650000E-01  2.963870000E-03  0.000000000E+00  1.570831660E-02  2.400551620E+02 
        61  9.825070000E-01  3.688230000E-03  0.000000000E+00  2.574792296E-02  2.160668998E+02 
        62  4.384000000E-04  3.696570000E-03  0.000000000E+00  2.433578888E-01 -3.808426624E+03 
        63  1.008950000E+00  3.750000000E-03  0.000000000E+00  1.751264929E-02 -1.061280088E+03 
        64  9.988390000E-01  3.807740000E-03  0.000000000E+00  1.310667606E-02  2.466359946E+02 
        65  9.761960000E-01  4.551510000E-03  0.000000000E+00  3.538264615E-02  1.814367894E+02 
        66  1.008950000E+00  5.000000000E-03  0.000000000E+00  1.794224500E-02 -1.065287487E+03 
        67  9.860190000E-04  5.518970000E-03  0.000000000E+00  2.258537193E-01 -3.156269100E+03 
        68  9.686220000E-01  5.578890000E-03  0.000000000E+00  4.365137995E-02  1.430157083E+02 
        69  1.001370000E+00  5.982190000E-03  0.000000000E+00  2.795825657E-02  2.040246456E+02 
        70  1.008950000E+00  6.250000000E-03  0.000000000E+00  1.847751932E-02 -1.070033402E+03 
        71  9.595320000E-01  6.799650000E-03  0.000000000E+00  5.018776237E-02  1.074835637E+02 
        72  1.752850000E-03  7.324960000E-03  0.000000000E+00  2.066916378E-01 -2.504913532E+03 
        73  1.008950000E+00  7.500000000E-03  0.000000000E+00  1.923224446E-02 -1.075172597E+03 
        74  1.003480000E+00  7.784150000E-03  0.000000000E+00  4.453410902E-02  1.209182601E+02 
        75  9.486220000E-01  8.247430000E-03  0.000000000E+00  5.510168644E-02  7.884603171E+01 
        76  1.008950000E+00  8.750000000E-03  0.000000000E+00  2.038362888E-02 -1.082034800E+03 
        77  2.745270000E-03  9.124550000E-03  0.000000000E+00  1.861676057E-01 -1.873128101E+03 
        78  1.005240000E+00  9.288160000E-03  0.000000000E+00  6.062914357E-02  2.584510118E+00 
        79  9.355260000E-01  9.960600000E-03  0.000000000E+00  5.866890674E-02  5.876226406E+01 
        80  1.008950000E+00  1.000000000E-02  0.000000000E+00  2.258387604E-02 -1.087789225E+03 
        81  1.006710000E+00  1.054920000E-02  0.000000000E+00  7.662145412E-02 -1.566913241E+02 
        82  3.983540000E-03  1.093890000E-02  0.000000000E+00  1.652313722E-01 -1.285875241E+03 
        83  1.008950000E+00  1.125000000E-02  0.000000000E+00  2.300312503E-02 -1.119447865E+03 
        84  1.007930000E+00  1.160880000E-02  0.000000000E+00  9.684813903E-02 -3.463599727E+02 
        85  9.198070000E-01  1.198220000E-02  0.000000000E+00  6.124141589E-02  4.666596679E+01 
        86  1.008950000E+00  1.250000000E-02  0.000000000E+00  7.222118127E-02 -8.099789350E+02 
        87  5.510960000E-03  1.280140000E-02  0.000000000E+00  1.453238743E-01 -8.014428282E+02 
        88  9.009380000E-01  1.436040000E-02  0.000000000E+00  6.292587561E-02  4.247199384E+01 
        89  7.411530000E-03  1.476420000E-02  0.000000000E+00  1.262732438E-01 -4.074190512E+02 
        90  9.850590000E-03  1.691540000E-02  0.000000000E+00  1.067473129E-01 -5.290304549E+01 
        91  8.782860000E-01  1.714700000E-02  0.000000000E+00  6.397540781E-02  4.613640688E+01 
        92  1.318260000E-02  1.942040000E-02  0.000000000E+00  8.554568632E-02  2.680036617E+02 
        93  8.510930000E-01  2.039720000E-02  0.000000000E+00  6.464624339E-02  5.631667683E+01 
        94  1.821900000E-02  2.259850000E-02  0.000000000E+00  6.209043911E-02  5.375868755E+02 
        95  8.159680000E-01  2.444550000E-02  0.000000000E+00  6.491080969E-02  7.299088728E+01 
        96  2.634450000E-02  2.677890000E-02  0.000000000E+00  3.754870697E-02  7.282279980E+02 
        97  7.808250000E-01  2.833060000E-02  0.000000000E+00  6.490759471E-02  9.308687926E+01 
        98  3.777470000E-02  3.147510000E-02  0.000000000E+00  1.455668550E-02  8.272024552E+02 
        99  7.399050000E-01  3.264710000E-02  0.000000000E+00  6.472356538E-02  1.172077021E+02 
       100  6.989630000E-01  3.673990000E-02  0.000000000E+00  6.444695250E-02  1.423815499E+02 
       101  5.488770000E-02  3.697740000E-02  0.000000000E+00  8.762262107E-03  8.474347187E+02 
       102  6.579970000E-01  4.059990000E-02  0.000000000E+00  6.417338411E-02  1.680514385E+02 
       103  8.351470000E-02  4.379180000E-02  0.000000000E+00  2.347674226E-02  8.035119532E+02 
       104  6.170090000E-01  4.421250000E-02  0.000000000E+00  6.391355706E-02  1.940656954E+02 
       105  5.759990000E-01  4.755650000E-02  0.000000000E+00  6.364446887E-02  2.205629641E+02 
