nodenumber     x-coordinate     y-coordinate     z-coordinate      mach-number         pressure 
         1  2.883190000E-01 -5.998690000E-02  0.000000000E+00  1.672111071E-02 -4.954432845E+02 
         2  3.294650000E-01 -5.982680000E-02  0.000000000E+00  1.671327440E-02 -4.811299436E+02 
         3  2.471780000E-01 -5.933890000E-02  0.000000000E+00  1.591112726E-02 -5.211634523E+02 
         4  3.706030000E-01 -5.898830000E-02  0.000000000E+00  1.646028785E-02 -4.722197670E+02 
         5  2.060650000E-01 -5.771190000E-02  0.000000000E+00  1.277768134E-02 -5.717007206E+02 
         6  4.117260000E-01 -5.757270000E-02  0.000000000E+00  1.609080187E-02 -4.655840587E+02 
         7  4.528280000E-01 -5.566140000E-02  0.000000000E+00  1.562988147E-02 -4.602143175E+02 
         8  1.650180000E-01 -5.486620000E-02  0.000000000E+00  5.722801755E-03 -6.772900811E+02 
         9  4.939080000E-01 -5.332060000E-02  0.000000000E+00  1.519631550E-02 -4.559534422E+02 
        10  5.349650000E-01 -5.060440000E-02  0.000000000E+00  1.485606466E-02 -4.524701968E+02 
        11  1.241140000E-01 -5.043730000E-02  0.000000000E+00  1.205695642E-02 -9.016101431E+02 
        12  5.759990000E-01 -4.755650000E-02  0.000000000E+00  1.458227864E-02 -4.495311506E+02 
        13  6.170090000E-01 -4.421250000E-02  0.000000000E+00  1.436347580E-02 -4.470581121E+02 
        14  8.351470000E-02 -4.379180000E-02  0.000000000E+00  4.215828005E-02 -1.308254489E+03 
        15  6.579970000E-01 -4.059990000E-02  0.000000000E+00  1.422768936E-02 -4.450430362E+02 
        16  5.488770000E-02 -3.697740000E-02  0.000000000E+00  8.019030999E-02 -1.789265713E+03 
        17  6.989630000E-01 -3.673990000E-02  0.000000000E+00  1.421639392E-02 -4.434821638E+02 
        18  7.399050000E-01 -3.264710000E-02  0.000000000E+00  1.436553990E-02 -4.423717196E+02 
        19  3.777470000E-02 -3.147510000E-02  0.000000000E+00  1.165204651E-01 -2.275983594E+03 
        20  7.808250000E-01 -2.833060000E-02  0.000000000E+00  1.469227417E-02 -4.415648708E+02 
        21  2.634450000E-02 -2.677890000E-02  0.000000000E+00  1.482580875E-01 -2.798692670E+03 
        22  8.159680000E-01 -2.444550000E-02  0.000000000E+00  1.511435027E-02 -4.408678643E+02 
        23  1.821900000E-02 -2.259850000E-02  0.000000000E+00  1.761918943E-01 -3.339581576E+03 
        24  8.510930000E-01 -2.039720000E-02  0.000000000E+00  1.555825696E-02 -4.398700863E+02 
        25  1.318260000E-02 -1.942040000E-02  0.000000000E+00  2.005422626E-01 -3.865565132E+03 
        26  8.782860000E-01 -1.714700000E-02  0.000000000E+00  1.582612049E-02 -4.384064007E+02 
        27  9.850590000E-03 -1.691540000E-02  0.000000000E+00  2.224786914E-01 -4.359505871E+03 
        28  7.411530000E-03 -1.476420000E-02  0.000000000E+00  2.406608522E-01 -4.723576389E+03 
        29  9.009380000E-01 -1.436040000E-02  0.000000000E+00  1.588551791E-02 -4.366288325E+02 
        30  5.510960000E-03 -1.280140000E-02  0.000000000E+00  2.519061073E-01 -4.945809590E+03 
        31  9.198070000E-01 -1.198220000E-02  0.000000000E+00  1.578011948E-02 -4.346285745E+02 
        32  3.983540000E-03 -1.093890000E-02  0.000000000E+00  2.583515009E-01 -5.109932350E+03 
        33  9.355260000E-01 -9.960600000E-03  0.000000000E+00  1.551139370E-02 -4.323607020E+02 
        34  2.745270000E-03 -9.124550000E-03  0.000000000E+00  2.634311669E-01 -5.225582719E+03 
        35  9.486220000E-01 -8.247430000E-03  0.000000000E+00  1.507618454E-02 -4.299910309E+02 
        36  1.752850000E-03 -7.324960000E-03  0.000000000E+00  2.665724261E-01 -5.262987371E+03 
        37  9.595320000E-01 -6.799650000E-03  0.000000000E+00  1.450156865E-02 -4.275931806E+02 
        38  9.686220000E-01 -5.578890000E-03  0.000000000E+00  1.381931786E-02 -4.252713142E+02 
        39  9.860190000E-04 -5.518970000E-03  0.000000000E+00  2.671411526E-01 -5.185399153E+03 
        40  9.761960000E-01 -4.551510000E-03  0.000000000E+00  1.308672193E-02 -4.232665706E+02 
        41  4.384000000E-04 -3.696570000E-03  0.000000000E+00  2.655487792E-01 -4.962749144E+03 
        42  9.825070000E-01 -3.688230000E-03  0.000000000E+00  1.235907511E-02 -4.215522558E+02 
        43  9.877650000E-01 -2.963870000E-03  0.000000000E+00  1.164309055E-02 -4.199824230E+02 
        44  9.921460000E-01 -2.356690000E-03  0.000000000E+00  1.091838314E-02 -4.185437490E+02 
        45  1.095110000E-04 -1.855900000E-03  0.000000000E+00  2.620461486E-01 -4.609256724E+03 
        46  9.957970000E-01 -1.848260000E-03  0.000000000E+00  1.014862302E-02 -4.171817214E+02 
        47  9.988390000E-01 -1.422790000E-03  0.000000000E+00  9.282814821E-03 -4.159675074E+02 
        48  1.001370000E+00 -1.062990000E-03  0.000000000E+00  8.278211454E-03 -4.150110266E+02 
        49  1.003480000E+00 -7.543150000E-04  0.000000000E+00  7.135522917E-03 -4.143416691E+02 
        50  1.005240000E+00 -4.991700000E-04  0.000000000E+00  5.894990495E-03 -4.138258586E+02 
        51  1.006710000E+00 -2.932730000E-04  0.000000000E+00  4.610746565E-03 -4.136291788E+02 
        52  1.007930000E+00 -1.294160000E-04  0.000000000E+00  3.235173916E-03 -4.094694831E+02 
        53  0.000000000E+00  0.000000000E+00  0.000000000E+00  2.547551398E-01 -4.203317720E+03 
        54  1.008950000E+00  0.000000000E+00  0.000000000E+00  5.291924216E-03 -4.201731130E+02 
        55  1.008950000E+00  1.428570000E-03  0.000000000E+00  8.622587836E-03 -4.331777104E+02 
        56  1.095110000E-04  1.855900000E-03  0.000000000E+00  2.425302844E-01 -3.741499054E+03 
        57  1.008950000E+00  2.857140000E-03  0.000000000E+00  1.046191830E-02 -4.374407607E+02 
        58  4.384000000E-04  3.696570000E-03  0.000000000E+00  2.269244574E-01 -3.180518072E+03 
        59  1.008950000E+00  4.285710000E-03  0.000000000E+00  1.161809261E-02 -4.393637327E+02 
        60  9.860190000E-04  5.518970000E-03  0.000000000E+00  2.092029973E-01 -2.573805629E+03 
        61  1.008950000E+00  5.714290000E-03  0.000000000E+00  1.206137058E-02 -4.417000236E+02 
        62  9.595320000E-01  6.915370000E-03  0.000000000E+00  5.107976554E-02  1.061229705E+02 
        63  1.008950000E+00  7.142860000E-03  0.000000000E+00  1.162780770E-02 -4.429000514E+02 
