nodenumber     x-coordinate     y-coordinate     z-coordinate      mach-number         pressure 
         1  2.883190000E-01 -5.998690000E-02  0.000000000E+00  8.447818095E-03 -1.151070272E+03 
         2  3.294650000E-01 -5.982680000E-02  0.000000000E+00  6.738229760E-03 -1.144600333E+03 
         3  2.471780000E-01 -5.933890000E-02  0.000000000E+00  1.049101701E-02 -1.159294271E+03 
         4  3.706030000E-01 -5.898830000E-02  0.000000000E+00  5.270836202E-03 -1.139395845E+03 
         5  2.060650000E-01 -5.771190000E-02  0.000000000E+00  1.297141043E-02 -1.169974253E+03 
         6  4.117260000E-01 -5.757270000E-02  0.000000000E+00  3.960907799E-03 -1.135051700E+03 
         7  4.528280000E-01 -5.566140000E-02  0.000000000E+00  2.767316802E-03 -1.131397475E+03 
         8  1.650180000E-01 -5.486620000E-02  0.000000000E+00  1.613224877E-02 -1.183691244E+03 
         9  4.939080000E-01 -5.332060000E-02  0.000000000E+00  1.759385316E-03 -1.128489528E+03 
        10  5.349650000E-01 -5.060440000E-02  0.000000000E+00  9.209658691E-04 -1.126322489E+03 
        11  1.241140000E-01 -5.043730000E-02  0.000000000E+00  1.924382375E-02 -1.200817218E+03 
        12  5.759990000E-01 -4.755650000E-02  0.000000000E+00  4.747664419E-04 -1.125030056E+03 
        13  6.170090000E-01 -4.421250000E-02  0.000000000E+00  6.948402074E-04 -1.125180042E+03 
        14  8.351470000E-02 -4.379180000E-02  0.000000000E+00  2.042716707E-02 -1.214789735E+03 
        15  6.579970000E-01 -4.059990000E-02  0.000000000E+00  1.055493558E-03 -1.126344921E+03 
        16  5.488770000E-02 -3.697740000E-02  0.000000000E+00  2.004415178E-02 -1.219160704E+03 
        17  6.989630000E-01 -3.673990000E-02  0.000000000E+00  1.200138232E-03 -1.127640916E+03 
        18  7.399050000E-01 -3.264710000E-02  0.000000000E+00  1.146588402E-03 -1.128836359E+03 
        19  3.777470000E-02 -3.147510000E-02  0.000000000E+00  1.326008568E-02 -1.235250787E+03 
        20  7.808250000E-01 -2.833060000E-02  0.000000000E+00  8.997421136E-04 -1.129459235E+03 
        21  2.634450000E-02 -2.677890000E-02  0.000000000E+00  2.424221333E-02 -1.348337539E+03 
        22  8.159680000E-01 -2.444550000E-02  0.000000000E+00  7.530779947E-04 -1.130209203E+03 
        23  1.821900000E-02 -2.259850000E-02  0.000000000E+00  7.199786597E-02 -1.695328044E+03 
        24  8.510930000E-01 -2.039720000E-02  0.000000000E+00  7.163739966E-04 -1.131580687E+03 
        25  1.318260000E-02 -1.942040000E-02  0.000000000E+00  1.259027948E-01 -2.273598954E+03 
        26  8.782860000E-01 -1.714700000E-02  0.000000000E+00  5.806458781E-04 -1.132283474E+03 
        27  9.850590000E-03 -1.691540000E-02  0.000000000E+00  1.670001720E-01 -2.960218752E+03 
        28  7.411530000E-03 -1.476420000E-02  0.000000000E+00  2.001726449E-01 -3.680825664E+03 
        29  9.009380000E-01 -1.436040000E-02  0.000000000E+00  4.573467248E-04 -1.132219790E+03 
        30  5.510960000E-03 -1.280140000E-02  0.000000000E+00  2.297482568E-01 -4.389886306E+03 
        31  9.198070000E-01 -1.198220000E-02  0.000000000E+00  4.916150503E-04 -1.132600737E+03 
        32  3.983540000E-03 -1.093890000E-02  0.000000000E+00  2.544020068E-01 -4.985904145E+03 
        33  9.355260000E-01 -9.960600000E-03  0.000000000E+00  2.612314366E-03 -1.134632682E+03 
        34  2.745270000E-03 -9.124550000E-03  0.000000000E+00  2.726217866E-01 -5.479691175E+03 
        35  9.486220000E-01 -8.247430000E-03  0.000000000E+00  8.086287527E-03 -1.137131403E+03 
        36  1.752850000E-03 -7.324960000E-03  0.000000000E+00  2.870035777E-01 -5.920538785E+03 
        37  9.595320000E-01 -6.799650000E-03  0.000000000E+00  1.377385409E-02 -1.137503475E+03 
        38  9.686220000E-01 -5.578890000E-03  0.000000000E+00  1.732095636E-02 -1.133678314E+03 
        39  9.860190000E-04 -5.518970000E-03  0.000000000E+00  2.982529434E-01 -6.257421356E+03 
        40  9.761960000E-01 -4.551510000E-03  0.000000000E+00  1.916377314E-02 -1.125443301E+03 
        41  4.384000000E-04 -3.696570000E-03  0.000000000E+00  3.057114520E-01 -6.441005366E+03 
        42  9.825070000E-01 -3.688230000E-03  0.000000000E+00  1.996114696E-02 -1.114513989E+03 
        43  9.877650000E-01 -2.963870000E-03  0.000000000E+00  2.023249021E-02 -1.101348133E+03 
        44  9.921460000E-01 -2.356690000E-03  0.000000000E+00  2.014325140E-02 -1.086947868E+03 
        45  1.095110000E-04 -1.855900000E-03  0.000000000E+00  3.100741657E-01 -6.419168590E+03 
        46  9.957970000E-01 -1.848260000E-03  0.000000000E+00  1.968165220E-02 -1.072708564E+03 
        47  9.988390000E-01 -1.422790000E-03  0.000000000E+00  1.890085917E-02 -1.058429376E+03 
        48  1.001370000E+00 -1.062990000E-03  0.000000000E+00  1.788141184E-02 -1.044196827E+03 
        49  1.003480000E+00 -7.543150000E-04  0.000000000E+00  1.668581261E-02 -1.030620690E+03 
        50  1.005240000E+00 -4.991700000E-04  0.000000000E+00  1.540727163E-02 -1.018284284E+03 
        51  1.006710000E+00 -2.932730000E-04  0.000000000E+00  1.412498395E-02 -1.006297436E+03 
        52  1.007930000E+00 -1.294160000E-04  0.000000000E+00  1.318486028E-02 -1.000283588E+03 
        53  0.000000000E+00  0.000000000E+00  0.000000000E+00  3.119912080E-01 -6.179527213E+03 
        54  1.008950000E+00  0.000000000E+00  0.000000000E+00  1.430791993E-02 -9.164035251E+02 
        55  1.008950000E+00  1.195220000E-03  0.000000000E+00  1.795267818E-02 -8.413473090E+02 
        56  1.095110000E-04  1.855900000E-03  0.000000000E+00  3.089712015E-01 -5.804470884E+03 
        57  1.008950000E+00  2.390440000E-03  0.000000000E+00  2.044131915E-02 -8.453057421E+02 
        58  1.008950000E+00  3.585660000E-03  0.000000000E+00  2.308516840E-02 -8.468924596E+02 
        59  4.384000000E-04  3.696570000E-03  0.000000000E+00  2.989502921E-01 -5.323433843E+03 
        60  1.008950000E+00  4.780880000E-03  0.000000000E+00  2.522250625E-02 -8.481802290E+02 
        61  9.860190000E-04  5.518970000E-03  0.000000000E+00  2.841539535E-01 -4.686350790E+03 
        62  1.008950000E+00  5.976100000E-03  0.000000000E+00  2.689685912E-02 -8.478398706E+02 
        63  1.008950000E+00  7.171310000E-03  0.000000000E+00  2.816594512E-02 -8.459341102E+02 
        64  1.752850000E-03  7.324960000E-03  0.000000000E+00  2.667129848E-01 -3.950375843E+03 
        65  1.008950000E+00  8.366530000E-03  0.000000000E+00  2.913505196E-02 -8.426936823E+02 
        66  2.745270000E-03  9.124550000E-03  0.000000000E+00  2.470377117E-01 -3.184699940E+03 
        67  1.008950000E+00  9.561750000E-03  0.000000000E+00  2.989553323E-02 -8.384372383E+02 
        68  1.008950000E+00  1.075700000E-02  0.000000000E+00  3.051353274E-02 -8.334248533E+02 
        69  3.983540000E-03  1.093890000E-02  0.000000000E+00  2.255436888E-01 -2.401350733E+03 
        70  1.008950000E+00  1.195220000E-02  0.000000000E+00  3.103277952E-02 -8.278400621E+02 
        71  5.510960000E-03  1.280140000E-02  0.000000000E+00  2.038567801E-01 -1.667696407E+03 
        72  1.008950000E+00  1.314740000E-02  0.000000000E+00  3.147868822E-02 -8.218053053E+02 
        73  1.008950000E+00  1.434260000E-02  0.000000000E+00  3.186526613E-02 -8.153966048E+02 
        74  7.411530000E-03  1.476420000E-02  0.000000000E+00  1.834080206E-01 -1.055498223E+03 
        75  1.008950000E+00  1.553780000E-02  0.000000000E+00  3.220080995E-02 -8.086722631E+02 
        76  1.008950000E+00  1.673310000E-02  0.000000000E+00  3.249110337E-02 -8.016817915E+02 
        77  9.850590000E-03  1.691540000E-02  0.000000000E+00  1.633193792E-01 -5.297172212E+02 
        78  1.008950000E+00  1.792830000E-02  0.000000000E+00  3.273930155E-02 -7.944495322E+02 
        79  1.008950000E+00  1.912350000E-02  0.000000000E+00  3.294587956E-02 -7.869826057E+02 
        80  1.318260000E-02  1.942040000E-02  0.000000000E+00  1.413391737E-01 -2.190576850E+01 
        81  1.008950000E+00  2.031870000E-02  0.000000000E+00  3.311041162E-02 -7.792874879E+02 
        82  1.008950000E+00  2.151390000E-02  0.000000000E+00  3.323305315E-02 -7.713679174E+02 
        83  1.821900000E-02  2.259850000E-02  0.000000000E+00  1.160507195E-01  4.769683240E+02 
        84  1.008950000E+00  2.270920000E-02  0.000000000E+00  3.331698377E-02 -7.632599696E+02 
        85  1.008950000E+00  2.390440000E-02  0.000000000E+00  3.336815421E-02 -7.550086931E+02 
        86  1.008950000E+00  2.509960000E-02  0.000000000E+00  3.338985440E-02 -7.466186495E+02 
        87  1.008950000E+00  2.629480000E-02  0.000000000E+00  3.338159386E-02 -7.380644645E+02 
        88  2.634450000E-02  2.677890000E-02  0.000000000E+00  8.878771996E-02  9.073835117E+02 
        89  1.008950000E+00  2.749000000E-02  0.000000000E+00  3.334372700E-02 -7.293483364E+02 
        90  1.008950000E+00  2.868530000E-02  0.000000000E+00  3.327904234E-02 -7.205007484E+02 
        91  1.008950000E+00  2.988050000E-02  0.000000000E+00  3.319038964E-02 -7.115432982E+02 
        92  1.008950000E+00  3.107570000E-02  0.000000000E+00  3.307920570E-02 -7.024876757E+02 
        93  3.777470000E-02  3.147510000E-02  0.000000000E+00  6.274320237E-02  1.217728003E+03 
        94  1.008950000E+00  3.227090000E-02  0.000000000E+00  3.294704988E-02 -6.933555970E+02 
        95  1.008950000E+00  3.346610000E-02  0.000000000E+00  3.279626555E-02 -6.841701421E+02 
        96  1.008950000E+00  3.466140000E-02  0.000000000E+00  3.262835863E-02 -6.749396495E+02 
        97  1.008950000E+00  3.585660000E-02  0.000000000E+00  3.244444563E-02 -6.656792674E+02 
        98  6.989630000E-01  3.673990000E-02  0.000000000E+00  3.249853562E-03  1.521125661E+03 
        99  5.488770000E-02  3.697740000E-02  0.000000000E+00  3.870449245E-02  1.413029793E+03 
       100  1.008950000E+00  3.705180000E-02  0.000000000E+00  3.224590259E-02 -6.564014479E+02 
       101  1.008950000E+00  3.824700000E-02  0.000000000E+00  3.203409850E-02 -6.471189731E+02 
       102  1.008950000E+00  3.944220000E-02  0.000000000E+00  3.181041448E-02 -6.378441251E+02 
       103  6.579970000E-01  4.059990000E-02  0.000000000E+00  3.776270490E-03  1.507737522E+03 
       104  1.008950000E+00  4.063750000E-02  0.000000000E+00  3.157622153E-02 -6.285889799E+02 
       105  1.008950000E+00  4.183270000E-02  0.000000000E+00  3.133286988E-02 -6.193652357E+02 
       106  1.008950000E+00  4.302790000E-02  0.000000000E+00  3.108165528E-02 -6.101836750E+02 
       107  8.351470000E-02  4.379180000E-02  0.000000000E+00  1.589268912E-02  1.518923516E+03 
       108  6.170090000E-01  4.421250000E-02  0.000000000E+00  1.128988352E-02  1.492837685E+03 
       109  1.008950000E+00  4.422310000E-02  0.000000000E+00  3.082382291E-02 -6.010542611E+02 
       110  1.008950000E+00  4.541830000E-02  0.000000000E+00  3.056057217E-02 -5.919863581E+02 
       111  1.008950000E+00  4.661350000E-02  0.000000000E+00  3.029303566E-02 -5.829884046E+02 
       112  5.759990000E-01  4.755650000E-02  0.000000000E+00  1.803185965E-02  1.477621801E+03 
       113  1.008950000E+00  4.780880000E-02  0.000000000E+00  3.002228555E-02 -5.740682396E+02 
       114  1.008950000E+00  4.900400000E-02  0.000000000E+00  2.974934474E-02 -5.652332604E+02 
       115  1.008950000E+00  5.019920000E-02  0.000000000E+00  2.947516613E-02 -5.564898392E+02 
       116  1.241140000E-01  5.043730000E-02  0.000000000E+00  5.629075257E-03  1.552504508E+03 
       117  5.349650000E-01  5.060440000E-02  0.000000000E+00  2.244655935E-02  1.466545051E+03 
       118  1.008950000E+00  5.139440000E-02  0.000000000E+00  2.920064063E-02 -5.478435341E+02 
       119  1.008950000E+00  5.258960000E-02  0.000000000E+00  2.892661251E-02 -5.392992721E+02 
