nodenumber     x-coordinate     y-coordinate     z-coordinate      mach-number         pressure 
         1  2.883190000E-01 -5.998690000E-02  0.000000000E+00  2.378375254E-02 -8.877290061E+02 
         2  3.294650000E-01 -5.982680000E-02  0.000000000E+00  2.260262154E-02 -8.798190375E+02 
         3  2.471780000E-01 -5.933890000E-02  0.000000000E+00  2.521799618E-02 -8.981860399E+02 
         4  3.706030000E-01 -5.898830000E-02  0.000000000E+00  2.178726199E-02 -8.744658996E+02 
         5  2.060650000E-01 -5.771190000E-02  0.000000000E+00  2.729083512E-02 -9.120864705E+02 
         6  4.117260000E-01 -5.757270000E-02  0.000000000E+00  2.138072226E-02 -8.709169444E+02 
         7  4.528280000E-01 -5.566140000E-02  0.000000000E+00  2.131857843E-02 -8.687007023E+02 
         8  1.650180000E-01 -5.486620000E-02  0.000000000E+00  3.051492737E-02 -9.343430469E+02 
         9  4.939080000E-01 -5.332060000E-02  0.000000000E+00  2.155107106E-02 -8.675204005E+02 
        10  5.349650000E-01 -5.060440000E-02  0.000000000E+00  2.208424907E-02 -8.672654511E+02 
        11  1.241140000E-01 -5.043730000E-02  0.000000000E+00  3.362015441E-02 -9.735945992E+02 
        12  5.759990000E-01 -4.755650000E-02  0.000000000E+00  2.287587184E-02 -8.679659797E+02 
        13  6.170090000E-01 -4.421250000E-02  0.000000000E+00  2.392213465E-02 -8.695596424E+02 
        14  8.351470000E-02 -4.379180000E-02  0.000000000E+00  3.247840420E-02 -1.045825358E+03 
        15  6.579970000E-01 -4.059990000E-02  0.000000000E+00  2.526857257E-02 -8.719257706E+02 
        16  5.488770000E-02 -3.697740000E-02  0.000000000E+00  1.692175032E-02 -1.165855341E+03 
        17  6.989630000E-01 -3.673990000E-02  0.000000000E+00  2.687328449E-02 -8.748612174E+02 
        18  7.399050000E-01 -3.264710000E-02  0.000000000E+00  2.866645536E-02 -8.779514105E+02 
        19  3.777470000E-02 -3.147510000E-02  0.000000000E+00  3.225868243E-02 -1.382683817E+03 
        20  7.808250000E-01 -2.833060000E-02  0.000000000E+00  3.054722712E-02 -8.805716126E+02 
        21  2.634450000E-02 -2.677890000E-02  0.000000000E+00  8.793325692E-02 -1.814040850E+03 
        22  8.159680000E-01 -2.444550000E-02  0.000000000E+00  3.218070059E-02 -8.815573361E+02 
        23  1.821900000E-02 -2.259850000E-02  0.000000000E+00  1.383677450E-01 -2.435962692E+03 
        24  8.510930000E-01 -2.039720000E-02  0.000000000E+00  3.357046485E-02 -8.801791099E+02 
