nodenumber     x-coordinate     y-coordinate     z-coordinate      mach-number         pressure 
         1  2.883190000E-01 -5.998690000E-02  0.000000000E+00  2.567294489E-02 -5.577917773E+02 
         2  3.294650000E-01 -5.982680000E-02  0.000000000E+00  2.516814262E-02 -5.527335200E+02 
         3  2.471780000E-01 -5.933890000E-02  0.000000000E+00  2.645034405E-02 -5.646531813E+02 
         4  3.706030000E-01 -5.898830000E-02  0.000000000E+00  2.502302485E-02 -5.499670280E+02 
         5  2.060650000E-01 -5.771190000E-02  0.000000000E+00  2.759325864E-02 -5.740233234E+02 
         6  4.117260000E-01 -5.757270000E-02  0.000000000E+00  2.521216911E-02 -5.490469807E+02 
         7  4.528280000E-01 -5.566140000E-02  0.000000000E+00  2.557561871E-02 -5.494301007E+02 
         8  1.650180000E-01 -5.486620000E-02  0.000000000E+00  2.926136398E-02 -5.897332587E+02 
         9  4.939080000E-01 -5.332060000E-02  0.000000000E+00  2.597630493E-02 -5.504674810E+02 
        10  5.349650000E-01 -5.060440000E-02  0.000000000E+00  2.630718203E-02 -5.516988007E+02 
        11  1.241140000E-01 -5.043730000E-02  0.000000000E+00  3.066018204E-02 -6.269633658E+02 
        12  5.759990000E-01 -4.755650000E-02  0.000000000E+00  2.649117567E-02 -5.528614063E+02 
        13  6.170090000E-01 -4.421250000E-02  0.000000000E+00  2.650695543E-02 -5.540171422E+02 
        14  8.351470000E-02 -4.379180000E-02  0.000000000E+00  2.732393138E-02 -7.134897756E+02 
        15  6.579970000E-01 -4.059990000E-02  0.000000000E+00  2.638347520E-02 -5.554829132E+02 
        16  5.488770000E-02 -3.697740000E-02  0.000000000E+00  1.658142999E-02 -8.583275320E+02 
        17  6.989630000E-01 -3.673990000E-02  0.000000000E+00  2.616311789E-02 -5.576180259E+02 
        18  7.399050000E-01 -3.264710000E-02  0.000000000E+00  2.585559439E-02 -5.607136952E+02 
        19  3.777470000E-02 -3.147510000E-02  0.000000000E+00  4.238224913E-02 -1.108989884E+03 
        20  7.808250000E-01 -2.833060000E-02  0.000000000E+00  2.548495809E-02 -5.648167649E+02 
        21  2.634450000E-02 -2.677890000E-02  0.000000000E+00  9.837328217E-02 -1.549796898E+03 
        22  8.159680000E-01 -2.444550000E-02  0.000000000E+00  2.498982935E-02 -5.692308531E+02 
        23  1.821900000E-02 -2.259850000E-02  0.000000000E+00  1.411607001E-01 -2.125921301E+03 
        24  8.510930000E-01 -2.039720000E-02  0.000000000E+00  2.419734535E-02 -5.740495175E+02 
        25  1.318260000E-02 -1.942040000E-02  0.000000000E+00  1.716596532E-01 -2.688897144E+03 
        26  8.782860000E-01 -1.714700000E-02  0.000000000E+00  2.316419171E-02 -5.784171745E+02 
        27  9.850590000E-03 -1.691540000E-02  0.000000000E+00  1.958711232E-01 -3.197720830E+03 
        28  7.411530000E-03 -1.476420000E-02  0.000000000E+00  2.168098542E-01 -3.632408323E+03 
        29  9.009380000E-01 -1.436040000E-02  0.000000000E+00  2.179838513E-02 -5.824263571E+02 
        30  5.510960000E-03 -1.280140000E-02  0.000000000E+00  2.323561513E-01 -3.941055068E+03 
        31  9.198070000E-01 -1.198220000E-02  0.000000000E+00  2.005324279E-02 -5.862747048E+02 
        32  3.983540000E-03 -1.093890000E-02  0.000000000E+00  2.421200592E-01 -4.167469757E+03 
        33  9.355260000E-01 -9.960600000E-03  0.000000000E+00  1.794671973E-02 -5.903675241E+02 
        34  2.745270000E-03 -9.124550000E-03  0.000000000E+00  2.494017974E-01 -4.354320203E+03 
        35  9.486220000E-01 -8.247430000E-03  0.000000000E+00  1.550800113E-02 -5.947678075E+02 
        36  1.752850000E-03 -7.324960000E-03  0.000000000E+00  2.547566194E-01 -4.471661900E+03 
        37  9.595320000E-01 -6.799650000E-03  0.000000000E+00  1.272358384E-02 -5.994626807E+02 
        38  9.686220000E-01 -5.578890000E-03  0.000000000E+00  9.593291707E-03 -6.049310243E+02 
        39  9.860190000E-04 -5.518970000E-03  0.000000000E+00  2.573304858E-01 -4.487775886E+03 
        40  9.761960000E-01 -4.551510000E-03  0.000000000E+00  6.175499376E-03 -6.116538274E+02 
        41  4.384000000E-04 -3.696570000E-03  0.000000000E+00  2.574264180E-01 -4.366039002E+03 
        42  9.825070000E-01 -3.688230000E-03  0.000000000E+00  2.637009634E-03 -6.200331292E+02 
        43  9.877650000E-01 -2.963870000E-03  0.000000000E+00  2.001173090E-03 -6.301710107E+02 
        44  9.921460000E-01 -2.356690000E-03  0.000000000E+00  4.905716049E-03 -6.420765063E+02 
        45  1.095110000E-04 -1.855900000E-03  0.000000000E+00  2.556813199E-01 -4.102815162E+03 
        46  9.957970000E-01 -1.848260000E-03  0.000000000E+00  8.215534208E-03 -6.550972046E+02 
        47  9.988390000E-01 -1.422790000E-03  0.000000000E+00  1.086998498E-02 -6.674894081E+02 
        48  1.001370000E+00 -1.062990000E-03  0.000000000E+00  1.251274159E-02 -6.774440320E+02 
        49  1.003480000E+00 -7.543150000E-04  0.000000000E+00  1.279028267E-02 -6.833052226E+02 
        50  1.005240000E+00 -4.991700000E-04  0.000000000E+00  1.122647564E-02 -6.839472197E+02 
        51  1.006710000E+00 -2.932730000E-04  0.000000000E+00  7.881363915E-03 -6.809730184E+02 
        52  1.007930000E+00 -1.294160000E-04  0.000000000E+00  6.787381448E-03 -6.802898612E+02 
        53  0.000000000E+00  0.000000000E+00  0.000000000E+00  2.507123136E-01 -3.761526719E+03 
        54  1.008950000E+00  0.000000000E+00  0.000000000E+00  1.389185712E-02 -6.721912972E+02 
        55  1.008950000E+00  1.204820000E-03  0.000000000E+00  1.646846811E-02 -6.673556286E+02 
        56  1.095110000E-04  1.855900000E-03  0.000000000E+00  2.407678148E-01 -3.371083491E+03 
        57  1.008950000E+00  2.409640000E-03  0.000000000E+00  1.492447589E-02 -6.706919800E+02 
        58  1.008950000E+00  3.614460000E-03  0.000000000E+00  1.391363008E-02 -6.727728610E+02 
        59  9.825070000E-01  3.688230000E-03  0.000000000E+00  6.399382670E-04  7.512584745E+02 
        60  4.384000000E-04  3.696570000E-03  0.000000000E+00  2.270010541E-01 -2.889039751E+03 
        61  9.761960000E-01  4.551510000E-03  0.000000000E+00  3.445725189E-03  7.518478864E+02 
        62  1.008950000E+00  4.819280000E-03  0.000000000E+00  1.325434297E-02 -6.754753569E+02 
        63  9.860190000E-04  5.518970000E-03  0.000000000E+00  2.109994922E-01 -2.341097973E+03 
        64  9.686220000E-01  5.578890000E-03  0.000000000E+00  7.844389762E-03  7.466235792E+02 
        65  1.008950000E+00  6.024100000E-03  0.000000000E+00  1.289491456E-02 -6.784641333E+02 
        66  9.595320000E-01  6.799650000E-03  0.000000000E+00  9.501050007E-03  7.407696873E+02 
        67  1.008950000E+00  7.228920000E-03  0.000000000E+00  1.276332960E-02 -6.816805435E+02 
        68  1.752850000E-03  7.324960000E-03  0.000000000E+00  1.934344153E-01 -1.791710989E+03 
        69  9.486220000E-01  8.247430000E-03  0.000000000E+00  7.833364574E-03  7.384257155E+02 
        70  1.008950000E+00  8.433730000E-03  0.000000000E+00  1.281007301E-02 -6.850442773E+02 
        71  2.745270000E-03  9.124550000E-03  0.000000000E+00  1.746011696E-01 -1.258121060E+03 
