nodenumber     x-coordinate     y-coordinate     z-coordinate      mach-number         pressure 
         1  2.883190000E-01 -5.998690000E-02  0.000000000E+00  7.793377884E-02 -5.063607754E+02 
         2  3.294650000E-01 -5.982680000E-02  0.000000000E+00  7.517951477E-02 -4.710763284E+02 
         3  2.471780000E-01 -5.933890000E-02  0.000000000E+00  8.148167999E-02 -5.447000665E+02 
         4  3.706030000E-01 -5.898830000E-02  0.000000000E+00  7.288160567E-02 -4.383063237E+02 
         5  2.060650000E-01 -5.771190000E-02  0.000000000E+00  8.629720427E-02 -5.869618201E+02 
         6  4.117260000E-01 -5.757270000E-02  0.000000000E+00  7.082696673E-02 -4.077198287E+02 
         7  4.528280000E-01 -5.566140000E-02  0.000000000E+00  6.890723880E-02 -3.790123882E+02 
         8  1.650180000E-01 -5.486620000E-02  0.000000000E+00  9.287846726E-02 -6.347539117E+02 
         9  4.939080000E-01 -5.332060000E-02  0.000000000E+00  6.709731029E-02 -3.519329009E+02 
        10  5.349650000E-01 -5.060440000E-02  0.000000000E+00  6.541103329E-02 -3.262526858E+02 
        11  1.241140000E-01 -5.043730000E-02  0.000000000E+00  1.008554094E-01 -6.955737457E+02 
        12  5.759990000E-01 -4.755650000E-02  0.000000000E+00  6.383293109E-02 -3.017893596E+02 
        13  6.170090000E-01 -4.421250000E-02  0.000000000E+00  6.233343742E-02 -2.783443835E+02 
        14  8.351470000E-02 -4.379180000E-02  0.000000000E+00  1.096646630E-01 -7.728996164E+02 
        15  6.579970000E-01 -4.059990000E-02  0.000000000E+00  6.088591018E-02 -2.556813984E+02 
        16  5.488770000E-02 -3.697740000E-02  0.000000000E+00  1.184784350E-01 -8.416455913E+02 
        17  6.989630000E-01 -3.673990000E-02  0.000000000E+00  5.947050915E-02 -2.335717980E+02 
        18  7.399050000E-01 -3.264710000E-02  0.000000000E+00  5.806528619E-02 -2.116741316E+02 
        19  3.777470000E-02 -3.147510000E-02  0.000000000E+00  1.270378786E-01 -8.967483224E+02 
        20  7.808250000E-01 -2.833060000E-02  0.000000000E+00  5.663278925E-02 -1.901124352E+02 
        21  2.634450000E-02 -2.677890000E-02  0.000000000E+00  1.350006477E-01 -9.542048068E+02 
        22  8.159680000E-01 -2.444550000E-02  0.000000000E+00  5.528900537E-02 -1.708137669E+02 
        23  1.821900000E-02 -2.259850000E-02  0.000000000E+00  1.426065299E-01 -1.010807319E+03 
        24  8.510930000E-01 -2.039720000E-02  0.000000000E+00  5.393572387E-02 -1.520810135E+02 
        25  1.318260000E-02 -1.942040000E-02  0.000000000E+00  1.459993433E-01 -9.951462322E+02 
        26  8.782860000E-01 -1.714700000E-02  0.000000000E+00  5.276126733E-02 -1.366246646E+02 
        27  9.850590000E-03 -1.691540000E-02  0.000000000E+00  1.437736867E-01 -9.210022624E+02 
        28  7.411530000E-03 -1.476420000E-02  0.000000000E+00  1.402059523E-01 -8.444836710E+02 
        29  9.009380000E-01 -1.436040000E-02  0.000000000E+00  5.171104403E-02 -1.232825031E+02 
