nodenumber     x-coordinate     y-coordinate     z-coordinate      mach-number         pressure 
         1  2.883190000E-01 -5.998690000E-02  0.000000000E+00  5.145984711E-02  5.365406040E+02 
         2  3.294650000E-01 -5.982680000E-02  0.000000000E+00  5.648750633E-02  4.986797387E+02 
         3  2.471780000E-01 -5.933890000E-02  0.000000000E+00  4.515517242E-02  5.787986333E+02 
         4  3.706030000E-01 -5.898830000E-02  0.000000000E+00  6.062638079E-02  4.648692950E+02 
         5  2.060650000E-01 -5.771190000E-02  0.000000000E+00  3.693881199E-02  6.248502189E+02 
         6  4.117260000E-01 -5.757270000E-02  0.000000000E+00  6.411993724E-02  4.346064389E+02 
         7  4.528280000E-01 -5.566140000E-02  0.000000000E+00  6.713251270E-02  4.073610398E+02 
         8  1.650180000E-01 -5.486620000E-02  0.000000000E+00  2.560676744E-02  6.722658621E+02 
         9  4.939080000E-01 -5.332060000E-02  0.000000000E+00  6.977950460E-02  3.826446066E+02 
        10  5.349650000E-01 -5.060440000E-02  0.000000000E+00  7.214539036E-02  3.600282975E+02 
        11  1.241140000E-01 -5.043730000E-02  0.000000000E+00  9.715684809E-03  7.083660460E+02 
        12  5.759990000E-01 -4.755650000E-02  0.000000000E+00  7.429194086E-02  3.391481745E+02 
        13  6.170090000E-01 -4.421250000E-02  0.000000000E+00  7.626556525E-02  3.196942909E+02 
        14  8.351470000E-02 -4.379180000E-02  0.000000000E+00  1.317166216E-02  6.937951076E+02 
        15  6.579970000E-01 -4.059990000E-02  0.000000000E+00  7.809994092E-02  3.014071941E+02 
        16  5.488770000E-02 -3.697740000E-02  0.000000000E+00  4.170238430E-02  5.716745120E+02 
        17  6.989630000E-01 -3.673990000E-02  0.000000000E+00  7.982146176E-02  2.840754983E+02 
        18  7.399050000E-01 -3.264710000E-02  0.000000000E+00  8.144823980E-02  2.675392619E+02 
        19  3.777470000E-02 -3.147510000E-02  0.000000000E+00  7.378913248E-02  3.073644796E+02 
        20  7.808250000E-01 -2.833060000E-02  0.000000000E+00  8.298720967E-02  2.516780255E+02 
        21  2.634450000E-02 -2.677890000E-02  0.000000000E+00  1.076891862E-01 -1.281208160E+02 
        22  8.217210000E-01 -2.379390000E-02  0.000000000E+00  8.444268780E-02  2.364245052E+02 
        23  1.821900000E-02 -2.259850000E-02  0.000000000E+00  1.435295128E-01 -7.560724991E+02 
        24  1.318260000E-02 -1.942040000E-02  0.000000000E+00  1.782022634E-01 -1.529399457E+03 
        25  8.625920000E-01 -1.903530000E-02  0.000000000E+00  8.581155745E-02  2.217960286E+02 
        26  9.850590000E-03 -1.691540000E-02  0.000000000E+00  2.101077428E-01 -2.385722529E+03 
        27  7.411530000E-03 -1.476420000E-02  0.000000000E+00  2.404181148E-01 -3.320609463E+03 
        28  9.034350000E-01 -1.404860000E-02  0.000000000E+00  8.701677382E-02  2.085865556E+02 
        29  5.510960000E-03 -1.280140000E-02  0.000000000E+00  2.702315969E-01 -4.354191059E+03 
        30  3.983540000E-03 -1.093890000E-02  0.000000000E+00  3.000473889E-01 -5.500375927E+03 
        31  9.337850000E-01 -1.018640000E-02  0.000000000E+00  8.796377855E-02  1.979270038E+02 
        32  2.745270000E-03 -9.124550000E-03  0.000000000E+00  3.300248254E-01 -6.753137757E+03 
