nodenumber     x-coordinate     y-coordinate     z-coordinate      mach-number         pressure 
         1  2.883190000E-01 -5.998690000E-02  0.000000000E+00  8.836167988E-02  1.575386910E+02 
         2  3.294650000E-01 -5.982680000E-02  0.000000000E+00  9.000492562E-02  1.370307870E+02 
         3  2.471780000E-01 -5.933890000E-02  0.000000000E+00  8.611101213E-02  1.848740705E+02 
         4  3.706030000E-01 -5.898830000E-02  0.000000000E+00  9.122392865E-02  1.215262561E+02 
         5  2.060650000E-01 -5.771190000E-02  0.000000000E+00  8.294284249E-02  2.218613419E+02 
         6  4.117260000E-01 -5.757270000E-02  0.000000000E+00  9.213622540E-02  1.097653749E+02 
         7  4.528280000E-01 -5.566140000E-02  0.000000000E+00  9.282037622E-02  1.008620342E+02 
         8  1.650180000E-01 -5.486620000E-02  0.000000000E+00  7.828756077E-02  2.730918499E+02 
         9  4.939080000E-01 -5.332060000E-02  0.000000000E+00  9.333160259E-02  9.417136872E+01 
        10  5.349650000E-01 -5.060440000E-02  0.000000000E+00  9.370761687E-02  8.922319610E+01 
        11  1.241140000E-01 -5.043730000E-02  0.000000000E+00  7.090639878E-02  3.486612150E+02 
        12  5.759990000E-01 -4.755650000E-02  0.000000000E+00  9.397361418E-02  8.569818034E+01 
        13  6.170090000E-01 -4.421250000E-02  0.000000000E+00  9.414933463E-02  8.336167270E+01 
        14  8.351470000E-02 -4.379180000E-02  0.000000000E+00  5.971839140E-02  4.507790376E+02 
        15  6.579970000E-01 -4.059990000E-02  0.000000000E+00  9.424657992E-02  8.204824529E+01 
        16  5.488770000E-02 -3.697740000E-02  0.000000000E+00  4.573835199E-02  5.557905362E+02 
        17  6.989630000E-01 -3.673990000E-02  0.000000000E+00  9.427126121E-02  8.177057054E+01 
        18  7.399050000E-01 -3.264710000E-02  0.000000000E+00  9.420879231E-02  8.266165096E+01 
        19  3.777470000E-02 -3.147510000E-02  0.000000000E+00  3.006895606E-02  6.404023674E+02 
        20  7.808250000E-01 -2.833060000E-02  0.000000000E+00  9.404002040E-02  8.491096509E+01 
        21  2.634450000E-02 -2.677890000E-02  0.000000000E+00  1.274936313E-02  6.941798628E+02 
        22  8.217210000E-01 -2.379390000E-02  0.000000000E+00  9.374085356E-02  8.894227031E+01 
        23  1.821900000E-02 -2.259850000E-02  0.000000000E+00  8.151031023E-03  7.062216397E+02 
        24  1.318260000E-02 -1.942040000E-02  0.000000000E+00  2.157599498E-02  6.716074432E+02 
        25  8.625920000E-01 -1.903530000E-02  0.000000000E+00  9.324553637E-02  9.548849752E+01 
        26  9.850590000E-03 -1.691540000E-02  0.000000000E+00  3.891940906E-02  5.967726875E+02 
        27  7.411530000E-03 -1.476420000E-02  0.000000000E+00  5.572235582E-02  4.836476061E+02 
        28  9.034350000E-01 -1.404860000E-02  0.000000000E+00  9.252440182E-02  1.052242858E+02 
        29  5.510960000E-03 -1.280140000E-02  0.000000000E+00  7.278289887E-02  3.274687736E+02 
        30  3.983540000E-03 -1.093890000E-02  0.000000000E+00  9.023948234E-02  1.241535326E+02 
        31  9.337850000E-01 -1.018640000E-02  0.000000000E+00  9.151033324E-02  1.185337648E+02 
        32  2.745270000E-03 -9.124550000E-03  0.000000000E+00  1.081379967E-01 -1.307802643E+02 
        33  1.752850000E-03 -7.324960000E-03  0.000000000E+00  1.264235600E-01 -4.401011079E+02 
        34  9.641170000E-01 -6.185660000E-03  0.000000000E+00  8.994912757E-02  1.385458769E+02 
        35  9.860190000E-04 -5.518970000E-03  0.000000000E+00  1.448202111E-01 -7.966927628E+02 
        36  4.384000000E-04 -3.696570000E-03  0.000000000E+00  1.629601981E-01 -1.192035530E+03 
        37  9.885790000E-01 -2.851310000E-03  0.000000000E+00  8.703283325E-02  1.610724285E+02 
        38  1.095110000E-04 -1.855900000E-03  0.000000000E+00  1.802404061E-01 -1.612232044E+03 
        39  0.000000000E+00  0.000000000E+00  0.000000000E+00  1.960644871E-01 -2.030930348E+03 
        40  1.008950000E+00  0.000000000E+00  0.000000000E+00  7.980751494E-02  1.910887370E+02 
        41  1.095110000E-04  1.855900000E-03  0.000000000E+00  2.098071612E-01 -2.424745692E+03 
        42  9.885790000E-01  2.851310000E-03  0.000000000E+00  7.815240233E-02  1.274734938E+02 
        43  4.384000000E-04  3.696570000E-03  0.000000000E+00  2.208497920E-01 -2.764981243E+03 
        44  9.860190000E-04  5.518970000E-03  0.000000000E+00  2.289005516E-01 -3.024752796E+03 
        45  9.641170000E-01  6.185660000E-03  0.000000000E+00  8.450370995E-02  7.462812373E+01 
        46  1.752850000E-03  7.324960000E-03  0.000000000E+00  2.339916254E-01 -3.195221830E+03 
        47  2.745270000E-03  9.124550000E-03  0.000000000E+00  2.364559748E-01 -3.280179998E+03 
        48  9.337850000E-01  1.018640000E-02  0.000000000E+00  8.868186889E-02  2.423374062E+01 
        49  3.983540000E-03  1.093890000E-02  0.000000000E+00  2.367187949E-01 -3.292057362E+03 
        50  5.510960000E-03  1.280140000E-02  0.000000000E+00  2.351267491E-01 -3.244477835E+03 
        51  9.034350000E-01  1.404860000E-02  0.000000000E+00  9.205459262E-02 -1.896754407E+01 
        52  7.411530000E-03  1.476420000E-02  0.000000000E+00  2.319535147E-01 -3.147199242E+03 
        53  9.850590000E-03  1.691540000E-02  0.000000000E+00  2.273040154E-01 -3.005611307E+03 
        54  8.625920000E-01  1.903530000E-02  0.000000000E+00  9.523586848E-02 -6.123547091E+01 
        55  1.318260000E-02  1.942040000E-02  0.000000000E+00  2.210779118E-01 -2.814850240E+03 
        56  1.821900000E-02  2.259850000E-02  0.000000000E+00  2.127811156E-01 -2.575982905E+03 
        57  8.217210000E-01  2.379390000E-02  0.000000000E+00  9.819578648E-02 -1.012002253E+02 
        58  2.634450000E-02  2.677890000E-02  0.000000000E+00  2.026076186E-01 -2.299376232E+03 
        59  7.808250000E-01  2.833060000E-02  0.000000000E+00  1.008488050E-01 -1.383518552E+02 
        60  3.777470000E-02  3.147510000E-02  0.000000000E+00  1.916583205E-01 -2.004778275E+03 
        61  7.399050000E-01  3.264710000E-02  0.000000000E+00  1.033386717E-01 -1.740923331E+02 
        62  6.989630000E-01  3.673990000E-02  0.000000000E+00  1.057582774E-01 -2.094692957E+02 
        63  5.488770000E-02  3.697740000E-02  0.000000000E+00  1.803270640E-01 -1.712068862E+03 
        64  6.579970000E-01  4.059990000E-02  0.000000000E+00  1.081449614E-01 -2.452808310E+02 
        65  8.351470000E-02  4.379180000E-02  0.000000000E+00  1.688209154E-01 -1.428123192E+03 
        66  6.170090000E-01  4.421250000E-02  0.000000000E+00  1.105499318E-01 -2.821616387E+02 
        67  5.759990000E-01  4.755650000E-02  0.000000000E+00  1.130154308E-01 -3.206812608E+02 
        68  1.241140000E-01  5.043730000E-02  0.000000000E+00  1.584105354E-01 -1.182306324E+03 
