nodenumber     x-coordinate     y-coordinate     z-coordinate      mach-number         pressure 
         1  3.121500000E-01 -5.998350000E-02  0.000000000E+00  9.388951751E-02  7.751633028E+01 
         2  2.710040000E-01 -5.982130000E-02  0.000000000E+00  9.209150131E-02  1.006675615E+02 
         3  3.532920000E-01 -5.941680000E-02  0.000000000E+00  9.524896078E-02  5.963693380E+01 
         4  2.298710000E-01 -5.878540000E-02  0.000000000E+00  8.965041729E-02  1.311373273E+02 
         5  3.944220000E-01 -5.823310000E-02  0.000000000E+00  9.629775980E-02  4.561725365E+01 
         6  1.887790000E-01 -5.668000000E-02  0.000000000E+00  8.621087260E-02  1.720097681E+02 
         7  4.355330000E-01 -5.652160000E-02  0.000000000E+00  9.712335423E-02  3.445610328E+01 
         8  4.766220000E-01 -5.435440000E-02  0.000000000E+00  9.778712448E-02  2.542227912E+01 
         9  1.477800000E-01 -5.322310000E-02  0.000000000E+00  8.104373823E-02  2.288578865E+02 
        10  5.176890000E-01 -5.179020000E-02  0.000000000E+00  9.833192285E-02  1.795984912E+01 
        11  5.587330000E-01 -4.887710000E-02  0.000000000E+00  9.879000143E-02  1.165064745E+01 
        12  1.069750000E-01 -4.796380000E-02  0.000000000E+00  7.243579531E-02  3.121869626E+02 
        13  5.997530000E-01 -4.565400000E-02  0.000000000E+00  9.918535890E-02  6.177956317E+00 
        14  6.407510000E-01 -4.215150000E-02  0.000000000E+00  9.953553743E-02  1.308556185E+00 
        15  6.660800000E-02 -4.005300000E-02  0.000000000E+00  5.526168074E-02  4.524850559E+02 
        16  6.817250000E-01 -3.839350000E-02  0.000000000E+00  9.985375930E-02 -3.131227080E+00 
        17  7.226780000E-01 -3.439720000E-02  0.000000000E+00  1.001500061E-01 -7.277614303E+00 
        18  7.636070000E-01 -3.017410000E-02  0.000000000E+00  1.004306547E-01 -1.122246215E+01 
        19  2.753760000E-02 -2.732310000E-02  0.000000000E+00  2.912409435E-02  6.095129814E+02 
        20  8.045130000E-01 -2.572990000E-02  0.000000000E+00  1.006999044E-01 -1.500970925E+01 
        21  8.453950000E-01 -2.106530000E-02  0.000000000E+00  1.009581742E-01 -1.869633952E+01 
        22  9.773690000E-03 -1.685240000E-02  0.000000000E+00  3.052033681E-02  5.889218555E+02 
        23  8.862500000E-01 -1.617560000E-02  0.000000000E+00  1.012112634E-01 -2.224751022E+01 
