nodenumber     x-coordinate     y-coordinate     z-coordinate      mach-number         pressure 
         1  3.090020000E-01 -5.999850000E-02  0.000000000E+00  1.004581175E-01  9.822717033E+01 
         2  2.702430000E-01 -5.981060000E-02  0.000000000E+00  9.913398209E-02  1.211856690E+02 
         3  3.501450000E-01 -5.948320000E-02  0.000000000E+00  1.031281170E-01  7.915751306E+01 
         4  2.371580000E-01 -5.904050000E-02  0.000000000E+00  9.490310027E-02  1.461011961E+02 
         5  3.912760000E-01 -5.834330000E-02  0.000000000E+00  1.040829618E-01  6.388680028E+01 
         6  2.087650000E-01 -5.785310000E-02  0.000000000E+00  8.851724213E-02  1.722096379E+02 
         7  4.323880000E-01 -5.666940000E-02  0.000000000E+00  1.036883974E-01  5.194407130E+01 
         8  1.843370000E-01 -5.637740000E-02  0.000000000E+00  8.488928201E-02  2.001024091E+02 
         9  1.631610000E-01 -5.470320000E-02  0.000000000E+00  8.278972053E-02  2.292066958E+02 
        10  4.734800000E-01 -5.453490000E-02  0.000000000E+00  1.042182878E-01  4.225588313E+01 
        11  1.447430000E-01 -5.290180000E-02  0.000000000E+00  7.968599555E-02  2.590801380E+02 
        12  5.145480000E-01 -5.199920000E-02  0.000000000E+00  1.043156485E-01  3.404775994E+01 
        13  1.286980000E-01 -5.102990000E-02  0.000000000E+00  7.545704541E-02  2.894042495E+02 
        14  1.147010000E-01 -4.913170000E-02  0.000000000E+00  7.193500544E-02  3.202000892E+02 
        15  5.555940000E-01 -4.911140000E-02  0.000000000E+00  1.041407762E-01  2.717816055E+01 
        16  1.024830000E-01 -4.724140000E-02  0.000000000E+00  6.892948796E-02  3.510690293E+02 
        17  5.966160000E-01 -4.591080000E-02  0.000000000E+00  1.049391026E-01  2.113992194E+01 
        18  9.180020000E-02 -4.538360000E-02  0.000000000E+00  6.611463292E-02  3.817063740E+02 
        19  8.241830000E-02 -4.357030000E-02  0.000000000E+00  6.358923819E-02  4.119463096E+02 
        20  6.376150000E-01 -4.242870000E-02  0.000000000E+00  1.071966051E-01  1.512949143E+01 
        21  7.419740000E-02 -4.182110000E-02  0.000000000E+00  6.125897855E-02  4.414957444E+02 
        22  6.701180000E-02 -4.015110000E-02  0.000000000E+00  5.875348768E-02  4.700486634E+02 
        23  6.785920000E-01 -3.868960000E-02  0.000000000E+00  1.083924435E-01  9.927085199E+00 
        24  6.066690000E-02 -3.855140000E-02  0.000000000E+00  5.588903852E-02  4.975807159E+02 
        25  5.497740000E-02 -3.700280000E-02  0.000000000E+00  5.257369442E-02  5.242726432E+02 
        26  4.987280000E-02 -3.550830000E-02  0.000000000E+00  4.888364494E-02  5.499563598E+02 
        27  7.195460000E-01 -3.471110000E-02  0.000000000E+00  1.079455060E-01  4.921262461E+00 
        28  4.536520000E-02 -3.409410000E-02  0.000000000E+00  4.501882390E-02  5.740529876E+02 
        29  4.143780000E-02 -3.277970000E-02  0.000000000E+00  4.115463848E-02  5.961624717E+02 
        30  3.801710000E-02 -3.156400000E-02  0.000000000E+00  3.735178889E-02  6.161665656E+02 
        31  7.604770000E-01 -3.050500000E-02  0.000000000E+00  1.070809308E-01 -4.041464946E-01 
        32  3.499280000E-02 -3.042700000E-02  0.000000000E+00  3.359755319E-02  6.342369622E+02 
        33  3.226880000E-02 -2.934670000E-02  0.000000000E+00  2.985549868E-02  6.506013069E+02 
        34  2.977200000E-02 -2.830400000E-02  0.000000000E+00  2.607488115E-02  6.654114466E+02 
        35  2.744820000E-02 -2.728280000E-02  0.000000000E+00  2.220760399E-02  6.787220096E+02 
        36  2.525940000E-02 -2.627060000E-02  0.000000000E+00  1.821058641E-02  6.904250405E+02 
        37  8.013850000E-01 -2.607760000E-02  0.000000000E+00  1.071838577E-01 -5.763552296E+00 
