nodenumber     x-coordinate     y-coordinate     z-coordinate      mach-number         pressure 
         1  2.883190000E-01 -5.998690000E-02  0.000000000E+00  8.495800605E-02  1.973350466E+02 
         2  3.294650000E-01 -5.982680000E-02  0.000000000E+00  8.690426126E-02  1.739366919E+02 
         3  2.471780000E-01 -5.933890000E-02  0.000000000E+00  8.234035002E-02  2.278095796E+02 
         4  3.706030000E-01 -5.898830000E-02  0.000000000E+00  8.838073665E-02  1.557713330E+02 
         5  2.060650000E-01 -5.771190000E-02  0.000000000E+00  7.870879818E-02  2.681708696E+02 
         6  4.117260000E-01 -5.757270000E-02  0.000000000E+00  8.951722628E-02  1.415555449E+02 
         7  4.528280000E-01 -5.566140000E-02  0.000000000E+00  9.040021457E-02  1.303765633E+02 
         8  1.650180000E-01 -5.486620000E-02  0.000000000E+00  7.342862591E-02  3.229559833E+02 
         9  4.939080000E-01 -5.332060000E-02  0.000000000E+00  9.109037301E-02  1.215643257E+02 
        10  5.349650000E-01 -5.060440000E-02  0.000000000E+00  9.162967374E-02  1.146261694E+02 
        11  1.241140000E-01 -5.043730000E-02  0.000000000E+00  6.515332260E-02  4.013089726E+02 
        12  5.759990000E-01 -4.755650000E-02  0.000000000E+00  9.204733842E-02  1.092144981E+02 
        13  6.170090000E-01 -4.421250000E-02  0.000000000E+00  9.236362390E-02  1.050899339E+02 
        14  8.351470000E-02 -4.379180000E-02  0.000000000E+00  5.274818442E-02  5.033094332E+02 
        15  6.579970000E-01 -4.059990000E-02  0.000000000E+00  9.259359970E-02  1.021300587E+02 
        16  5.488770000E-02 -3.697740000E-02  0.000000000E+00  3.738396777E-02  6.023443060E+02 
        17  6.989630000E-01 -3.673990000E-02  0.000000000E+00  9.273772394E-02  1.002180988E+02 
        18  7.399050000E-01 -3.264710000E-02  0.000000000E+00  9.280214172E-02  9.938514374E+01 
        19  3.777470000E-02 -3.147510000E-02  0.000000000E+00  2.033078160E-02  6.747767240E+02 
        20  7.808250000E-01 -2.833060000E-02  0.000000000E+00  9.277023438E-02  9.993399871E+01 
        21  2.634450000E-02 -2.677890000E-02  0.000000000E+00  7.897990984E-03  7.068093895E+02 
        22  8.217210000E-01 -2.379390000E-02  0.000000000E+00  9.259395732E-02  1.022911600E+02 
        23  1.821900000E-02 -2.259850000E-02  0.000000000E+00  1.484895960E-02  6.869325593E+02 
        24  1.318260000E-02 -1.942040000E-02  0.000000000E+00  3.499476791E-02  6.155439484E+02 
        25  8.625920000E-01 -1.903530000E-02  0.000000000E+00  9.222382471E-02  1.070883481E+02 
        26  9.850590000E-03 -1.691540000E-02  0.000000000E+00  5.379609113E-02  4.979954822E+02 
        27  7.411530000E-03 -1.476420000E-02  0.000000000E+00  7.189422584E-02  3.364729159E+02 
        28  9.034350000E-01 -1.404860000E-02  0.000000000E+00  9.163294167E-02  1.150298180E+02 
        29  5.510960000E-03 -1.280140000E-02  0.000000000E+00  9.005544719E-02  1.274610544E+02 
        30  3.983540000E-03 -1.093890000E-02  0.000000000E+00  1.085360285E-01 -1.342081691E+02 
        31  9.337850000E-01 -1.018640000E-02  0.000000000E+00  9.074381439E-02  1.266146865E+02 
        32  2.745270000E-03 -9.124550000E-03  0.000000000E+00  1.274004833E-01 -4.527686821E+02 
        33  1.752850000E-03 -7.324960000E-03  0.000000000E+00  1.465716977E-01 -8.301793163E+02 
        34  9.641170000E-01 -6.185660000E-03  0.000000000E+00  8.927970468E-02  1.447510506E+02 
        35  9.860190000E-04 -5.518970000E-03  0.000000000E+00  1.657460325E-01 -1.255864700E+03 
        36  4.384000000E-04 -3.696570000E-03  0.000000000E+00  1.845119963E-01 -1.718197147E+03 
        37  9.885790000E-01 -2.851310000E-03  0.000000000E+00  8.647368790E-02  1.650231928E+02 
        38  1.095110000E-04 -1.855900000E-03  0.000000000E+00  2.022123271E-01 -2.200405728E+03 
        39  0.000000000E+00  0.000000000E+00  0.000000000E+00  2.182227957E-01 -2.670273317E+03 
        40  1.008950000E+00  0.000000000E+00  0.000000000E+00  7.843052832E-02  1.933814963E+02 
        41  1.095110000E-04  1.855900000E-03  0.000000000E+00  2.318848511E-01 -3.102254079E+03 
        42  9.885790000E-01  2.851310000E-03  0.000000000E+00  7.548501539E-02  1.298301752E+02 
        43  4.384000000E-04  3.696570000E-03  0.000000000E+00  2.425912503E-01 -3.465041037E+03 
        44  9.860190000E-04  5.518970000E-03  0.000000000E+00  2.500576484E-01 -3.728377205E+03 
        45  9.641170000E-01  6.185660000E-03  0.000000000E+00  8.216574302E-02  7.535202621E+01 
        46  1.752850000E-03  7.324960000E-03  0.000000000E+00  2.543464891E-01 -3.885875338E+03 
        47  2.745270000E-03  9.124550000E-03  0.000000000E+00  2.558545561E-01 -3.944911433E+03 
        48  9.337850000E-01  1.018640000E-02  0.000000000E+00  8.660657868E-02  2.353095091E+01 
        49  3.983540000E-03  1.093890000E-02  0.000000000E+00  2.550407455E-01 -3.921313371E+03 
        50  5.510960000E-03  1.280140000E-02  0.000000000E+00  2.522915171E-01 -3.831576515E+03 
        51  9.034350000E-01  1.404860000E-02  0.000000000E+00  9.018571822E-02 -2.131747154E+01 
        52  7.411530000E-03  1.476420000E-02  0.000000000E+00  2.478905326E-01 -3.687202452E+03 
        53  9.850590000E-03  1.691540000E-02  0.000000000E+00  2.419212856E-01 -3.494171016E+03 
        54  8.625920000E-01  1.903530000E-02  0.000000000E+00  9.357245153E-02 -6.538733200E+01 
        55  1.318260000E-02  1.942040000E-02  0.000000000E+00  2.342184252E-01 -3.247607169E+03 
        56  1.821900000E-02  2.259850000E-02  0.000000000E+00  2.242623183E-01 -2.950258831E+03 
        57  8.217210000E-01  2.379390000E-02  0.000000000E+00  9.672865535E-02 -1.072621380E+02 
        58  2.634450000E-02  2.677890000E-02  0.000000000E+00  2.123967059E-01 -2.609381336E+03 
        59  7.808250000E-01  2.833060000E-02  0.000000000E+00  9.956295637E-02 -1.463601880E+02 
        60  3.777470000E-02  3.147510000E-02  0.000000000E+00  1.998537041E-01 -2.252926877E+03 
        61  7.399050000E-01  3.264710000E-02  0.000000000E+00  1.022267992E-01 -1.841019654E+02 
        62  6.989630000E-01  3.673990000E-02  0.000000000E+00  1.048186365E-01 -2.215778369E+02 
        63  5.488770000E-02  3.697740000E-02  0.000000000E+00  1.869633221E-01 -1.907622733E+03 
        64  6.579970000E-01  4.059990000E-02  0.000000000E+00  1.073775647E-01 -2.596253344E+02 
        65  8.351470000E-02  4.379180000E-02  0.000000000E+00  1.739466983E-01 -1.576084174E+03 
        66  6.170090000E-01  4.421250000E-02  0.000000000E+00  1.099584557E-01 -2.989145098E+02 
        67  5.759990000E-01  4.755650000E-02  0.000000000E+00  1.126069532E-01 -3.400591226E+02 
        68  1.241140000E-01  5.043730000E-02  0.000000000E+00  1.622647134E-01 -1.293091009E+03 
        69  5.349650000E-01  5.060440000E-02  0.000000000E+00  1.153501389E-01 -3.836794995E+02 
        70  4.939080000E-01  5.332060000E-02  0.000000000E+00  1.182168092E-01 -4.304303292E+02 
        71  1.650180000E-01  5.486620000E-02  0.000000000E+00  1.532469318E-01 -1.090939811E+03 
        72  4.528280000E-01  5.566140000E-02  0.000000000E+00  1.212410144E-01 -4.810645254E+02 
        73  4.117260000E-01  5.757270000E-02  0.000000000E+00  1.244731957E-01 -5.364684280E+02 
        74  2.060650000E-01  5.771190000E-02  0.000000000E+00  1.463880381E-01 -9.483944579E+02 
        75  3.706030000E-01  5.898830000E-02  0.000000000E+00  1.279634386E-01 -5.978043735E+02 
        76  2.471780000E-01  5.933890000E-02  0.000000000E+00  1.407866436E-01 -8.371647669E+02 
        77  3.294650000E-01  5.982680000E-02  0.000000000E+00  1.317785160E-01 -6.666397319E+02 
        78  2.883190000E-01  5.998690000E-02  0.000000000E+00  1.360004376E-01 -7.452586360E+02 
        79  2.883190000E-01 -5.998690000E-02  1.666670000E-01  8.495800579E-02  1.973350496E+02 
        80  3.294650000E-01 -5.982680000E-02  1.666670000E-01  8.690426120E-02  1.739366926E+02 
        81  2.471780000E-01 -5.933890000E-02  1.666670000E-01  8.234034939E-02  2.278095869E+02 
        82  3.706030000E-01 -5.898830000E-02  1.666670000E-01  8.838073635E-02  1.557713367E+02 
        83  2.060650000E-01 -5.771190000E-02  1.666670000E-01  7.870879723E-02  2.681708799E+02 
        84  4.117260000E-01 -5.757270000E-02  1.666670000E-01  8.951722581E-02  1.415555507E+02 
        85  4.528280000E-01 -5.566140000E-02  1.666670000E-01  9.040021397E-02  1.303765708E+02 
        86  1.650180000E-01 -5.486620000E-02  1.666670000E-01  7.342862321E-02  3.229560104E+02 
        87  4.939080000E-01 -5.332060000E-02  1.666670000E-01  9.109037224E-02  1.215643354E+02 
        88  5.349650000E-01 -5.060440000E-02  1.666670000E-01  9.162967258E-02  1.146261843E+02 
        89  1.241140000E-01 -5.043730000E-02  1.666670000E-01  6.515331697E-02  4.013090239E+02 
        90  5.759990000E-01 -4.755650000E-02  1.666670000E-01  9.204733668E-02  1.092145203E+02 
        91  6.170090000E-01 -4.421250000E-02  1.666670000E-01  9.236362125E-02  1.050899669E+02 
        92  8.351470000E-02 -4.379180000E-02  1.666670000E-01  5.274817332E-02  5.033095176E+02 
        93  6.579970000E-01 -4.059990000E-02  1.666670000E-01  9.259359613E-02  1.021301093E+02 
        94  5.488770000E-02 -3.697740000E-02  1.666670000E-01  3.738395486E-02  6.023443762E+02 
        95  6.989630000E-01 -3.673990000E-02  1.666670000E-01  9.273771836E-02  1.002181696E+02 
        96  7.399050000E-01 -3.264710000E-02  1.666670000E-01  9.280213094E-02  9.938524335E+01 
        97  3.777470000E-02 -3.147510000E-02  1.666670000E-01  2.033077052E-02  6.747767591E+02 
        98  7.808250000E-01 -2.833060000E-02  1.666670000E-01  9.277021871E-02  9.993412718E+01 
        99  2.634450000E-02 -2.677890000E-02  1.666670000E-01  7.897989135E-03  7.068093915E+02 
       100  8.217210000E-01 -2.379390000E-02  1.666670000E-01  9.259398179E-02  1.022912766E+02 
       101  1.821900000E-02 -2.259850000E-02  1.666670000E-01  1.484896420E-02  6.869325489E+02 
       102  1.318260000E-02 -1.942040000E-02  1.666670000E-01  3.499478221E-02  6.155438779E+02 
       103  8.625920000E-01 -1.903530000E-02  1.666670000E-01  9.222387695E-02  1.070884335E+02 
       104  9.850590000E-03 -1.691540000E-02  1.666670000E-01  5.379611131E-02  4.979953277E+02 
       105  7.411530000E-03 -1.476420000E-02  1.666670000E-01  7.189424671E-02  3.364727028E+02 
       106  9.034350000E-01 -1.404860000E-02  1.666670000E-01  9.163230869E-02  1.150302803E+02 
       107  5.510960000E-03 -1.280140000E-02  1.666670000E-01  9.005546660E-02  1.274608061E+02 
       108  3.983540000E-03 -1.093890000E-02  1.666670000E-01  1.085360447E-01 -1.342084217E+02 
