nodenumber     x-coordinate     y-coordinate     z-coordinate      mach-number         pressure 
         1  2.883190000E-01 -5.998690000E-02  0.000000000E+00  7.276456341E-02 -2.439537396E+02 
         2  3.294650000E-01 -5.982680000E-02  0.000000000E+00  7.030860571E-02 -2.275394311E+02 
         3  2.471780000E-01 -5.933890000E-02  0.000000000E+00  7.581127960E-02 -2.594597960E+02 
         4  3.706030000E-01 -5.898830000E-02  0.000000000E+00  6.821085394E-02 -2.107763717E+02 
         5  2.060650000E-01 -5.771190000E-02  0.000000000E+00  7.985114363E-02 -2.732064255E+02 
         6  4.117260000E-01 -5.757270000E-02  0.000000000E+00  6.630856486E-02 -1.939162040E+02 
         7  4.528280000E-01 -5.566140000E-02  0.000000000E+00  6.452736944E-02 -1.771629755E+02 
         8  1.650180000E-01 -5.486620000E-02  0.000000000E+00  8.518044171E-02 -2.823564411E+02 
         9  4.939080000E-01 -5.332060000E-02  0.000000000E+00  6.286490975E-02 -1.606247795E+02 
        10  5.349650000E-01 -5.060440000E-02  0.000000000E+00  6.134228325E-02 -1.442464173E+02 
        11  1.241140000E-01 -5.043730000E-02  0.000000000E+00  9.081080706E-02 -2.852634249E+02 
        12  5.759990000E-01 -4.755650000E-02  0.000000000E+00  5.993009168E-02 -1.280369083E+02 
        13  6.170090000E-01 -4.421250000E-02  0.000000000E+00  5.858013749E-02 -1.119523683E+02 
        14  8.351470000E-02 -4.379180000E-02  0.000000000E+00  9.550940168E-02 -2.780046371E+02 
        15  6.579970000E-01 -4.059990000E-02  0.000000000E+00  5.724593580E-02 -9.581987183E+01 
        16  5.488770000E-02 -3.697740000E-02  0.000000000E+00  9.934427986E-02 -2.544771891E+02 
        17  6.989630000E-01 -3.673990000E-02  0.000000000E+00  5.588829859E-02 -7.940731871E+01 
        18  7.399050000E-01 -3.264710000E-02  0.000000000E+00  5.446214172E-02 -6.240248861E+01 
        19  3.777470000E-02 -3.147510000E-02  0.000000000E+00  1.026527206E-01 -2.227711145E+02 
        20  7.808250000E-01 -2.833060000E-02  0.000000000E+00  5.290131337E-02 -4.437449253E+01 
        21  2.634450000E-02 -2.677890000E-02  0.000000000E+00  1.045548508E-01 -1.762572633E+02 
        22  8.217210000E-01 -2.379390000E-02  0.000000000E+00  5.115062767E-02 -2.458665510E+01 
        23  1.821900000E-02 -2.259850000E-02  0.000000000E+00  1.019127738E-01 -9.125424643E+01 
        24  1.318260000E-02 -1.942040000E-02  0.000000000E+00  9.556301856E-02  1.165979451E+01 
        25  8.625920000E-01 -1.903530000E-02  0.000000000E+00  4.907894453E-02 -2.169709185E+00 
        26  9.850590000E-03 -1.691540000E-02  0.000000000E+00  8.918074131E-02  1.074730511E+02 
        27  7.411530000E-03 -1.476420000E-02  0.000000000E+00  8.306460912E-02  1.962402676E+02 
        28  9.034350000E-01 -1.404860000E-02  0.000000000E+00  4.656472153E-02  2.254831590E+01 
        29  5.510960000E-03 -1.280140000E-02  0.000000000E+00  7.692037214E-02  2.764343013E+02 
        30  3.983540000E-03 -1.093890000E-02  0.000000000E+00  7.031360873E-02  3.512015598E+02 
        31  9.337850000E-01 -1.018640000E-02  0.000000000E+00  4.357660712E-02  4.865160055E+01 
        32  2.745270000E-03 -9.124550000E-03  0.000000000E+00  6.238514457E-02  4.258857580E+02 
        33  1.752850000E-03 -7.324960000E-03  0.000000000E+00  5.271434402E-02  5.058347830E+02 
        34  9.641170000E-01 -6.185660000E-03  0.000000000E+00  4.007727959E-02  7.781266020E+01 
        35  9.860190000E-04 -5.518970000E-03  0.000000000E+00  4.128482759E-02  5.851176257E+02 
        36  4.384000000E-04 -3.696570000E-03  0.000000000E+00  2.836375227E-02  6.507382438E+02 
        37  9.885790000E-01 -2.851310000E-03  0.000000000E+00  3.612567249E-02  1.093379382E+02 
        38  1.095110000E-04 -1.855900000E-03  0.000000000E+00  1.461183707E-02  6.949215469E+02 
        39  0.000000000E+00  0.000000000E+00  0.000000000E+00  7.613749310E-03  7.110668575E+02 
        40  1.008950000E+00  0.000000000E+00  0.000000000E+00  3.469600239E-02  1.350098221E+02 
        41  1.095110000E-04  1.855900000E-03  0.000000000E+00  1.461159883E-02  6.949222326E+02 
        42  9.885790000E-01  2.851310000E-03  0.000000000E+00  3.612571011E-02  1.093379430E+02 
        43  4.384000000E-04  3.696570000E-03  0.000000000E+00  2.836346062E-02  6.507395395E+02 
        44  9.860190000E-04  5.518970000E-03  0.000000000E+00  4.128454008E-02  5.851194054E+02 
        45  9.641170000E-01  6.185660000E-03  0.000000000E+00  4.007731067E-02  7.781269180E+01 
        46  1.752850000E-03  7.324960000E-03  0.000000000E+00  5.271407264E-02  5.058369335E+02 
        47  2.745270000E-03  9.124550000E-03  0.000000000E+00  6.238489395E-02  4.258880470E+02 
        48  9.337850000E-01  1.018640000E-02  0.000000000E+00  4.357663246E-02  4.865167373E+01 
        49  3.983540000E-03  1.093890000E-02  0.000000000E+00  7.031337696E-02  3.512039455E+02 
        50  5.510960000E-03  1.280140000E-02  0.000000000E+00  7.692015251E-02  2.764368993E+02 
        51  9.034350000E-01  1.404860000E-02  0.000000000E+00  4.656474216E-02  2.254843822E+01 
        52  7.411530000E-03  1.476420000E-02  0.000000000E+00  8.306439427E-02  1.962430791E+02 
        53  9.850590000E-03  1.691540000E-02  0.000000000E+00  8.918053378E-02  1.074760113E+02 
        54  8.625920000E-01  1.903530000E-02  0.000000000E+00  4.907896113E-02 -2.169536754E+00 
        55  1.318260000E-02  1.942040000E-02  0.000000000E+00  9.556281659E-02  1.166276949E+01 
        56  1.821900000E-02  2.259850000E-02  0.000000000E+00  1.019125842E-01 -9.125123665E+01 
        57  8.217210000E-01  2.379390000E-02  0.000000000E+00  5.115064110E-02 -2.458643501E+01 
        58  2.634450000E-02  2.677890000E-02  0.000000000E+00  1.045547149E-01 -1.762546382E+02 
        59  7.808250000E-01  2.833060000E-02  0.000000000E+00  5.290132411E-02 -4.437422763E+01 
        60  3.777470000E-02  3.147510000E-02  0.000000000E+00  1.026526340E-01 -2.227691151E+02 
        61  7.399050000E-01  3.264710000E-02  0.000000000E+00  5.446215021E-02 -6.240218393E+01 
        62  6.989630000E-01  3.673990000E-02  0.000000000E+00  5.588830523E-02 -7.940697666E+01 
        63  5.488770000E-02  3.697740000E-02  0.000000000E+00  9.934421025E-02 -2.544754014E+02 
        64  6.579970000E-01  4.059990000E-02  0.000000000E+00  5.724594083E-02 -9.581949437E+01 
        65  8.351470000E-02  4.379180000E-02  0.000000000E+00  9.550934838E-02 -2.780030537E+02 
        66  6.170090000E-01  4.421250000E-02  0.000000000E+00  5.858014125E-02 -1.119519566E+02 
        67  5.759990000E-01  4.755650000E-02  0.000000000E+00  5.993009457E-02 -1.280364624E+02 
        68  1.241140000E-01  5.043730000E-02  0.000000000E+00  9.081076769E-02 -2.852621188E+02 
        69  5.349650000E-01  5.060440000E-02  0.000000000E+00  6.134228545E-02 -1.442459357E+02 
