nodenumber     x-coordinate     y-coordinate     z-coordinate      mach-number         pressure 
         1  2.883190000E-01 -5.998690000E-02  0.000000000E+00  5.452584266E-02  3.996668925E+02 
         2  3.294650000E-01 -5.982680000E-02  0.000000000E+00  5.648667108E-02  3.534874553E+02 
         3  2.471780000E-01 -5.933890000E-02  0.000000000E+00  5.180982655E-02  4.507763550E+02 
         4  3.706030000E-01 -5.898830000E-02  0.000000000E+00  5.794981436E-02  3.112651793E+02 
         5  2.060650000E-01 -5.771190000E-02  0.000000000E+00  4.796931445E-02  5.081259239E+02 
         6  4.117260000E-01 -5.757270000E-02  0.000000000E+00  5.915718425E-02  2.722748323E+02 
         7  4.528280000E-01 -5.566140000E-02  0.000000000E+00  6.028579003E-02  2.357186060E+02 
         8  1.650180000E-01 -5.486620000E-02  0.000000000E+00  4.160284429E-02  5.744232151E+02 
         9  4.939080000E-01 -5.332060000E-02  0.000000000E+00  6.139368861E-02  2.008861002E+02 
        10  5.349650000E-01 -5.060440000E-02  0.000000000E+00  6.250049170E-02  1.672387088E+02 
        11  1.241140000E-01 -5.043730000E-02  0.000000000E+00  3.083818591E-02  6.456094718E+02 
        12  5.759990000E-01 -4.755650000E-02  0.000000000E+00  6.364154781E-02  1.342868419E+02 
        13  6.170090000E-01 -4.421250000E-02  0.000000000E+00  6.485513301E-02  1.015299471E+02 
        14  8.351470000E-02 -4.379180000E-02  0.000000000E+00  1.492926288E-02  7.066683662E+02 
        15  6.579970000E-01 -4.059990000E-02  0.000000000E+00  6.614134965E-02  6.848549384E+01 
        16  5.488770000E-02 -3.697740000E-02  0.000000000E+00  7.861529195E-03  7.287672086E+02 
        17  6.989630000E-01 -3.673990000E-02  0.000000000E+00  6.749669713E-02  3.463649821E+01 
        18  7.399050000E-01 -3.264710000E-02  0.000000000E+00  6.892327953E-02 -5.720264752E-01 
        19  3.777470000E-02 -3.147510000E-02  0.000000000E+00  2.051595499E-02  6.899199899E+02 
        20  7.808250000E-01 -2.833060000E-02  0.000000000E+00  7.042928955E-02 -3.783535257E+01 
        21  2.634450000E-02 -2.677890000E-02  0.000000000E+00  4.224454461E-02  5.841723842E+02 
        22  8.217210000E-01 -2.379390000E-02  0.000000000E+00  7.211694416E-02 -7.803722282E+01 
        23  1.821900000E-02 -2.259850000E-02  0.000000000E+00  6.466165922E-02  4.044855663E+02 
        24  1.318260000E-02 -1.942040000E-02  0.000000000E+00  8.586093187E-02  1.647166727E+02 
        25  8.625920000E-01 -1.903530000E-02  0.000000000E+00  7.411308382E-02 -1.222231350E+02 
        26  9.850590000E-03 -1.691540000E-02  0.000000000E+00  1.045199418E-01 -1.032521379E+02 
        27  7.411530000E-03 -1.476420000E-02  0.000000000E+00  1.214109227E-01 -3.838635200E+02 
        28  9.034350000E-01 -1.404860000E-02  0.000000000E+00  7.625908626E-02 -1.693634238E+02 
        29  5.510960000E-03 -1.280140000E-02  0.000000000E+00  1.378742137E-01 -6.976909023E+02 
        30  3.983540000E-03 -1.093890000E-02  0.000000000E+00  1.551213462E-01 -1.082772750E+03 
        31  9.337850000E-01 -1.018640000E-02  0.000000000E+00  7.842767316E-02 -2.177011717E+02 
        32  2.745270000E-03 -9.124550000E-03  0.000000000E+00  1.729876058E-01 -1.528639592E+03 
        33  1.752850000E-03 -7.324960000E-03  0.000000000E+00  1.899726059E-01 -1.986218965E+03 
        34  9.641170000E-01 -6.185660000E-03  0.000000000E+00  8.146555726E-02 -2.716271595E+02 
        35  9.860190000E-04 -5.518970000E-03  0.000000000E+00  2.053557635E-01 -2.434053382E+03 
        36  4.384000000E-04 -3.696570000E-03  0.000000000E+00  2.189636162E-01 -2.847142916E+03 
        37  9.885790000E-01 -2.851310000E-03  0.000000000E+00  8.763820233E-02 -3.275747654E+02 
        38  1.095110000E-04 -1.855900000E-03  0.000000000E+00  2.296796322E-01 -3.175272920E+03 
        39  0.000000000E+00  0.000000000E+00  0.000000000E+00  2.353210390E-01 -3.437747249E+03 
        40  1.008950000E+00  0.000000000E+00  0.000000000E+00  7.319399971E-02 -4.308362463E+02 
        41  1.095110000E-04  1.855900000E-03  0.000000000E+00  2.362877681E-01 -3.638609268E+03 
        42  9.885790000E-01  2.851310000E-03  0.000000000E+00  1.344373611E-02 -4.775592036E+02 
        43  4.384000000E-04  3.696570000E-03  0.000000000E+00  2.350817824E-01 -3.731412377E+03 
        44  9.860190000E-04  5.518970000E-03  0.000000000E+00  2.322203907E-01 -3.713207866E+03 
        45  9.641170000E-01  6.185660000E-03  0.000000000E+00  4.026272019E-03 -4.480150007E+02 
        46  1.752850000E-03  7.324960000E-03  0.000000000E+00  2.274443538E-01 -3.602546642E+03 
        47  2.745270000E-03  9.124550000E-03  0.000000000E+00  2.211629266E-01 -3.419727983E+03 
        48  9.337850000E-01  1.018640000E-02  0.000000000E+00  6.755498923E-03 -4.512522293E+02 
        49  3.983540000E-03  1.093890000E-02  0.000000000E+00  2.124388455E-01 -3.195274237E+03 
        50  5.510960000E-03  1.280140000E-02  0.000000000E+00  1.976048814E-01 -2.867870013E+03 
        51  9.034350000E-01  1.404860000E-02  0.000000000E+00  8.701570956E-03 -4.548832406E+02 
        52  7.411530000E-03  1.476420000E-02  0.000000000E+00  1.779901192E-01 -2.457305683E+03 
        53  9.850590000E-03  1.691540000E-02  0.000000000E+00  1.557255339E-01 -2.034567771E+03 
        54  8.625920000E-01  1.903530000E-02  0.000000000E+00  9.780674826E-03 -4.588482999E+02 
        55  1.318260000E-02  1.942040000E-02  0.000000000E+00  1.276871982E-01 -1.577932502E+03 
        56  1.821900000E-02  2.259850000E-02  0.000000000E+00  8.862109053E-02 -1.116876882E+03 
        57  8.217210000E-01  2.379390000E-02  0.000000000E+00  1.057499474E-02 -4.627774373E+02 
        58  2.634450000E-02  2.677890000E-02  0.000000000E+00  3.885064396E-02 -7.553222731E+02 
        59  7.808250000E-01  2.833060000E-02  0.000000000E+00  1.113326450E-02 -4.657720907E+02 
        60  3.777470000E-02  3.147510000E-02  0.000000000E+00  1.587397440E-02 -5.935365713E+02 
        61  7.399050000E-01  3.264710000E-02  0.000000000E+00  1.146719262E-02 -4.680814271E+02 
        62  6.989630000E-01  3.673990000E-02  0.000000000E+00  1.158704579E-02 -4.698016129E+02 
        63  5.488770000E-02  3.697740000E-02  0.000000000E+00  2.282246309E-02 -5.616388835E+02 
        64  6.579970000E-01  4.059990000E-02  0.000000000E+00  1.152335144E-02 -4.711029815E+02 
        65  8.351470000E-02  4.379180000E-02  0.000000000E+00  2.643082644E-02 -5.498990395E+02 
        66  6.170090000E-01  4.421250000E-02  0.000000000E+00  1.132185068E-02 -4.720295399E+02 
        67  5.759990000E-01  4.755650000E-02  0.000000000E+00  1.105954486E-02 -4.726486857E+02 
        68  1.241140000E-01  5.043730000E-02  0.000000000E+00  2.489691980E-02 -5.296913387E+02 
        69  5.349650000E-01  5.060440000E-02  0.000000000E+00  1.080858431E-02 -4.731452368E+02 
        70  4.939080000E-01  5.332060000E-02  0.000000000E+00  1.061682109E-02 -4.736466199E+02 
        71  1.650180000E-01  5.486620000E-02  0.000000000E+00  2.082841946E-02 -5.093618515E+02 
        72  4.528280000E-01  5.566140000E-02  0.000000000E+00  1.053329446E-02 -4.742778943E+02 
        73  4.117260000E-01  5.757270000E-02  0.000000000E+00  1.061807017E-02 -4.751916608E+02 
        74  2.060650000E-01  5.771190000E-02  0.000000000E+00  1.707792540E-02 -4.964434107E+02 
        75  3.706030000E-01  5.898830000E-02  0.000000000E+00  1.093497568E-02 -4.766059888E+02 
        76  2.471780000E-01  5.933890000E-02  0.000000000E+00  1.454553004E-02 -4.878837308E+02 
        77  3.294650000E-01  5.982680000E-02  0.000000000E+00  1.159912992E-02 -4.787873011E+02 
        78  2.883190000E-01  5.998690000E-02  0.000000000E+00  1.277025738E-02 -4.823114521E+02 
        79  2.883190000E-01 -5.998690000E-02  1.666670000E-01  5.452582672E-02  3.996663968E+02 
        80  3.294650000E-01 -5.982680000E-02  1.666670000E-01  5.648664843E-02  3.534870270E+02 
        81  2.471780000E-01 -5.933890000E-02  1.666670000E-01  5.180982472E-02  4.507757657E+02 
        82  3.706030000E-01 -5.898830000E-02  1.666670000E-01  5.794979124E-02  3.112648135E+02 
        83  2.060650000E-01 -5.771190000E-02  1.666670000E-01  4.796933289E-02  5.081251897E+02 
        84  4.117260000E-01 -5.757270000E-02  1.666670000E-01  5.915716425E-02  2.722745134E+02 
        85  4.528280000E-01 -5.566140000E-02  1.666670000E-01  6.028577401E-02  2.357183194E+02 
        86  1.650180000E-01 -5.486620000E-02  1.666670000E-01  4.160289443E-02  5.744223963E+02 
        87  4.939080000E-01 -5.332060000E-02  1.666670000E-01  6.139367572E-02  2.008858352E+02 
        88  5.349650000E-01 -5.060440000E-02  1.666670000E-01  6.250048135E-02  1.672384662E+02 
        89  1.241140000E-01 -5.043730000E-02  1.666670000E-01  3.083832425E-02  6.456084578E+02 
        90  5.759990000E-01 -4.755650000E-02  1.666670000E-01  6.364153840E-02  1.342866151E+02 
        91  6.170090000E-01 -4.421250000E-02  1.666670000E-01  6.485512058E-02  1.015297287E+02 
        92  8.351470000E-02 -4.379180000E-02  1.666670000E-01  1.492955664E-02  7.066674916E+02 
        93  6.579970000E-01 -4.059990000E-02  1.666670000E-01  6.614133455E-02  6.848527711E+01 
        94  5.488770000E-02 -3.697740000E-02  1.666670000E-01  7.861246785E-03  7.287676515E+02 
        95  6.989630000E-01 -3.673990000E-02  1.666670000E-01  6.749668421E-02  3.463627349E+01 
        96  7.399050000E-01 -3.264710000E-02  1.666670000E-01  6.892327186E-02 -5.722633235E-01 
        97  3.777470000E-02 -3.147510000E-02  1.666670000E-01  2.051477930E-02  6.899240455E+02 
        98  7.808250000E-01 -2.833060000E-02  1.666670000E-01  7.042928876E-02 -3.783562584E+01 
        99  2.634450000E-02 -2.677890000E-02  1.666670000E-01  4.224286679E-02  5.841833905E+02 
       100  8.217210000E-01 -2.379390000E-02  1.666670000E-01  7.211695176E-02 -7.803756625E+01 
       101  1.821900000E-02 -2.259850000E-02  1.666670000E-01  6.465938379E-02  4.045080162E+02 
       102  1.318260000E-02 -1.942040000E-02  1.666670000E-01  8.585806891E-02  1.647543496E+02 
       103  8.625920000E-01 -1.903530000E-02  1.666670000E-01  7.411310243E-02 -1.222235959E+02 
       104  9.850590000E-03 -1.691540000E-02  1.666670000E-01  1.045165647E-01 -1.031995989E+02 
       105  7.411530000E-03 -1.476420000E-02  1.666670000E-01  1.214073799E-01 -3.837968258E+02 
       106  9.034350000E-01 -1.404860000E-02  1.666670000E-01  7.625912052E-02 -1.693640867E+02 
       107  5.510960000E-03 -1.280140000E-02  1.666670000E-01  1.378704885E-01 -6.976176649E+02 
       108  3.983540000E-03 -1.093890000E-02  1.666670000E-01  1.551165431E-01 -1.082670306E+03 
       109  9.337850000E-01 -1.018640000E-02  1.666670000E-01  7.842772808E-02 -2.177021366E+02 
       110  2.745270000E-03 -9.124550000E-03  1.666670000E-01  1.729814762E-01 -1.528486889E+03 
       111  1.752850000E-03 -7.324960000E-03  1.666670000E-01  1.899655106E-01 -1.986026026E+03 
       112  9.641170000E-01 -6.185660000E-03  1.666670000E-01  8.146564489E-02 -2.716285895E+02 
       113  9.860190000E-04 -5.518970000E-03  1.666670000E-01  2.053477879E-01 -2.433819542E+03 
