nodenumber     x-coordinate     y-coordinate     z-coordinate      mach-number         pressure 
         1  2.883190000E-01 -5.998690000E-02  0.000000000E+00  1.910595808E-01  2.494754328E+03 
         2  3.294650000E-01 -5.982680000E-02  0.000000000E+00  1.937793694E-01  2.151300084E+03 
         3  2.471780000E-01 -5.933890000E-02  0.000000000E+00  1.865682529E-01  2.900288563E+03 
         4  3.706030000E-01 -5.898830000E-02  0.000000000E+00  1.956257532E-01  1.857487685E+03 
         5  2.060650000E-01 -5.771190000E-02  0.000000000E+00  1.792044476E-01  3.388648866E+03 
         6  4.117260000E-01 -5.757270000E-02  0.000000000E+00  1.971043860E-01  1.600005894E+03 
         7  4.528280000E-01 -5.566140000E-02  0.000000000E+00  1.983883978E-01  1.370034707E+03 
         8  1.650180000E-01 -5.486620000E-02  0.000000000E+00  1.659479335E-01  3.997594377E+03 
         9  4.939080000E-01 -5.332060000E-02  0.000000000E+00  1.995309294E-01  1.161823989E+03 
        10  5.349650000E-01 -5.060440000E-02  0.000000000E+00  2.006788776E-01  9.694390375E+02 
        11  1.241140000E-01 -5.043730000E-02  0.000000000E+00  1.398719517E-01  4.783246814E+03 
        12  5.759990000E-01 -4.755650000E-02  0.000000000E+00  2.019036509E-01  7.877784546E+02 
        13  6.170090000E-01 -4.421250000E-02  0.000000000E+00  2.032024069E-01  6.129247208E+02 
        14  8.351470000E-02 -4.379180000E-02  0.000000000E+00  9.825562562E-02  5.631232032E+03 
        15  6.579970000E-01 -4.059990000E-02  0.000000000E+00  2.045983688E-01  4.414118819E+02 
        16  5.488770000E-02 -3.697740000E-02  0.000000000E+00  4.697028296E-02  6.272292006E+03 
        17  6.989630000E-01 -3.673990000E-02  0.000000000E+00  2.061809840E-01  2.699266805E+02 
        18  7.399050000E-01 -3.264710000E-02  0.000000000E+00  2.080079864E-01  9.524468828E+01 
        19  3.777470000E-02 -3.147510000E-02  0.000000000E+00  2.221912601E-02  6.493757442E+03 
        20  7.808250000E-01 -2.833060000E-02  0.000000000E+00  2.100781741E-01 -8.682070296E+01 
        21  2.634450000E-02 -2.677890000E-02  0.000000000E+00  5.711082074E-02  6.158355462E+03 
        22  8.217210000E-01 -2.379390000E-02  0.000000000E+00  2.126077348E-01 -2.811865371E+02 
        23  1.821900000E-02 -2.259850000E-02  0.000000000E+00  1.228337851E-01  5.226369389E+03 
        24  1.318260000E-02 -1.942040000E-02  0.000000000E+00  1.869127527E-01  3.727435021E+03 
        25  8.625920000E-01 -1.903530000E-02  0.000000000E+00  2.158540232E-01 -4.929162794E+02 
        26  9.850590000E-03 -1.691540000E-02  0.000000000E+00  2.467951370E-01  1.781452291E+03 
        27  7.411530000E-03 -1.476420000E-02  0.000000000E+00  3.037400179E-01 -5.275435588E+02 
        28  9.034350000E-01 -1.404860000E-02  0.000000000E+00  2.194484874E-01 -7.192634584E+02 
        29  5.510960000E-03 -1.280140000E-02  0.000000000E+00  3.599328295E-01 -3.141799891E+03 
        30  3.983540000E-03 -1.093890000E-02  0.000000000E+00  4.189637374E-01 -6.220010612E+03 
        31  9.337850000E-01 -1.018640000E-02  0.000000000E+00  2.231628959E-01 -9.552274778E+02 
        32  2.745270000E-03 -9.124550000E-03  0.000000000E+00  4.842880085E-01 -1.012796526E+04 
        33  1.752850000E-03 -7.324960000E-03  0.000000000E+00  5.542386167E-01 -1.466055429E+04 
        34  9.641170000E-01 -6.185660000E-03  0.000000000E+00  2.290237666E-01 -1.225292337E+03 
        35  9.860190000E-04 -5.518970000E-03  0.000000000E+00  6.258681784E-01 -1.951151089E+04 
        36  4.384000000E-04 -3.696570000E-03  0.000000000E+00  6.995180099E-01 -2.473073245E+04 
        37  9.885790000E-01 -2.851310000E-03  0.000000000E+00  2.423453783E-01 -1.502383793E+03 
        38  1.095110000E-04 -1.855900000E-03  0.000000000E+00  7.751347474E-01 -3.021472070E+04 
        39  0.000000000E+00  0.000000000E+00  0.000000000E+00  8.513832508E-01 -3.575477037E+04 
        40  1.008950000E+00  0.000000000E+00  0.000000000E+00  1.924638075E-01 -2.028492175E+03 
        41  1.095110000E-04  1.855900000E-03  0.000000000E+00  9.276660666E-01 -4.099254794E+04 
        42  9.885790000E-01  2.851310000E-03  0.000000000E+00  3.517177107E-02 -2.217744169E+03 
        43  4.384000000E-04  3.696570000E-03  0.000000000E+00  9.925777752E-01 -4.552648067E+04 
        44  9.860190000E-04  5.518970000E-03  0.000000000E+00  1.041904187E+00 -4.952348905E+04 
        45  9.641170000E-01  6.185660000E-03  0.000000000E+00  3.327531434E-02 -2.060195976E+03 
        46  1.752850000E-03  7.324960000E-03  0.000000000E+00  1.086409514E+00 -5.322561509E+04 
        47  2.745270000E-03  9.124550000E-03  0.000000000E+00  1.127903591E+00 -5.651712883E+04 
        48  9.337850000E-01  1.018640000E-02  0.000000000E+00  5.116656892E-02 -2.171650756E+03 
        49  3.983540000E-03  1.093890000E-02  0.000000000E+00  1.158584103E+00 -5.895360369E+04 
        50  5.510960000E-03  1.280140000E-02  0.000000000E+00  1.160137341E+00 -5.927740567E+04 
        51  9.034350000E-01  1.404860000E-02  0.000000000E+00  5.319529818E-02 -2.243150270E+03 
        52  7.411530000E-03  1.476420000E-02  0.000000000E+00  1.023390585E+00 -5.033837266E+04 
        53  9.850590000E-03  1.691540000E-02  0.000000000E+00  8.568699528E-01 -4.091775208E+04 
        54  8.625920000E-01  1.903530000E-02  0.000000000E+00  5.080985661E-02 -2.277482991E+03 
        55  1.318260000E-02  1.942040000E-02  0.000000000E+00  7.786903550E-01 -3.829517092E+04 
        56  1.821900000E-02  2.259850000E-02  0.000000000E+00  6.846883955E-01 -3.391402224E+04 
        57  8.217210000E-01  2.379390000E-02  0.000000000E+00  4.797734746E-02 -2.292380877E+03 
        58  2.634450000E-02  2.677890000E-02  0.000000000E+00  5.760567728E-01 -2.844827851E+04 
        59  7.808250000E-01  2.833060000E-02  0.000000000E+00  4.592688687E-02 -2.308219428E+03 
        60  3.777470000E-02  3.147510000E-02  0.000000000E+00  4.710016594E-01 -2.350355340E+04 
        61  7.399050000E-01  3.264710000E-02  0.000000000E+00  4.485776452E-02 -2.329378458E+03 
        62  6.989630000E-01  3.673990000E-02  0.000000000E+00  4.451810756E-02 -2.356700186E+03 
        63  5.488770000E-02  3.697740000E-02  0.000000000E+00  3.672374980E-01 -1.895979333E+04 
        64  6.579970000E-01  4.059990000E-02  0.000000000E+00  4.455083647E-02 -2.390251471E+03 
        65  8.351470000E-02  4.379180000E-02  0.000000000E+00  2.654446137E-01 -1.453256007E+04 
        66  6.170090000E-01  4.421250000E-02  0.000000000E+00  4.464645227E-02 -2.431390843E+03 
        67  5.759990000E-01  4.755650000E-02  0.000000000E+00  4.444250405E-02 -2.481563181E+03 
        68  1.241140000E-01  5.043730000E-02  0.000000000E+00  1.777788912E-01 -1.073941663E+04 
        69  5.349650000E-01  5.060440000E-02  0.000000000E+00  4.378671477E-02 -2.542646994E+03 
        70  4.939080000E-01  5.332060000E-02  0.000000000E+00  4.267530606E-02 -2.620455079E+03 
        71  1.650180000E-01  5.486620000E-02  0.000000000E+00  1.148698411E-01 -8.084440933E+03 
        72  4.528280000E-01  5.566140000E-02  0.000000000E+00  4.075663847E-02 -2.726336507E+03 
        73  4.117260000E-01  5.757270000E-02  0.000000000E+00  3.717655858E-02 -2.877041552E+03 
        74  2.060650000E-01  5.771190000E-02  0.000000000E+00  7.083703010E-02 -6.235040827E+03 
        75  3.706030000E-01  5.898830000E-02  0.000000000E+00  3.030508629E-02 -3.097294419E+03 
        76  2.471780000E-01  5.933890000E-02  0.000000000E+00  3.573542092E-02 -4.891782727E+03 
        77  3.294650000E-01  5.982680000E-02  0.000000000E+00  1.671324413E-02 -3.434875081E+03 
        78  2.883190000E-01  5.998690000E-02  0.000000000E+00  1.360100780E-02 -3.989764371E+03 
        79  2.883190000E-01 -5.998690000E-02  1.666670000E-01  1.910595805E-01  2.494754353E+03 
        80  3.294650000E-01 -5.982680000E-02  1.666670000E-01  1.937793695E-01  2.151300066E+03 
        81  2.471780000E-01 -5.933890000E-02  1.666670000E-01  1.865682518E-01  2.900288643E+03 
        82  3.706030000E-01 -5.898830000E-02  1.666670000E-01  1.956257531E-01  1.857487702E+03 
        83  2.060650000E-01 -5.771190000E-02  1.666670000E-01  1.792044457E-01  3.388648977E+03 
        84  4.117260000E-01 -5.757270000E-02  1.666670000E-01  1.971043858E-01  1.600005926E+03 
        85  4.528280000E-01 -5.566140000E-02  1.666670000E-01  1.983883977E-01  1.370034734E+03 
        86  1.650180000E-01 -5.486620000E-02  1.666670000E-01  1.659479262E-01  3.997594661E+03 
        87  4.939080000E-01 -5.332060000E-02  1.666670000E-01  1.995309294E-01  1.161823992E+03 
        88  5.349650000E-01 -5.060440000E-02  1.666670000E-01  2.006788777E-01  9.694390447E+02 
        89  1.241140000E-01 -5.043730000E-02  1.666670000E-01  1.398719328E-01  4.783247297E+03 
        90  5.759990000E-01 -4.755650000E-02  1.666670000E-01  2.019036511E-01  7.877784567E+02 
        91  6.170090000E-01 -4.421250000E-02  1.666670000E-01  2.032024072E-01  6.129247095E+02 
