nodenumber     x-coordinate     y-coordinate     z-coordinate      mach-number         pressure 
         1  2.883190000E-01 -5.998690000E-02  0.000000000E+00  2.314018296E-01 -1.089023973E+03 
         2  3.294650000E-01 -5.982680000E-02  0.000000000E+00  2.255558033E-01 -1.065097031E+03 
         3  2.471780000E-01 -5.933890000E-02  0.000000000E+00  2.386545969E-01 -1.076777909E+03 
         4  3.706030000E-01 -5.898830000E-02  0.000000000E+00  2.205056282E-01 -1.017646483E+03 
         5  2.060650000E-01 -5.771190000E-02  0.000000000E+00  2.478262698E-01 -1.013893016E+03 
         6  4.117260000E-01 -5.757270000E-02  0.000000000E+00  2.159022418E-01 -9.559497187E+02 
         7  4.528280000E-01 -5.566140000E-02  0.000000000E+00  2.114687173E-01 -8.844790843E+02 
         8  1.650180000E-01 -5.486620000E-02  0.000000000E+00  2.582374633E-01 -8.728580626E+02 
         9  4.939080000E-01 -5.332060000E-02  0.000000000E+00  2.071329072E-01 -8.062974075E+02 
        10  5.349650000E-01 -5.060440000E-02  0.000000000E+00  2.029949223E-01 -7.231448636E+02 
        11  1.241140000E-01 -5.043730000E-02  0.000000000E+00  2.657738446E-01 -5.795310970E+02 
        12  5.759990000E-01 -4.755650000E-02  0.000000000E+00  1.991032120E-01 -6.362813788E+02 
        13  6.170090000E-01 -4.421250000E-02  0.000000000E+00  1.954019994E-01 -5.458978770E+02 
        14  8.351470000E-02 -4.379180000E-02  0.000000000E+00  2.667302583E-01 -8.533952948E+01 
        15  6.579970000E-01 -4.059990000E-02  0.000000000E+00  1.918206639E-01 -4.513810919E+02 
        16  5.488770000E-02 -3.697740000E-02  0.000000000E+00  2.641938179E-01  5.564782500E+02 
        17  6.989630000E-01 -3.673990000E-02  0.000000000E+00  1.883039613E-01 -3.518254988E+02 
        18  7.399050000E-01 -3.264710000E-02  0.000000000E+00  1.847222052E-01 -2.451849750E+02 
        19  3.777470000E-02 -3.147510000E-02  0.000000000E+00  2.530497945E-01  1.383662389E+03 
        20  7.808250000E-01 -2.833060000E-02  0.000000000E+00  1.808392978E-01 -1.282723987E+02 
        21  2.634450000E-02 -2.677890000E-02  0.000000000E+00  2.292085151E-01  2.385510476E+03 
        22  8.217210000E-01 -2.379390000E-02  0.000000000E+00  1.764883385E-01  4.518444173E+00 
        23  1.821900000E-02 -2.259850000E-02  0.000000000E+00  2.016746685E-01  3.368308166E+03 
        24  1.318260000E-02 -1.942040000E-02  0.000000000E+00  1.763492725E-01  4.157387292E+03 
        25  8.625920000E-01 -1.903530000E-02  0.000000000E+00  1.713482012E-01  1.622224105E+02 
        26  9.850590000E-03 -1.691540000E-02  0.000000000E+00  1.526064715E-01  4.758185598E+03 
        27  7.411530000E-03 -1.476420000E-02  0.000000000E+00  1.273208365E-01  5.296406259E+03 
        28  9.034350000E-01 -1.404860000E-02  0.000000000E+00  1.651110861E-01  3.427872827E+02 
        29  5.510960000E-03 -1.280140000E-02  0.000000000E+00  9.888942493E-02  5.791453313E+03 
        30  3.983540000E-03 -1.093890000E-02  0.000000000E+00  6.742456995E-02  6.189504525E+03 
        31  9.337850000E-01 -1.018640000E-02  0.000000000E+00  1.576526056E-01  5.429803132E+02 
        32  2.745270000E-03 -9.124550000E-03  0.000000000E+00  3.436395618E-02  6.452037463E+03 
        33  1.752850000E-03 -7.324960000E-03  0.000000000E+00  2.036600587E-02  6.529998450E+03 
        34  9.641170000E-01 -6.185660000E-03  0.000000000E+00  1.488075982E-01  7.847962042E+02 
        35  9.860190000E-04 -5.518970000E-03  0.000000000E+00  4.372098520E-02  6.363404927E+03 
        36  4.384000000E-04 -3.696570000E-03  0.000000000E+00  8.598886657E-02  5.925335190E+03 
        37  9.885790000E-01 -2.851310000E-03  0.000000000E+00  1.367748641E-01  1.062341978E+03 
        38  1.095110000E-04 -1.855900000E-03  0.000000000E+00  1.296213789E-01  5.195944231E+03 
        39  0.000000000E+00  0.000000000E+00  0.000000000E+00  1.731565241E-01  4.184531978E+03 
        40  1.008950000E+00  0.000000000E+00  0.000000000E+00  1.150654039E-01  1.292527424E+03 
        41  1.095110000E-04  1.855900000E-03  0.000000000E+00  2.148895325E-01  2.963260044E+03 
        42  9.885790000E-01  2.851310000E-03  0.000000000E+00  1.048387390E-01  1.039513539E+03 
        43  4.384000000E-04  3.696570000E-03  0.000000000E+00  2.528557450E-01  1.641866708E+03 
        44  9.860190000E-04  5.518970000E-03  0.000000000E+00  2.854253976E-01  4.194697750E+02 
        45  9.641170000E-01  6.185660000E-03  0.000000000E+00  1.194344433E-01  7.237656151E+02 
        46  1.752850000E-03  7.324960000E-03  0.000000000E+00  3.114804866E-01 -6.695875606E+02 
        47  2.745270000E-03  9.124550000E-03  0.000000000E+00  3.324032488E-01 -1.746587352E+03 
        48  9.337850000E-01  1.018640000E-02  0.000000000E+00  1.323615965E-01  4.110939900E+02 
        49  3.983540000E-03  1.093890000E-02  0.000000000E+00  3.512825362E-01 -2.812126991E+03 
        50  5.510960000E-03  1.280140000E-02  0.000000000E+00  3.688097154E-01 -3.811429317E+03 
        51  9.034350000E-01  1.404860000E-02  0.000000000E+00  1.433347156E-01  1.194960823E+02 
        52  7.411530000E-03  1.476420000E-02  0.000000000E+00  3.845017271E-01 -4.703969087E+03 
        53  9.850590000E-03  1.691540000E-02  0.000000000E+00  3.985801062E-01 -5.485757145E+03 
        54  8.625920000E-01  1.903530000E-02  0.000000000E+00  1.527554635E-01 -1.661068765E+02 
        55  1.318260000E-02  1.942040000E-02  0.000000000E+00  4.113503917E-01 -6.168983810E+03 
        56  1.821900000E-02  2.259850000E-02  0.000000000E+00  4.156076193E-01 -6.762244306E+03 
        57  8.217210000E-01  2.379390000E-02  0.000000000E+00  1.606659886E-01 -4.321443833E+02 
        58  2.634450000E-02  2.677890000E-02  0.000000000E+00  4.032111818E-01 -6.758665089E+03 
        59  7.808250000E-01  2.833060000E-02  0.000000000E+00  1.673506277E-01 -6.724953416E+02 
        60  3.777470000E-02  3.147510000E-02  0.000000000E+00  3.825619847E-01 -6.360321328E+03 
        61  7.399050000E-01  3.264710000E-02  0.000000000E+00  1.733020644E-01 -8.969805612E+02 
        62  6.989630000E-01  3.673990000E-02  0.000000000E+00  1.787557224E-01 -1.113148343E+03 
        63  5.488770000E-02  3.697740000E-02  0.000000000E+00  3.614630799E-01 -6.048295302E+03 
        64  6.579970000E-01  4.059990000E-02  0.000000000E+00  1.839547751E-01 -1.325823251E+03 
        65  8.351470000E-02  4.379180000E-02  0.000000000E+00  3.394635407E-01 -5.608509901E+03 
        66  6.170090000E-01  4.421250000E-02  0.000000000E+00  1.890692100E-01 -1.539180774E+03 
        67  5.759990000E-01  4.755650000E-02  0.000000000E+00  1.942458573E-01 -1.756441313E+03 
        68  1.241140000E-01  5.043730000E-02  0.000000000E+00  3.164284503E-01 -5.094840572E+03 
        69  5.349650000E-01  5.060440000E-02  0.000000000E+00  1.996562892E-01 -1.980141220E+03 
        70  4.939080000E-01  5.332060000E-02  0.000000000E+00  2.054857843E-01 -2.212206962E+03 
        71  1.650180000E-01  5.486620000E-02  0.000000000E+00  2.928096035E-01 -4.626735276E+03 
        72  4.528280000E-01  5.566140000E-02  0.000000000E+00  2.118428107E-01 -2.454573720E+03 
        73  4.117260000E-01  5.757270000E-02  0.000000000E+00  2.187539461E-01 -2.709307766E+03 
        74  2.060650000E-01  5.771190000E-02  0.000000000E+00  2.723340425E-01 -4.241076800E+03 
        75  3.706030000E-01  5.898830000E-02  0.000000000E+00  2.263259868E-01 -2.977793227E+03 
        76  2.471780000E-01  5.933890000E-02  0.000000000E+00  2.567183827E-01 -3.891039488E+03 
        77  3.294650000E-01  5.982680000E-02  0.000000000E+00  2.347974354E-01 -3.262576246E+03 
        78  2.883190000E-01  5.998690000E-02  0.000000000E+00  2.446501108E-01 -3.566207175E+03 
        79  2.883190000E-01 -5.998690000E-02  1.666670000E-01  2.314018301E-01 -1.089023973E+03 
        80  3.294650000E-01 -5.982680000E-02  1.666670000E-01  2.255558030E-01 -1.065097029E+03 
        81  2.471780000E-01 -5.933890000E-02  1.666670000E-01  2.386545984E-01 -1.076777903E+03 
        82  3.706030000E-01 -5.898830000E-02  1.666670000E-01  2.205056286E-01 -1.017646487E+03 
        83  2.060650000E-01 -5.771190000E-02  1.666670000E-01  2.478262720E-01 -1.013892996E+03 
        84  4.117260000E-01 -5.757270000E-02  1.666670000E-01  2.159022425E-01 -9.559497284E+02 
        85  4.528280000E-01 -5.566140000E-02  1.666670000E-01  2.114687179E-01 -8.844790948E+02 
        86  1.650180000E-01 -5.486620000E-02  1.666670000E-01  2.582374678E-01 -8.728579823E+02 
        87  4.939080000E-01 -5.332060000E-02  1.666670000E-01  2.071329074E-01 -8.062974105E+02 
        88  5.349650000E-01 -5.060440000E-02  1.666670000E-01  2.029949226E-01 -7.231448698E+02 
        89  1.241140000E-01 -5.043730000E-02  1.666670000E-01  2.657738470E-01 -5.795308793E+02 
        90  5.759990000E-01 -4.755650000E-02  1.666670000E-01  1.991032122E-01 -6.362813846E+02 
        91  6.170090000E-01 -4.421250000E-02  1.666670000E-01  1.954019994E-01 -5.458978791E+02 
        92  8.351470000E-02 -4.379180000E-02  1.666670000E-01  2.667302564E-01 -8.533907926E+01 
        93  6.579970000E-01 -4.059990000E-02  1.666670000E-01  1.918206639E-01 -4.513810921E+02 
        94  5.488770000E-02 -3.697740000E-02  1.666670000E-01  2.641938158E-01  5.564788027E+02 
        95  6.989630000E-01 -3.673990000E-02  1.666670000E-01  1.883039610E-01 -3.518254904E+02 
        96  7.399050000E-01 -3.264710000E-02  1.666670000E-01  1.847222053E-01 -2.451849758E+02 
        97  3.777470000E-02 -3.147510000E-02  1.666670000E-01  2.530497824E-01  1.383662983E+03 
        98  7.808250000E-01 -2.833060000E-02  1.666670000E-01  1.808392975E-01 -1.282723883E+02 
        99  2.634450000E-02 -2.677890000E-02  1.666670000E-01  2.292085077E-01  2.385510751E+03 
       100  8.217210000E-01 -2.379390000E-02  1.666670000E-01  1.764883378E-01  4.518468574E+00 
       101  1.821900000E-02 -2.259850000E-02  1.666670000E-01  2.016746626E-01  3.368308368E+03 
       102  1.318260000E-02 -1.942040000E-02  1.666670000E-01  1.763492551E-01  4.157387777E+03 
       103  8.625920000E-01 -1.903530000E-02  1.666670000E-01  1.713482011E-01  1.622224157E+02 
       104  9.850590000E-03 -1.691540000E-02  1.666670000E-01  1.526064451E-01  4.758186200E+03 
       105  7.411530000E-03 -1.476420000E-02  1.666670000E-01  1.273208056E-01  5.296406878E+03 
       106  9.034350000E-01 -1.404860000E-02  1.666670000E-01  1.651110857E-01  3.427872947E+02 
       107  5.510960000E-03 -1.280140000E-02  1.666670000E-01  9.888939301E-02  5.791453796E+03 
