nodenumber     x-coordinate     y-coordinate     z-coordinate      mach-number         pressure 
         1  2.883190000E-01 -5.998690000E-02  0.000000000E+00  1.153216271E-01  1.114826536E+03 
         2  3.294650000E-01 -5.982680000E-02  0.000000000E+00  1.163035959E-01  9.375016554E+02 
         3  2.471780000E-01 -5.933890000E-02  0.000000000E+00  1.130579950E-01  1.351825757E+03 
         4  3.706030000E-01 -5.898830000E-02  0.000000000E+00  1.151724806E-01  8.041379861E+02 
         5  2.060650000E-01 -5.771190000E-02  0.000000000E+00  1.133924012E-01  1.683813803E+03 
         6  4.117260000E-01 -5.757270000E-02  0.000000000E+00  1.140173988E-01  7.031841541E+02 
         7  4.528280000E-01 -5.566140000E-02  0.000000000E+00  1.127894047E-01  6.274783371E+02 
         8  1.650180000E-01 -5.486620000E-02  0.000000000E+00  1.179788600E-01  2.140811177E+03 
         9  4.939080000E-01 -5.332060000E-02  0.000000000E+00  1.114477327E-01  5.706697148E+02 
        10  5.349650000E-01 -5.060440000E-02  0.000000000E+00  1.100441725E-01  5.299925554E+02 
        11  1.241140000E-01 -5.043730000E-02  0.000000000E+00  1.185811899E-01  2.815917718E+03 
        12  5.759990000E-01 -4.755650000E-02  0.000000000E+00  1.081500710E-01  4.986000298E+02 
        13  6.170090000E-01 -4.421250000E-02  0.000000000E+00  1.082968705E-01  4.794780604E+02 
        14  8.351470000E-02 -4.379180000E-02  0.000000000E+00  1.063910502E-01  3.733992699E+03 
        15  6.579970000E-01 -4.059990000E-02  0.000000000E+00  1.085983387E-01  4.677589730E+02 
        16  5.488770000E-02 -3.697740000E-02  0.000000000E+00  8.835661642E-02  4.704043077E+03 
        17  6.989630000E-01 -3.673990000E-02  0.000000000E+00  1.069000722E-01  4.635433296E+02 
        18  7.399050000E-01 -3.264710000E-02  0.000000000E+00  1.039883769E-01  4.652428927E+02 
        19  3.777470000E-02 -3.147510000E-02  0.000000000E+00  6.967522107E-02  5.541813980E+03 
        20  7.808250000E-01 -2.833060000E-02  0.000000000E+00  1.048642817E-01  4.790779799E+02 
        21  2.634450000E-02 -2.677890000E-02  0.000000000E+00  4.508770274E-02  6.174461776E+03 
        22  8.217210000E-01 -2.379390000E-02  0.000000000E+00  1.074205693E-01  5.100011582E+02 
        23  1.821900000E-02 -2.259850000E-02  0.000000000E+00  1.675989429E-02  6.516840785E+03 
        24  1.318260000E-02 -1.942040000E-02  0.000000000E+00  2.217435363E-02  6.502178874E+03 
        25  8.625920000E-01 -1.903530000E-02  0.000000000E+00  1.055095973E-01  5.508516385E+02 
        26  9.850590000E-03 -1.691540000E-02  0.000000000E+00  6.060353232E-02  6.162248831E+03 
        27  7.411530000E-03 -1.476420000E-02  0.000000000E+00  1.002606477E-01  5.525981584E+03 
        28  9.034350000E-01 -1.404860000E-02  0.000000000E+00  1.017607586E-01  6.149504872E+02 
        29  5.510960000E-03 -1.280140000E-02  0.000000000E+00  1.406321606E-01  4.593350391E+03 
        30  3.983540000E-03 -1.093890000E-02  0.000000000E+00  1.825193386E-01  3.323433651E+03 
        31  9.337850000E-01 -1.018640000E-02  0.000000000E+00  9.739059586E-02  6.946440185E+02 
        32  2.745270000E-03 -9.124550000E-03  0.000000000E+00  2.264453561E-01  1.617565030E+03 
        33  1.752850000E-03 -7.324960000E-03  0.000000000E+00  2.734088185E-01 -5.646841147E+02 
        34  9.641170000E-01 -6.185660000E-03  0.000000000E+00  9.693457419E-02  8.122196462E+02 
        35  9.860190000E-04 -5.518970000E-03  0.000000000E+00  3.236522407E-01 -3.328216795E+03 
        36  4.384000000E-04 -3.696570000E-03  0.000000000E+00  3.721724058E-01 -6.617787500E+03 
        37  9.885790000E-01 -2.851310000E-03  0.000000000E+00  9.883555675E-02  9.862503834E+02 
        38  1.095110000E-04 -1.855900000E-03  0.000000000E+00  4.138456416E-01 -1.014520322E+04 
        39  0.000000000E+00  0.000000000E+00  0.000000000E+00  4.502250821E-01 -1.378219503E+04 
        40  1.008950000E+00  0.000000000E+00  0.000000000E+00  1.030799044E-01  1.139738516E+03 
        41  1.095110000E-04  1.855900000E-03  0.000000000E+00  4.833977012E-01 -1.740831593E+04 
        42  9.885790000E-01  2.851310000E-03  0.000000000E+00  3.957995640E-02  8.886288027E+02 
        43  4.384000000E-04  3.696570000E-03  0.000000000E+00  5.109314154E-01 -2.075221384E+04 
        44  9.860190000E-04  5.518970000E-03  0.000000000E+00  5.296226008E-01 -2.358926546E+04 
        45  9.641170000E-01  6.185660000E-03  0.000000000E+00  3.192222407E-02  6.513348908E+02 
        46  1.752850000E-03  7.324960000E-03  0.000000000E+00  5.368239663E-01 -2.570801745E+04 
        47  2.745270000E-03  9.124550000E-03  0.000000000E+00  5.311118305E-01 -2.697657971E+04 
        48  9.337850000E-01  1.018640000E-02  0.000000000E+00  3.776380133E-02  3.643147151E+02 
        49  3.983540000E-03  1.093890000E-02  0.000000000E+00  5.135603212E-01 -2.746664817E+04 
        50  5.510960000E-03  1.280140000E-02  0.000000000E+00  4.851406806E-01 -2.730883916E+04 
        51  9.034350000E-01  1.404860000E-02  0.000000000E+00  4.842493836E-02  5.311403422E+01 
        52  7.411530000E-03  1.476420000E-02  0.000000000E+00  4.463432100E-01 -2.665352170E+04 
        53  9.850590000E-03  1.691540000E-02  0.000000000E+00  3.978075710E-01 -2.560295369E+04 
        54  8.625920000E-01  1.903530000E-02  0.000000000E+00  5.888842634E-02 -2.969446111E+02 
        55  1.318260000E-02  1.942040000E-02  0.000000000E+00  3.461621796E-01 -2.414976183E+04 
        56  1.821900000E-02  2.259850000E-02  0.000000000E+00  3.037168163E-01 -2.219625600E+04 
        57  8.217210000E-01  2.379390000E-02  0.000000000E+00  6.760782660E-02 -6.474175363E+02 
        58  2.634450000E-02  2.677890000E-02  0.000000000E+00  2.707055560E-01 -1.982423478E+04 
        59  7.808250000E-01  2.833060000E-02  0.000000000E+00  7.145404509E-02 -9.926690760E+02 
        60  3.777470000E-02  3.147510000E-02  0.000000000E+00  2.371667482E-01 -1.739093805E+04 
        61  7.399050000E-01  3.264710000E-02  0.000000000E+00  7.540642767E-02 -1.321480446E+03 
        62  6.989630000E-01  3.673990000E-02  0.000000000E+00  8.159692317E-02 -1.646684845E+03 
        63  5.488770000E-02  3.697740000E-02  0.000000000E+00  2.109270253E-01 -1.498935887E+04 
        64  6.579970000E-01  4.059990000E-02  0.000000000E+00  8.680851373E-02 -1.978127403E+03 
        65  8.351470000E-02  4.379180000E-02  0.000000000E+00  1.962435710E-01 -1.248222949E+04 
        66  6.170090000E-01  4.421250000E-02  0.000000000E+00  8.974139984E-02 -2.321056391E+03 
        67  5.759990000E-01  4.755650000E-02  0.000000000E+00  9.226201524E-02 -2.676695889E+03 
        68  1.241140000E-01  5.043730000E-02  0.000000000E+00  1.826813076E-01 -1.028499318E+04 
        69  5.349650000E-01  5.060440000E-02  0.000000000E+00  9.783082628E-02 -3.042829295E+03 
        70  4.939080000E-01  5.332060000E-02  0.000000000E+00  1.024119863E-01 -3.439923103E+03 
        71  1.650180000E-01  5.486620000E-02  0.000000000E+00  1.631082147E-01 -8.751023600E+03 
        72  4.528280000E-01  5.566140000E-02  0.000000000E+00  1.070611208E-01 -3.865702445E+03 
        73  4.117260000E-01  5.757270000E-02  0.000000000E+00  1.132030935E-01 -4.326016268E+03 
        74  2.060650000E-01  5.771190000E-02  0.000000000E+00  1.438893688E-01 -7.651942198E+03 
        75  3.706030000E-01  5.898830000E-02  0.000000000E+00  1.190024189E-01 -4.834252259E+03 
        76  2.471780000E-01  5.933890000E-02  0.000000000E+00  1.338210652E-01 -6.784805988E+03 
        77  3.294650000E-01  5.982680000E-02  0.000000000E+00  1.249531101E-01 -5.399250498E+03 
        78  2.883190000E-01  5.998690000E-02  0.000000000E+00  1.295755260E-01 -6.040856035E+03 
        79  2.883190000E-01 -5.998690000E-02  1.666670000E-01  1.153216263E-01  1.114826582E+03 
        80  3.294650000E-01 -5.982680000E-02  1.666670000E-01  1.163035965E-01  9.375017062E+02 
        81  2.471780000E-01 -5.933890000E-02  1.666670000E-01  1.130579950E-01  1.351825766E+03 
        82  3.706030000E-01 -5.898830000E-02  1.666670000E-01  1.151724808E-01  8.041380427E+02 
        83  2.060650000E-01 -5.771190000E-02  1.666670000E-01  1.133923993E-01  1.683813319E+03 
        84  4.117260000E-01 -5.757270000E-02  1.666670000E-01  1.140173974E-01  7.031840799E+02 
        85  4.528280000E-01 -5.566140000E-02  1.666670000E-01  1.127894045E-01  6.274783169E+02 
        86  1.650180000E-01 -5.486620000E-02  1.666670000E-01  1.179788648E-01  2.140811503E+03 
        87  4.939080000E-01 -5.332060000E-02  1.666670000E-01  1.114477345E-01  5.706697636E+02 
        88  5.349650000E-01 -5.060440000E-02  1.666670000E-01  1.100441723E-01  5.299925484E+02 
        89  1.241140000E-01 -5.043730000E-02  1.666670000E-01  1.185811897E-01  2.815917750E+03 
        90  5.759990000E-01 -4.755650000E-02  1.666670000E-01  1.081500726E-01  4.986000496E+02 
        91  6.170090000E-01 -4.421250000E-02  1.666670000E-01  1.082968694E-01  4.794780613E+02 
        92  8.351470000E-02 -4.379180000E-02  1.666670000E-01  1.063910666E-01  3.733991772E+03 
        93  6.579970000E-01 -4.059990000E-02  1.666670000E-01  1.085983391E-01  4.677589765E+02 
        94  5.488770000E-02 -3.697740000E-02  1.666670000E-01  8.835661067E-02  4.704043371E+03 
        95  6.989630000E-01 -3.673990000E-02  1.666670000E-01  1.069000715E-01  4.635433417E+02 
        96  7.399050000E-01 -3.264710000E-02  1.666670000E-01  1.039883714E-01  4.652428827E+02 
        97  3.777470000E-02 -3.147510000E-02  1.666670000E-01  6.967522685E-02  5.541813755E+03 
        98  7.808250000E-01 -2.833060000E-02  1.666670000E-01  1.048642765E-01  4.790779516E+02 
        99  2.634450000E-02 -2.677890000E-02  1.666670000E-01  4.508770927E-02  6.174461662E+03 
       100  8.217210000E-01 -2.379390000E-02  1.666670000E-01  1.074205690E-01  5.100011626E+02 
       101  1.821900000E-02 -2.259850000E-02  1.666670000E-01  1.675989765E-02  6.516840764E+03 
       102  1.318260000E-02 -1.942040000E-02  1.666670000E-01  2.217435733E-02  6.502178855E+03 
       103  8.625920000E-01 -1.903530000E-02  1.666670000E-01  1.055095968E-01  5.508516516E+02 
       104  9.850590000E-03 -1.691540000E-02  1.666670000E-01  6.060353881E-02  6.162248750E+03 
       105  7.411530000E-03 -1.476420000E-02  1.666670000E-01  1.002606518E-01  5.525981504E+03 
       106  9.034350000E-01 -1.404860000E-02  1.666670000E-01  1.017607562E-01  6.149505175E+02 
       107  5.510960000E-03 -1.280140000E-02  1.666670000E-01  1.406321626E-01  4.593350338E+03 
       108  3.983540000E-03 -1.093890000E-02  1.666670000E-01  1.825193391E-01  3.323433634E+03 
       109  9.337850000E-01 -1.018640000E-02  1.666670000E-01  9.739059639E-02  6.946440048E+02 
       110  2.745270000E-03 -9.124550000E-03  1.666670000E-01  2.264453552E-01  1.617565068E+03 
       111  1.752850000E-03 -7.324960000E-03  1.666670000E-01  2.734088164E-01 -5.646840118E+02 
       112  9.641170000E-01 -6.185660000E-03  1.666670000E-01  9.693457275E-02  8.122195603E+02 
       113  9.860190000E-04 -5.518970000E-03  1.666670000E-01  3.236522381E-01 -3.328216636E+03 
       114  4.384000000E-04 -3.696570000E-03  1.666670000E-01  3.721724038E-01 -6.617787349E+03 
       115  9.885790000E-01 -2.851310000E-03  1.666670000E-01  9.883555854E-02  9.862506505E+02 
       116  1.095110000E-04 -1.855900000E-03  1.666670000E-01  4.138456406E-01 -1.014520313E+04 
       117  0.000000000E+00  0.000000000E+00  1.666670000E-01  4.502250821E-01 -1.378219503E+04 
       118  1.008950000E+00  0.000000000E+00  1.666670000E-01  7.394542447E-02  1.035970710E+03 
       119  1.095110000E-04  1.855900000E-03  1.666670000E-01  4.833977020E-01 -1.740831602E+04 
       120  9.885790000E-01  2.851310000E-03  1.666670000E-01  3.957997968E-02  8.886290568E+02 
       121  4.384000000E-04  3.696570000E-03  1.666670000E-01  5.109314164E-01 -2.075221398E+04 
       122  9.860190000E-04  5.518970000E-03  1.666670000E-01  5.296226015E-01 -2.358926559E+04 
       123  9.641170000E-01  6.185660000E-03  1.666670000E-01  3.192222541E-02  6.513347247E+02 
       124  1.752850000E-03  7.324960000E-03  1.666670000E-01  5.368239663E-01 -2.570801752E+04 
       125  2.745270000E-03  9.124550000E-03  1.666670000E-01  5.311118302E-01 -2.697657972E+04 
       126  9.337850000E-01  1.018640000E-02  1.666670000E-01  3.776380270E-02  3.643146708E+02 
       127  3.983540000E-03  1.093890000E-02  1.666670000E-01  5.135603214E-01 -2.746664816E+04 
       128  5.510960000E-03  1.280140000E-02  1.666670000E-01  4.851406822E-01 -2.730883918E+04 
       129  9.034350000E-01  1.404860000E-02  1.666670000E-01  4.842493312E-02  5.311417769E+01 
       130  7.411530000E-03  1.476420000E-02  1.666670000E-01  4.463432145E-01 -2.665352179E+04 
       131  9.850590000E-03  1.691540000E-02  1.666670000E-01  3.978075798E-01 -2.560295389E+04 
       132  8.625920000E-01  1.903530000E-02  1.666670000E-01  5.888842427E-02 -2.969445266E+02 
       133  1.318260000E-02  1.942040000E-02  1.666670000E-01  3.461621845E-01 -2.414976200E+04 
       134  1.821900000E-02  2.259850000E-02  1.666670000E-01  3.037168119E-01 -2.219625572E+04 
       135  8.217210000E-01  2.379390000E-02  1.666670000E-01  6.760782503E-02 -6.474174767E+02 
       136  2.634450000E-02  2.677890000E-02  1.666670000E-01  2.707055493E-01 -1.982423424E+04 
       137  7.808250000E-01  2.833060000E-02  1.666670000E-01  7.145404431E-02 -9.926693463E+02 
       138  3.777470000E-02  3.147510000E-02  1.666670000E-01  2.371667372E-01 -1.739093734E+04 
       139  7.399050000E-01  3.264710000E-02  1.666670000E-01  7.540641809E-02 -1.321480119E+03 
       140  6.989630000E-01  3.673990000E-02  1.666670000E-01  8.159691980E-02 -1.646684513E+03 
       141  5.488770000E-02  3.697740000E-02  1.666670000E-01  2.109270305E-01 -1.498935964E+04 
       142  6.579970000E-01  4.059990000E-02  1.666670000E-01  8.680851487E-02 -1.978127456E+03 
       143  8.351470000E-02  4.379180000E-02  1.666670000E-01  1.962435591E-01 -1.248222713E+04 
       144  6.170090000E-01  4.421250000E-02  1.666670000E-01  8.974139945E-02 -2.321056520E+03 
       145  5.759990000E-01  4.755650000E-02  1.666670000E-01  9.226201858E-02 -2.676696078E+03 
       146  1.241140000E-01  5.043730000E-02  1.666670000E-01  1.826813081E-01 -1.028499325E+04 
       147  5.349650000E-01  5.060440000E-02  1.666670000E-01  9.783082496E-02 -3.042829193E+03 
       148  4.939080000E-01  5.332060000E-02  1.666670000E-01  1.024119899E-01 -3.439923465E+03 
       149  1.650180000E-01  5.486620000E-02  1.666670000E-01  1.631082302E-01 -8.751024378E+03 
       150  4.528280000E-01  5.566140000E-02  1.666670000E-01  1.070611191E-01 -3.865702293E+03 
       151  4.117260000E-01  5.757270000E-02  1.666670000E-01  1.132030878E-01 -4.326015888E+03 
       152  2.060650000E-01  5.771190000E-02  1.666670000E-01  1.438893519E-01 -7.651941017E+03 
       153  3.706030000E-01  5.898830000E-02  1.666670000E-01  1.190024212E-01 -4.834252539E+03 
       154  2.471780000E-01  5.933890000E-02  1.666670000E-01  1.338210654E-01 -6.784806013E+03 
       155  3.294650000E-01  5.982680000E-02  1.666670000E-01  1.249531125E-01 -5.399250688E+03 
       156  2.883190000E-01  5.998690000E-02  1.666670000E-01  1.295755264E-01 -6.040856197E+03 
       157  2.883190000E-01 -5.998690000E-02  3.333330000E-01  1.153216263E-01  1.114826582E+03 
       158  3.294650000E-01 -5.982680000E-02  3.333330000E-01  1.163035965E-01  9.375017062E+02 
       159  2.471780000E-01 -5.933890000E-02  3.333330000E-01  1.130579950E-01  1.351825766E+03 
       160  3.706030000E-01 -5.898830000E-02  3.333330000E-01  1.151724808E-01  8.041380427E+02 
       161  2.060650000E-01 -5.771190000E-02  3.333330000E-01  1.133923993E-01  1.683813319E+03 
       162  4.117260000E-01 -5.757270000E-02  3.333330000E-01  1.140173974E-01  7.031840799E+02 
       163  4.528280000E-01 -5.566140000E-02  3.333330000E-01  1.127894045E-01  6.274783169E+02 
       164  1.650180000E-01 -5.486620000E-02  3.333330000E-01  1.179788648E-01  2.140811503E+03 
       165  4.939080000E-01 -5.332060000E-02  3.333330000E-01  1.114477345E-01  5.706697636E+02 
       166  5.349650000E-01 -5.060440000E-02  3.333330000E-01  1.100441723E-01  5.299925484E+02 
       167  1.241140000E-01 -5.043730000E-02  3.333330000E-01  1.185811897E-01  2.815917750E+03 
       168  5.759990000E-01 -4.755650000E-02  3.333330000E-01  1.081500726E-01  4.986000496E+02 
       169  6.170090000E-01 -4.421250000E-02  3.333330000E-01  1.082968693E-01  4.794780613E+02 
       170  8.351470000E-02 -4.379180000E-02  3.333330000E-01  1.063910666E-01  3.733991772E+03 
       171  6.579970000E-01 -4.059990000E-02  3.333330000E-01  1.085983391E-01  4.677589765E+02 
       172  5.488770000E-02 -3.697740000E-02  3.333330000E-01  8.835661067E-02  4.704043371E+03 
