nodenumber     x-coordinate     y-coordinate     z-coordinate      mach-number         pressure 
         1  2.807580000E-01 -5.993280000E-02  0.000000000E+00  7.350034569E-02  1.677899147E+02 
         2  3.219040000E-01 -5.991050000E-02  0.000000000E+00  7.313670652E-02  1.438865260E+02 
         3  3.630440000E-01 -5.918830000E-02  0.000000000E+00  7.248567531E-02  1.253805335E+02 
         4  2.396200000E-01 -5.911940000E-02  0.000000000E+00  7.334537539E-02  1.989182419E+02 
         5  4.041700000E-01 -5.787220000E-02  0.000000000E+00  7.170184730E-02  1.106790980E+02 
         6  1.985150000E-01 -5.728890000E-02  0.000000000E+00  7.247149844E-02  2.395899885E+02 
         7  4.452760000E-01 -5.604660000E-02  0.000000000E+00  7.085376282E-02  9.900302657E+01 
         8  1.574870000E-01 -5.418480000E-02  0.000000000E+00  7.046071130E-02  2.951329310E+02 
         9  4.863600000E-01 -5.378040000E-02  0.000000000E+00  7.000400310E-02  8.971305316E+01 
        10  5.274220000E-01 -5.112960000E-02  0.000000000E+00  6.919541104E-02  8.221956556E+01 
        11  1.166230000E-01 -4.940830000E-02  0.000000000E+00  6.389358857E-02  3.811946305E+02 
        12  5.684600000E-01 -4.813980000E-02  0.000000000E+00  6.844612910E-02  7.619446157E+01 
        13  6.094740000E-01 -4.484790000E-02  0.000000000E+00  6.775507782E-02  7.131103935E+01 
        14  7.611340000E-02 -4.224330000E-02  0.000000000E+00  4.888128196E-02  5.039637227E+02 
        15  6.504670000E-01 -4.128300000E-02  0.000000000E+00  6.711121580E-02  6.736282765E+01 
        16  6.914360000E-01 -3.746710000E-02  0.000000000E+00  6.650815370E-02  6.429983090E+01 
        17  7.323830000E-01 -3.341630000E-02  0.000000000E+00  6.594493638E-02  6.209214869E+01 
        18  3.932290000E-02 -3.203640000E-02  0.000000000E+00  2.461041631E-02  6.336469367E+02 
        19  7.733070000E-01 -2.914040000E-02  0.000000000E+00  6.539404131E-02  6.073257534E+01 
        20  8.142070000E-01 -2.464410000E-02  0.000000000E+00  6.481972817E-02  6.044734145E+01 
        21  2.040800000E-02 -2.381930000E-02  0.000000000E+00  1.228356136E-02  6.864066494E+02 
        22  8.550830000E-01 -1.992660000E-02  0.000000000E+00  6.415250006E-02  6.170985779E+01 
        23  1.174660000E-02 -1.839020000E-02  0.000000000E+00  3.035376513E-02  6.002818320E+02 
        24  8.959320000E-01 -1.498260000E-02  0.000000000E+00  6.331266618E-02  6.488031229E+01 
        25  6.986770000E-03 -1.435170000E-02  0.000000000E+00  6.217551943E-02  3.793718175E+02 
        26  3.852450000E-03 -1.076240000E-02  0.000000000E+00  9.418557676E-02  8.981316459E+00 
        27  9.300350000E-01 -1.067100000E-02  0.000000000E+00  6.225473999E-02  7.050408089E+01 
        28  1.722140000E-03 -7.261690000E-03  0.000000000E+00  1.273101802E-01 -5.363278140E+02 
        29  9.641170000E-01 -6.185660000E-03  0.000000000E+00  6.093113602E-02  7.905333077E+01 
        30  4.359170000E-04 -3.686180000E-03  0.000000000E+00  1.594442751E-01 -1.228720908E+03 
        31  9.885790000E-01 -2.851310000E-03  0.000000000E+00  5.942009232E-02  9.148034723E+01 
        32  0.000000000E+00  0.000000000E+00  0.000000000E+00  1.888961842E-01 -1.882190864E+03 
        33  1.008950000E+00  0.000000000E+00  0.000000000E+00  4.157978920E-02  9.769888267E+01 
        34  9.885790000E-01  2.851310000E-03  0.000000000E+00  1.413113147E-02  7.038740628E+01 
        35  4.359170000E-04  3.686180000E-03  0.000000000E+00  2.082166616E-01 -2.502067153E+03 
        36  9.641170000E-01  6.185660000E-03  0.000000000E+00  1.591733217E-02  5.138979402E+01 
        37  1.722140000E-03  7.261690000E-03  0.000000000E+00  2.170623635E-01 -2.991935576E+03 
        38  9.300350000E-01  1.067100000E-02  0.000000000E+00  2.096871314E-02  2.488202774E+01 
        39  3.852450000E-03  1.076240000E-02  0.000000000E+00  2.207823777E-01 -3.141760935E+03 
