nodenumber     x-coordinate     y-coordinate     z-coordinate      mach-number         pressure 
         1  2.853600000E-01 -5.996900000E-02  0.000000000E+00  8.740873587E-02  6.499005592E+01 
         2  3.265060000E-01 -5.986230000E-02  0.000000000E+00  8.857266909E-02  4.572476167E+01 
         3  2.442200000E-01 -5.925700000E-02  0.000000000E+00  8.573503951E-02  8.997774458E+01 
         4  3.676450000E-01 -5.906890000E-02  0.000000000E+00  8.937692553E-02  3.052241189E+01 
         5  4.087680000E-01 -5.769190000E-02  0.000000000E+00  8.990422945E-02  1.842702859E+01 
         6  2.031100000E-01 -5.755130000E-02  0.000000000E+00  8.322055547E-02  1.236261154E+02 
         7  4.498720000E-01 -5.581390000E-02  0.000000000E+00  9.022133879E-02  8.718745776E+00 
         8  1.620700000E-01 -5.460590000E-02  0.000000000E+00  7.914501446E-02  1.702848393E+02 
         9  4.909540000E-01 -5.350210000E-02  0.000000000E+00  9.039241498E-02  7.470178974E-01 
        10  5.320130000E-01 -5.081130000E-02  0.000000000E+00  9.046217730E-02 -6.068156801E+00 
        11  1.211810000E-01 -5.004360000E-02  0.000000000E+00  7.190382465E-02  2.374996408E+02 
        12  5.730480000E-01 -4.778600000E-02  0.000000000E+00  9.045146976E-02 -1.192937814E+01 
        13  6.140600000E-01 -4.446220000E-02  0.000000000E+00  9.038529754E-02 -1.704773299E+01 
        14  8.061500000E-02 -4.320020000E-02  0.000000000E+00  5.870338632E-02  3.403619907E+02 
        15  6.550500000E-01 -4.086820000E-02  0.000000000E+00  9.028800035E-02 -2.174094054E+01 
        16  6.960170000E-01 -3.702540000E-02  0.000000000E+00  9.017222032E-02 -2.614080049E+01 
        17  7.369610000E-01 -3.294910000E-02  0.000000000E+00  9.004791385E-02 -3.035687869E+01 
        18  4.088910000E-02 -3.258930000E-02  0.000000000E+00  3.207598142E-02  5.091552551E+02 
        19  7.778830000E-01 -2.864840000E-02  0.000000000E+00  8.992249255E-02 -3.447106245E+01 
        20  8.187810000E-01 -2.412750000E-02  0.000000000E+00  8.979932465E-02 -3.855393931E+01 
        21  8.596530000E-01 -1.938510000E-02  0.000000000E+00  8.968764442E-02 -4.260809227E+01 
        22  8.595150000E-03 -1.585010000E-02  0.000000000E+00  3.364812667E-02  5.053696162E+02 
        23  9.004990000E-01 -1.441510000E-02  0.000000000E+00  8.960558535E-02 -4.667334815E+01 
        24  9.323180000E-01 -1.037630000E-02  0.000000000E+00  8.958193418E-02 -5.082071031E+01 
        25  9.641170000E-01 -6.185660000E-03  0.000000000E+00  8.968336762E-02 -5.532576059E+01 
        26  9.885790000E-01 -2.851310000E-03  0.000000000E+00  8.987795592E-02 -6.041967587E+01 
        27  0.000000000E+00  0.000000000E+00  0.000000000E+00  8.763487420E-02 -1.716561530E+02 
        28  1.008950000E+00  0.000000000E+00  0.000000000E+00  5.364023394E-02 -8.916272408E+01 
        29  9.885790000E-01  2.851310000E-03  0.000000000E+00  5.141617194E-03 -1.191306586E+02 
        30  9.641170000E-01  6.185660000E-03  0.000000000E+00  3.686687407E-03 -1.166534764E+02 
        31  9.323180000E-01  1.037630000E-02  0.000000000E+00  6.726186139E-03 -1.229594408E+02 
        32  9.004990000E-01  1.441510000E-02  0.000000000E+00  8.672292297E-03 -1.305198534E+02 
        33  8.595150000E-03  1.585010000E-02  0.000000000E+00  1.279575925E-01 -1.089124598E+03 
        34  8.596530000E-01  1.938510000E-02  0.000000000E+00  9.780693241E-03 -1.396005127E+02 
        35  8.187810000E-01  2.412750000E-02  0.000000000E+00  1.048193807E-02 -1.501967342E+02 
        36  7.778830000E-01  2.864840000E-02  0.000000000E+00  1.092468297E-02 -1.621737469E+02 
        37  4.088910000E-02  3.258930000E-02  0.000000000E+00  1.273927349E-01 -1.327582465E+03 
        38  7.369610000E-01  3.294910000E-02  0.000000000E+00  1.056267672E-02 -1.740546735E+02 
        39  6.960170000E-01  3.702540000E-02  0.000000000E+00  8.320696661E-03 -1.825999449E+02 
        40  6.550500000E-01  4.086820000E-02  0.000000000E+00  4.008797428E-03 -1.875213347E+02 
        41  8.061500000E-02  4.320020000E-02  0.000000000E+00  1.129868961E-01 -1.063685120E+03 
        42  6.140600000E-01  4.446220000E-02  0.000000000E+00  3.794083079E-03 -1.928122750E+02 
        43  5.730480000E-01  4.778600000E-02  0.000000000E+00  9.774083065E-03 -2.023578902E+02 
        44  1.211810000E-01  5.004360000E-02  0.000000000E+00  9.895820175E-02 -8.412841873E+02 
        45  5.320130000E-01  5.081130000E-02  0.000000000E+00  1.702708635E-02 -2.180993477E+02 
        46  4.909540000E-01  5.350210000E-02  0.000000000E+00  2.436500383E-02 -2.406736813E+02 
        47  1.620700000E-01  5.460590000E-02  0.000000000E+00  8.798682548E-02 -7.109403926E+02 
        48  4.498720000E-01  5.581390000E-02  0.000000000E+00  3.174275224E-02 -2.702314635E+02 
        49  2.031100000E-01  5.755130000E-02  0.000000000E+00  7.846349265E-02 -6.107024970E+02 
        50  4.087680000E-01  5.769190000E-02  0.000000000E+00  3.914966807E-02 -3.068229302E+02 
        51  3.676450000E-01  5.906890000E-02  0.000000000E+00  4.659552640E-02 -3.504449902E+02 
        52  2.442200000E-01  5.925700000E-02  0.000000000E+00  6.988357545E-02 -5.294202794E+02 
        53  3.265060000E-01  5.986230000E-02  0.000000000E+00  5.412999165E-02 -4.014681960E+02 
        54  2.853600000E-01  5.996900000E-02  0.000000000E+00  6.184831500E-02 -4.606642843E+02 
