nodenumber     x-coordinate     y-coordinate     z-coordinate      mach-number         pressure 
         1  2.806150000E-01 -5.993150000E-02  0.000000000E+00  5.292547353E-02  1.738220562E+02 
         2  3.217610000E-01 -5.991180000E-02  0.000000000E+00  5.265091472E-02  1.496126742E+02 
         3  3.629010000E-01 -5.919190000E-02  0.000000000E+00  5.223035252E-02  1.308457999E+02 
         4  2.394770000E-01 -5.911490000E-02  0.000000000E+00  5.318393745E-02  2.055862927E+02 
         5  4.040270000E-01 -5.787770000E-02  0.000000000E+00  5.169042545E-02  1.161038207E+02 
         6  1.983720000E-01 -5.728050000E-02  0.000000000E+00  5.332737401E-02  2.482348227E+02 
         7  4.451330000E-01 -5.605380000E-02  0.000000000E+00  5.112487051E-02  1.044288750E+02 
         8  1.573450000E-01 -5.417140000E-02  0.000000000E+00  5.260242644E-02  3.049439612E+02 
         9  4.862170000E-01 -5.378900000E-02  0.000000000E+00  5.060128758E-02  9.511141557E+01 
        10  5.272790000E-01 -5.113940000E-02  0.000000000E+00  5.022504691E-02  8.762863081E+01 
        11  1.202710000E-01 -4.991900000E-02  0.000000000E+00  5.062845221E-02  3.726839568E+02 
        12  5.683170000E-01 -4.815070000E-02  0.000000000E+00  5.000049970E-02  8.161647024E+01 
        13  9.306150000E-02 -4.561390000E-02  0.000000000E+00  4.787041749E-02  4.427871167E+02 
        14  6.093320000E-01 -4.485980000E-02  0.000000000E+00  4.978664799E-02  7.677786192E+01 
        15  7.291850000E-02 -4.153400000E-02  0.000000000E+00  4.424450618E-02  5.095217064E+02 
        16  6.503240000E-01 -4.129580000E-02  0.000000000E+00  4.951181120E-02  7.288118362E+01 
        17  5.784750000E-02 -3.779840000E-02  0.000000000E+00  3.897115231E-02  5.712972647E+02 
        18  6.912940000E-01 -3.748080000E-02  0.000000000E+00  4.916569025E-02  6.987005151E+01 
        19  4.622950000E-02 -3.437270000E-02  0.000000000E+00  3.226329007E-02  6.237915043E+02 
        20  7.322410000E-01 -3.343080000E-02  0.000000000E+00  4.878478015E-02  6.773488935E+01 
        21  3.773810000E-02 -3.146170000E-02  0.000000000E+00  2.496449001E-02  6.639794243E+02 
        22  7.731650000E-01 -2.915570000E-02  0.000000000E+00  4.838952151E-02  6.643834331E+01 
        23  3.116110000E-02 -2.889070000E-02  0.000000000E+00  1.698130035E-02  6.936561228E+02 
        24  2.560400000E-02 -2.643350000E-02  0.000000000E+00  7.759408291E-03  7.130587120E+02 
        25  8.140650000E-01 -2.466010000E-02  0.000000000E+00  4.794677647E-02  6.625044663E+01 
        26  2.088830000E-02 -2.407660000E-02  0.000000000E+00  4.805880574E-03  7.178589225E+02 
        27  1.718170000E-02 -2.199000000E-02  0.000000000E+00  1.190502432E-02  7.060340145E+02 
        28  1.434980000E-02 -2.021170000E-02  0.000000000E+00  2.184397890E-02  6.800653669E+02 
        29  8.549410000E-01 -1.994340000E-02  0.000000000E+00  4.736450002E-02  6.770682576E+01 
        30  1.215370000E-02 -1.868920000E-02  0.000000000E+00  3.138042433E-02  6.408615232E+02 
        31  1.039400000E-02 -1.735310000E-02  0.000000000E+00  4.052398342E-02  5.898536947E+02 
        32  8.934580000E-03 -1.614610000E-02  0.000000000E+00  4.935593334E-02  5.284711504E+02 
        33  7.691470000E-03 -1.502910000E-02  0.000000000E+00  5.799800210E-02  4.574265662E+02 
        34  8.957900000E-01 -1.500020000E-02  0.000000000E+00  4.655619663E-02  7.105107663E+01 
        35  6.611940000E-03 -1.397620000E-02  0.000000000E+00  6.652249444E-02  3.771066792E+02 
        36  5.661740000E-03 -1.296940000E-02  0.000000000E+00  7.495903606E-02  2.876117112E+02 
        37  4.817870000E-03 -1.199580000E-02  0.000000000E+00  8.332643271E-02  1.886284484E+02 
        38  4.064360000E-03 -1.104610000E-02  0.000000000E+00  9.168881964E-02  7.854790445E+01 
        39  9.299640000E-01 -1.068010000E-02  0.000000000E+00  4.556409166E-02  7.684103041E+01 
        40  3.389900000E-03 -1.011310000E-02  0.000000000E+00  1.002547874E-01 -4.621527359E+01 
        41  2.786500000E-03 -9.191220000E-03  0.000000000E+00  1.093816862E-01 -1.920643875E+02 
        42  2.248510000E-03 -8.276020000E-03  0.000000000E+00  1.192634639E-01 -3.644798553E+02 
        43  1.771900000E-03 -7.363930000E-03  0.000000000E+00  1.296964990E-01 -5.611000772E+02 
        44  1.354040000E-03 -6.452250000E-03  0.000000000E+00  1.402032440E-01 -7.728160779E+02 
        45  9.641170000E-01 -6.185660000E-03  0.000000000E+00  4.486611939E-02  8.594682592E+01 
        46  9.933350000E-04 -5.539130000E-03  0.000000000E+00  1.503112386E-01 -9.899422530E+02 
        47  6.889250000E-04 -4.623390000E-03  0.000000000E+00  1.598878140E-01 -1.209506490E+03 
        48  4.403020000E-04 -3.704510000E-03  0.000000000E+00  1.690222462E-01 -1.432129028E+03 
        49  9.885790000E-01 -2.851310000E-03  0.000000000E+00  4.491088548E-02  1.007920238E+02 
        50  2.472400000E-04 -2.782370000E-03  0.000000000E+00  1.776583775E-01 -1.654540445E+03 
        51  1.096670000E-04 -1.857220000E-03  0.000000000E+00  1.855962350E-01 -1.871669944E+03 
        52  2.735770000E-05 -9.295720000E-04  0.000000000E+00  1.926282756E-01 -2.079576060E+03 
        53  0.000000000E+00  0.000000000E+00  0.000000000E+00  1.986418566E-01 -2.276193225E+03 
        54  1.008950000E+00  0.000000000E+00  0.000000000E+00  3.767204878E-02  1.099320783E+02 
        55  2.735770000E-05  9.295720000E-04  0.000000000E+00  2.036895384E-01 -2.460649820E+03 
        56  1.096670000E-04  1.857220000E-03  0.000000000E+00  2.079263107E-01 -2.635103973E+03 
        57  2.472400000E-04  2.782370000E-03  0.000000000E+00  2.115130888E-01 -2.799283832E+03 
        58  9.885790000E-01  2.851310000E-03  0.000000000E+00  1.337222191E-02  8.269271836E+01 
        59  4.403020000E-04  3.704510000E-03  0.000000000E+00  2.145726581E-01 -2.946704534E+03 
        60  6.889250000E-04  4.623390000E-03  0.000000000E+00  2.171510767E-01 -3.076418288E+03 
        61  9.933350000E-04  5.539130000E-03  0.000000000E+00  2.192319288E-01 -3.188440464E+03 
        62  9.641170000E-01  6.185660000E-03  0.000000000E+00  1.286653822E-02  6.014872656E+01 
        63  1.354040000E-03  6.452250000E-03  0.000000000E+00  2.208449470E-01 -3.281683823E+03 
        64  1.771900000E-03  7.363930000E-03  0.000000000E+00  2.220464682E-01 -3.358637503E+03 
        65  2.248510000E-03  8.276020000E-03  0.000000000E+00  2.228644449E-01 -3.420370273E+03 
        66  2.786500000E-03  9.191220000E-03  0.000000000E+00  2.231987368E-01 -3.467425340E+03 
        67  3.389900000E-03  1.011310000E-02  0.000000000E+00  2.226417512E-01 -3.494118102E+03 
        68  9.299640000E-01  1.068010000E-02  0.000000000E+00  1.664292898E-02  3.005914187E+01 
        69  4.064360000E-03  1.104610000E-02  0.000000000E+00  2.209738798E-01 -3.493750001E+03 
        70  4.817870000E-03  1.199580000E-02  0.000000000E+00  2.184375697E-01 -3.470316955E+03 
        71  5.661740000E-03  1.296940000E-02  0.000000000E+00  2.152158920E-01 -3.429498602E+03 
        72  6.611940000E-03  1.397620000E-02  0.000000000E+00  2.113055104E-01 -3.371854737E+03 
        73  8.957900000E-01  1.500020000E-02  0.000000000E+00  2.068552326E-02 -4.222149941E+00 
        74  7.691470000E-03  1.502910000E-02  0.000000000E+00  2.066016994E-01 -3.297749239E+03 
        75  8.934580000E-03  1.614610000E-02  0.000000000E+00  2.009542647E-01 -3.204097410E+03 
