nodenumber     x-coordinate     y-coordinate     z-coordinate      mach-number         pressure 
         1  2.883190000E-01 -5.998690000E-02  0.000000000E+00  6.261489290E-02  1.672919926E+02 
         2  3.294650000E-01 -5.982680000E-02  0.000000000E+00  6.211215181E-02  1.442671462E+02 
         3  2.471780000E-01 -5.933890000E-02  0.000000000E+00  6.320568559E-02  1.972890867E+02 
         4  3.706030000E-01 -5.898830000E-02  0.000000000E+00  6.169992633E-02  1.264568368E+02 
         5  2.060650000E-01 -5.771190000E-02  0.000000000E+00  6.373514204E-02  2.371833440E+02 
         6  4.117260000E-01 -5.757270000E-02  0.000000000E+00  6.131319748E-02  1.124466824E+02 
         7  4.528280000E-01 -5.566140000E-02  0.000000000E+00  6.087116909E-02  1.013619808E+02 
         8  1.650180000E-01 -5.486620000E-02  0.000000000E+00  6.346284117E-02  2.911872653E+02 
         9  4.939080000E-01 -5.332060000E-02  0.000000000E+00  6.036240968E-02  9.246850391E+01 
        10  5.349650000E-01 -5.060440000E-02  0.000000000E+00  5.983023567E-02  8.532079444E+01 
        11  1.241140000E-01 -5.043730000E-02  0.000000000E+00  6.048709638E-02  3.685422590E+02 
        12  5.759990000E-01 -4.755650000E-02  0.000000000E+00  5.930211821E-02  7.953543218E+01 
        13  6.170090000E-01 -4.421250000E-02  0.000000000E+00  5.878853291E-02  7.488411599E+01 
        14  8.351470000E-02 -4.379180000E-02  0.000000000E+00  5.217372351E-02  4.749606171E+02 
        15  6.579970000E-01 -4.059990000E-02  0.000000000E+00  5.829439584E-02  7.120559323E+01 
        16  5.488770000E-02 -3.697740000E-02  0.000000000E+00  3.967523802E-02  5.802599598E+02 
        17  6.989630000E-01 -3.673990000E-02  0.000000000E+00  5.782039078E-02  6.841015829E+01 
        18  7.399050000E-01 -3.264710000E-02  0.000000000E+00  5.734290739E-02  6.646901981E+01 
        19  3.777470000E-02 -3.147510000E-02  0.000000000E+00  2.536531434E-02  6.578853463E+02 
        20  7.808250000E-01 -2.833060000E-02  0.000000000E+00  5.682699066E-02  6.542461761E+01 
        21  2.634450000E-02 -2.677890000E-02  0.000000000E+00  9.594989169E-03  7.030179912E+02 
        22  8.217210000E-01 -2.379390000E-02  0.000000000E+00  5.626901154E-02  6.558186887E+01 
        23  1.821900000E-02 -2.259850000E-02  0.000000000E+00  9.571412568E-03  7.035763317E+02 
        24  1.318260000E-02 -1.942040000E-02  0.000000000E+00  2.676006985E-02  6.544131744E+02 
        25  8.625920000E-01 -1.903530000E-02  0.000000000E+00  5.561861491E-02  6.747870549E+01 
        26  9.850590000E-03 -1.691540000E-02  0.000000000E+00  4.432493349E-02  5.616658548E+02 
        27  7.411530000E-03 -1.476420000E-02  0.000000000E+00  6.126285066E-02  4.287720590E+02 
