nodenumber     x-coordinate     y-coordinate     z-coordinate      mach-number         pressure 
         1  2.883190000E-01 -5.998690000E-02  0.000000000E+00  1.018078753E-01 -6.645318756E+01 
         2  3.294650000E-01 -5.982680000E-02  0.000000000E+00  1.015352840E-01 -8.717816595E+01 
         3  2.471780000E-01 -5.933890000E-02  0.000000000E+00  1.021313603E-01 -4.222008071E+01 
         4  3.706030000E-01 -5.898830000E-02  0.000000000E+00  1.012920692E-01 -1.054413121E+02 
         5  2.060650000E-01 -5.771190000E-02  0.000000000E+00  1.025524335E-01 -1.245737814E+01 
         6  4.117260000E-01 -5.757270000E-02  0.000000000E+00  1.010702191E-01 -1.218163727E+02 
         7  4.528280000E-01 -5.566140000E-02  0.000000000E+00  1.008722124E-01 -1.366524586E+02 
         8  1.650180000E-01 -5.486620000E-02  0.000000000E+00  1.031869458E-01  2.621126658E+01 
         9  4.939080000E-01 -5.332060000E-02  0.000000000E+00  1.007025425E-01 -1.502119401E+02 
        10  5.349650000E-01 -5.060440000E-02  0.000000000E+00  1.005557734E-01 -1.627040786E+02 
        11  1.241140000E-01 -5.043730000E-02  0.000000000E+00  1.041802595E-01  8.190568285E+01 
        12  5.759990000E-01 -4.755650000E-02  0.000000000E+00  1.004249314E-01 -1.742961250E+02 
        13  6.170090000E-01 -4.421250000E-02  0.000000000E+00  1.003089633E-01 -1.851262945E+02 
        14  8.351470000E-02 -4.379180000E-02  0.000000000E+00  1.054590453E-01  1.622540416E+02 
        15  6.579970000E-01 -4.059990000E-02  0.000000000E+00  1.002078392E-01 -1.952746560E+02 
        16  5.488770000E-02 -3.697740000E-02  0.000000000E+00  1.061729175E-01  2.570627656E+02 
        17  6.989630000E-01 -3.673990000E-02  0.000000000E+00  1.001168402E-01 -2.047219085E+02 
        18  7.399050000E-01 -3.264710000E-02  0.000000000E+00  1.000284579E-01 -2.132552745E+02 
        19  3.777470000E-02 -3.147510000E-02  0.000000000E+00  1.050920689E-01  3.542134289E+02 
        20  7.808250000E-01 -2.833060000E-02  0.000000000E+00  9.993521968E-02 -2.202940980E+02 
        21  2.634450000E-02 -2.677890000E-02  0.000000000E+00  1.013649714E-01  4.563329481E+02 
        22  8.217210000E-01 -2.379390000E-02  0.000000000E+00  9.981182481E-02 -2.245450970E+02 
        23  1.821900000E-02 -2.259850000E-02  0.000000000E+00  9.528063248E-02  5.630655331E+02 
        24  1.318260000E-02 -1.942040000E-02  0.000000000E+00  8.837103143E-02  6.635968957E+02 
        25  8.625920000E-01 -1.903530000E-02  0.000000000E+00  9.964795078E-02 -2.235652728E+02 
        26  9.850590000E-03 -1.691540000E-02  0.000000000E+00  8.176200108E-02  7.530615377E+02 
        27  7.411530000E-03 -1.476420000E-02  0.000000000E+00  7.545387854E-02  8.351075221E+02 
        28  9.034350000E-01 -1.404860000E-02  0.000000000E+00  9.938077435E-02 -2.142093164E+02 
        29  5.510960000E-03 -1.280140000E-02  0.000000000E+00  6.903400049E-02  9.125475233E+02 
        30  3.983540000E-03 -1.093890000E-02  0.000000000E+00  6.216320522E-02  9.860298695E+02 
        31  9.337850000E-01 -1.018640000E-02  0.000000000E+00  9.877117918E-02 -1.880784777E+02 
        32  2.745270000E-03 -9.124550000E-03  0.000000000E+00  5.461666211E-02  1.055569568E+03 
        33  1.752850000E-03 -7.324960000E-03  0.000000000E+00  4.620168287E-02  1.120498990E+03 
        34  9.641170000E-01 -6.185660000E-03  0.000000000E+00  9.734602940E-02 -1.313799920E+02 
        35  9.860190000E-04 -5.518970000E-03  0.000000000E+00  3.651891683E-02  1.181255366E+03 
        36  4.384000000E-04 -3.696570000E-03  0.000000000E+00  2.535815441E-02  1.233661827E+03 
        37  9.885790000E-01 -2.851310000E-03  0.000000000E+00  9.367146242E-02 -5.622961791E+01 
        38  1.095110000E-04 -1.855900000E-03  0.000000000E+00  1.276477282E-02  1.271174331E+03 
        39  0.000000000E+00  0.000000000E+00  0.000000000E+00  6.094243667E-03  1.285857437E+03 
        40  1.008950000E+00  0.000000000E+00  0.000000000E+00  9.108344488E-02  3.316163927E+01 
        41  1.095110000E-04  1.855900000E-03  0.000000000E+00  1.276209594E-02  1.271172277E+03 
        42  9.885790000E-01  2.851310000E-03  0.000000000E+00  9.367145009E-02 -5.622857567E+01 
        43  4.384000000E-04  3.696570000E-03  0.000000000E+00  2.535630711E-02  1.233651997E+03 
        44  9.860190000E-04  5.518970000E-03  0.000000000E+00  3.651733423E-02  1.181236777E+03 
        45  9.641170000E-01  6.185660000E-03  0.000000000E+00  9.734602725E-02 -1.313796454E+02 
        46  1.752850000E-03  7.324960000E-03  0.000000000E+00  4.619960664E-02  1.120473814E+03 
        47  2.745270000E-03  9.124550000E-03  0.000000000E+00  5.461367774E-02  1.055545663E+03 
        48  9.337850000E-01  1.018640000E-02  0.000000000E+00  9.877119080E-02 -1.880792622E+02 
        49  3.983540000E-03  1.093890000E-02  0.000000000E+00  6.215968238E-02  9.860143868E+02 
        50  5.510960000E-03  1.280140000E-02  0.000000000E+00  6.903098870E-02  9.125428240E+02 
        51  9.034350000E-01  1.404860000E-02  0.000000000E+00  9.938079455E-02 -2.142106327E+02 
        52  7.411530000E-03  1.476420000E-02  0.000000000E+00  7.545238263E-02  8.351109484E+02 
        53  9.850590000E-03  1.691540000E-02  0.000000000E+00  8.176245768E-02  7.530687499E+02 
        54  8.625920000E-01  1.903530000E-02  0.000000000E+00  9.964796819E-02 -2.235663039E+02 
        55  1.318260000E-02  1.942040000E-02  0.000000000E+00  8.837320415E-02  6.636045577E+02 
        56  1.821900000E-02  2.259850000E-02  0.000000000E+00  9.528354713E-02  5.630701873E+02 
        57  8.217210000E-01  2.379390000E-02  0.000000000E+00  9.981183352E-02 -2.245454007E+02 
        58  2.634450000E-02  2.677890000E-02  0.000000000E+00  1.013676205E-01  4.563337759E+02 
        59  7.808250000E-01  2.833060000E-02  0.000000000E+00  9.993522032E-02 -2.202935819E+02 
        60  3.777470000E-02  3.147510000E-02  0.000000000E+00  1.050941052E-01  3.542133590E+02 
        61  7.399050000E-01  3.264710000E-02  0.000000000E+00  1.000284508E-01 -2.132542187E+02 
        62  6.989630000E-01  3.673990000E-02  0.000000000E+00  1.001168300E-01 -2.047207198E+02 
        63  5.488770000E-02  3.697740000E-02  0.000000000E+00  1.061743090E-01  2.570651975E+02 
        64  6.579970000E-01  4.059990000E-02  0.000000000E+00  1.002078285E-01 -1.952735961E+02 
        65  8.351470000E-02  4.379180000E-02  0.000000000E+00  1.054597818E-01  1.622583693E+02 
        66  6.170090000E-01  4.421250000E-02  0.000000000E+00  1.003089508E-01 -1.851255129E+02 
        67  5.759990000E-01  4.755650000E-02  0.000000000E+00  1.004249158E-01 -1.742958085E+02 
        68  1.241140000E-01  5.043730000E-02  0.000000000E+00  1.041805501E-01  8.190905484E+01 
        69  5.349650000E-01  5.060440000E-02  0.000000000E+00  1.005557585E-01 -1.627043993E+02 
        70  4.939080000E-01  5.332060000E-02  0.000000000E+00  1.007025351E-01 -1.502128529E+02 
        71  1.650180000E-01  5.486620000E-02  0.000000000E+00  1.031870510E-01  2.621301364E+01 
        72  4.528280000E-01  5.566140000E-02  0.000000000E+00  1.008722161E-01 -1.366536812E+02 
        73  4.117260000E-01  5.757270000E-02  0.000000000E+00  1.010702314E-01 -1.218175908E+02 
        74  2.060650000E-01  5.771190000E-02  0.000000000E+00  1.025524608E-01 -1.245674002E+01 
        75  3.706030000E-01  5.898830000E-02  0.000000000E+00  1.012920838E-01 -1.054423340E+02 
        76  2.471780000E-01  5.933890000E-02  0.000000000E+00  1.021313654E-01 -4.221993785E+01 
        77  3.294650000E-01  5.982680000E-02  0.000000000E+00  1.015352959E-01 -8.717889480E+01 
        78  2.883190000E-01  5.998690000E-02  0.000000000E+00  1.018078826E-01 -6.645351986E+01 
        79  2.883190000E-01 -5.998690000E-02  1.666670000E-01  1.018078741E-01 -6.645338578E+01 
        80  3.294650000E-01 -5.982680000E-02  1.666670000E-01  1.015352829E-01 -8.717831235E+01 
        81  2.471780000E-01 -5.933890000E-02  1.666670000E-01  1.021313592E-01 -4.222033574E+01 
        82  3.706030000E-01 -5.898830000E-02  1.666670000E-01  1.012920684E-01 -1.054414163E+02 
        83  2.060650000E-01 -5.771190000E-02  1.666670000E-01  1.025524320E-01 -1.245767403E+01 
        84  4.117260000E-01 -5.757270000E-02  1.666670000E-01  1.010702185E-01 -1.218164467E+02 
        85  4.528280000E-01 -5.566140000E-02  1.666670000E-01  1.008722119E-01 -1.366525104E+02 
        86  1.650180000E-01 -5.486620000E-02  1.666670000E-01  1.031869437E-01  2.621093987E+01 
        87  4.939080000E-01 -5.332060000E-02  1.666670000E-01  1.007025421E-01 -1.502119772E+02 
        88  5.349650000E-01 -5.060440000E-02  1.666670000E-01  1.005557731E-01 -1.627041053E+02 
        89  1.241140000E-01 -5.043730000E-02  1.666670000E-01  1.041802581E-01  8.190531234E+01 
        90  5.759990000E-01 -4.755650000E-02  1.666670000E-01  1.004249311E-01 -1.742961447E+02 
